ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	CSANGO-1-1	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	1	*I	1209	I	en	en	e n	false	7 4	XN	EN	2	2.E.V 2.N.c	1.5 0.8	en	0	1
2	CSANGO-1-2	CSANGO	CSANGO	hung1274	Hungarian	Uralic			False	1	*I	1209	I	ien	ien	i e n	false	7 7 4	XYN	IEN	2	2.I.V 2.E.V 2.N.c	1.5 1.3 0.8	ien	0	1
41	ESTONIAN_VORO-1-1	ESTONIAN_VORO	ESTONIAN_VORO	sout2679	South Estonian	Uralic	Finnic		False	1	*I	1209	I	mo7	mo7	m o ʔ	false	4 7 1	AXN	MUH	5	5.M.C 5.U.V 5.H.c	2.0 1.5 0.8	moʔ	0	1
80	ESTONIAN-1-1	ESTONIAN	ESTONIAN	esto1258	Estonian	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	mina	mina	m i n ɐ	false	4 7 4 7	AXBZ	MINE	4	4.M.C 4.I.V 4.N.C 4.E.V	2.0 1.5 1.75 0.8	minɐ	0	1
81	ESTONIAN-1-2	ESTONIAN	ESTONIAN	esto1258	Estonian	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	ma	ma	m ɐ	false	4 7	AX	ME	4	4.M.C 4.E.V	2.0 1.5	mɐ	0	1
82	FINNISH-1-1	FINNISH	FINNISH	finn1318	Finnish	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	minE	minE	m i n a	true	4 7 4 7	AXBZ	MINA	6	6.M.C 6.I.V 6.N.C 6.A.V	2.0 1.5 1.75 0.8	mina	0	1
83	INGRIAN-1-1	INGRIAN	INGRIAN	ingr1248	Ingrian	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	miE	miE	m i a	false	4 7 7	AXZ	MIA	10	10.M.C 10.I.V 10.A.V	2.0 1.5 0.8	mia	0	1
84	KARELIAN-1-1	KARELIAN	KARELIAN	kare1335	Karelian	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	mie	mie	m i e	false	4 7 7	AXZ	MIE	12	12.M.C 12.I.V 12.E.V	2.0 1.5 0.8	mie	0	1
85	LIVE-1-1	LIVE	LIVE	livv1244	Liv	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	minama	minama	m i n ɐ m ɐ	false	4 7 4 7 4 7	AXBYBZ	MINEME	17	17.M.C 17.I.V 17.N.C 17.E.V 17.M.C 17.E.V	2.0 1.5 1.75 1.3 1.75 0.8	minɐmɐ	0	1
86	OLONETS_KARELIAN-1-1	OLONETS_KARELIAN	OLONETS_KARELIAN	livv1243	Livvi	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	minE	minE	m i n a	false	4 7 4 7	AXBZ	MINA	26	26.M.C 26.I.V 26.N.C 26.A.V	2.0 1.5 1.75 0.8	mina	0	1
87	VEPS-1-1	VEPS	VEPS	veps1250	Veps	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	minE	minE	m i n a	false	4 7 4 7	AXBZ	MINA	31	31.M.C 31.I.V 31.N.C 31.A.V	2.0 1.5 1.75 0.8	mina	0	1
88	VOTIC-1-1	VOTIC	VOTIC	voti1245	Votic	Uralic	Finnic	Coastal Finnic	False	1	*I	1209	I	miE	miE	m i a	false	4 7 7	AXZ	MIA	32	32.M.C 32.I.V 32.A.V	2.0 1.5 0.8	mia	0	1
592	KHANTY-1-1	KHANTY	KHANTY	khan1273	Kazym-Berezover-Suryskarer Khanty	Uralic	Khantyic	Northern Khanty	False	1	*I	1209	I	ma	ma	m ɐ	false	4 7	AX	ME	13	13.M.C 13.E.V	2.0 1.5	mɐ	0	1
646	MANSI-1-1	MANSI	MANSI	mans1258	Northern Mansi	Uralic	Mansic	North-Central Mansi	False	1	*I	1209	I	am	am	ɐ m	false	7 4	XN	EM	19	19.E.V 19.M.c	1.5 0.8	ɐm	0	1
700	HILL_MARI-1-1	HILL_MARI	HILL_MARI	west2392	Western Mari	Uralic	Mari		False	1	*I	1209	I	m3y	m3y	m ə j	false	4 7 6	AXN	MEJ	8	8.M.C 8.E.V 8.J.c	2.0 1.5 0.8	məj	0	1
701	MEADOW_MARI-1-1	MEADOW_MARI	MEADOW_MARI	east2328	Eastern Mari	Uralic	Mari		False	1	*I	1209	I	m3y	m3y	m ə j	false	4 7 6	AXN	MEJ	21	21.M.C 21.E.V 21.J.c	2.0 1.5 0.8	məj	0	1
852	ERZYA-1-1	ERZYA	ERZYA	erzy1239	Erzya	Uralic	Mordvin		False	1	*I	1209	I	mon	mon	m o n	false	4 7 4	AXN	MUN	3	3.M.C 3.U.V 3.N.c	2.0 1.5 0.8	mon	0	1
853	MOKSHA-1-1	MOKSHA	MOKSHA	moks1248	Moksha	Uralic	Mordvin		False	1	*I	1209	I	mon	mon	m o n	false	4 7 4	AXN	MUN	22	22.M.C 22.U.V 22.N.c	2.0 1.5 0.8	mon	0	1
1006	UDMURT-1-1	UDMURT	UDMURT	udmu1245	Udmurt	Uralic	Permian		False	1	*I	1209	I	mon	mon	m o n	false	4 7 4	AXN	MUN	30	30.M.C 30.U.V 30.N.c	2.0 1.5 0.8	mon	0	1
1054	KOMI_PERMYAK-1-1	KOMI_PERMYAK	KOMI_PERMYAK	komi1269	Komi-Permyak	Uralic	Permian	Komi	False	1	*I	1209	I	my~e	my~e	mʲ e	false	4 7	AX	ME	15	15.M.C 15.E.V	2.0 1.5	mʲe	0	1
1055	KOMI_ZYRIAN-1-1	KOMI_ZYRIAN	KOMI_ZYRIAN	komi1268	Komi-Zyrian	Uralic	Permian	Komi	False	1	*I	1209	I	my~e	my~e	mʲ e	false	4 7	AX	ME	16	16.M.C 16.E.V	2.0 1.5	mʲe	0	1
