ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	TUWARI-1-1	TUWARI	TUWARI	tuwa1242	Tuwari	Walioic			False	1	*I	1209	I	ali	ali	ɐ l i	false	7 5 7	XBZ	ELI	2	2.E.V 2.L.C 2.I.V	1.5 1.75 0.8	ɐli	0	2
97	PEI-1-1	PEI	PEI	peii1238	Pei	Walioic	Pai-Sinen-Walio		False	1	*I	1209	I	atareya	atareya	ɐ t ɐ r e j ɐ	false	7 1 7 5 7 6 7	XBYBYBZ	ETEREJE	1	1.E.V 1.T.C 1.E.V 1.R.C 1.E.V 1.J.C 1.E.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ɐtɐrejɐ	0	1
2	TUWARI-30-1	TUWARI	TUWARI	tuwa1242	Tuwari	Walioic			False	30	*blood	946	BLOOD	namasi	namasi	n ɐ m ɐ s i	false	4 7 4 7 3 7	AXBYBZ	NEMESI	2	2.N.C 2.E.V 2.M.C 2.E.V 2.S.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nɐmɐsi	0	4
3	WOSWARI-30-1	WOSWARI	WOSWARI	yawi1238	Yawiyo	Walioic			False	30	*blood	946	BLOOD	teyuowa	teyuowa	t e j u o w ɐ	false	1 7 6 7 7 6 7	AXBYYBZ	TEJYUWE	4	4.T.C 4.E.V 4.J.C 4.Y.V 4.U.V 4.W.C 4.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	tejuowɐ	0	6
98	PEI-30-1	PEI	PEI	peii1238	Pei	Walioic	Pai-Sinen-Walio		False	30	*blood	946	BLOOD	n3bwasi	n3bwasi	n ə b w ɐ s i	false	4 7 1 6 7 3 7	AXBCYBZ	NEPWESI	1	1.N.C 1.E.V 1.P.C 1.W.C 1.E.V 1.S.C 1.I.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	nəbwɐsi	0	3
99	WALIO-30-1	WALIO	WALIO	nucl1453	Walio	Walioic	Pai-Sinen-Walio		False	30	*blood	946	BLOOD	li7	li7	l i ʔ	false	5 7 1	AXN	LIH	3	3.L.C 3.I.V 3.H.c	2.0 1.5 0.8	liʔ	0	5
4	TUWARI-31-1	TUWARI	TUWARI	tuwa1242	Tuwari	Walioic			False	31	*bone	1394	BONE	hayolu	hayolu	h ɐ j o l u	false	3 7 6 7 5 7	AXBYBZ	HEJULY	2	2.H.C 2.E.V 2.J.C 2.U.V 2.L.C 2.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	hɐjolu	0	8
5	WOSWARI-31-1	WOSWARI	WOSWARI	yawi1238	Yawiyo	Walioic			False	31	*bone	1394	BONE	ihuwa	ihuwa	i h u w ɐ	false	7 3 7 6 7	XBYBZ	IHYWE	4	4.I.V 4.H.C 4.Y.V 4.W.C 4.E.V	1.5 1.75 1.3 1.75 0.8	ihuwɐ	0	10
100	PEI-31-1	PEI	PEI	peii1238	Pei	Walioic	Pai-Sinen-Walio		False	31	*bone	1394	BONE	hibo	hibo	h i b o	false	3 7 1 7	AXBZ	HIPU	1	1.H.C 1.I.V 1.P.C 1.U.V	2.0 1.5 1.75 0.8	hibo	0	7
101	WALIO-31-1	WALIO	WALIO	nucl1453	Walio	Walioic	Pai-Sinen-Walio		False	31	*bone	1394	BONE	ipalibo	ipalibo	i p ɐ l i b o	false	7 1 7 5 7 1 7	XBYBYBZ	IPELIPU	3	3.I.V 3.P.C 3.E.V 3.L.C 3.I.V 3.P.C 3.U.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ipɐlibo	0	9
6	TUWARI-51-1	TUWARI	TUWARI	tuwa1242	Tuwari	Walioic			False	51	*breasts	1402	BREAST	apolo	apolo	ɐ p o l o	false	7 1 7 5 7	XBYBZ	EPULU	2	2.E.V 2.P.C 2.U.V 2.L.C 2.U.V	1.5 1.75 1.3 1.75 0.8	ɐpolo	0	12
