ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	MOI-1-1	MOI	MOI	moii1235	Moi (Indonesia)	West Bird's Head	Seget-Moi		False	1	*I	1209	I	tit	tit	t i t	false	1 7 1	AXN	TIT	2	2.T.C 2.I.V 2.T.c	2.0 1.5 0.8	tit	0	1
2	SEGET-1-1	SEGET	SEGET	sege1235	Seget	West Bird's Head	Seget-Moi		False	1	*I	1209	I	tet	tet	t e t	false	1 7 1	AXN	TET	4	4.T.C 4.E.V 4.T.c	2.0 1.5 0.8	tet	0	1
45	KALABRA_2-1-1	KALABRA_2	KALABRA_2	kala1256	Kalabra	West Bird's Head	South West Bird's Head		False	1	*I	1209	I	tet	tet	t e t	false	1 7 1	AXN	TET	1	1.T.C 1.E.V 1.T.c	2.0 1.5 0.8	tet	0	1
46	MORAID_2-1-1	MORAID_2	MORAID_2	mora1239	Moraid	West Bird's Head	South West Bird's Head		False	1	*I	1209	I	tit	tit	t i t	false	1 7 1	AXN	TIT	3	3.T.C 3.I.V 3.T.c	2.0 1.5 0.8	tit	0	1
3	MOI-30-1	MOI	MOI	moii1235	Moi (Indonesia)	West Bird's Head	Seget-Moi		False	30	*blood	946	BLOOD	sdam	sdam	s d ɐ m	false	3 1 7 4	ACYN	STEM	2	2.S.C 2.T.C 2.E.V 2.M.c	2.0 1.5 1.3 0.8	sdɐm	0	3
4	SEGET-30-1	SEGET	SEGET	sege1235	Seget	West Bird's Head	Seget-Moi		False	30	*blood	946	BLOOD	s3dam	s3dam	s ə d ɐ m	false	3 7 1 7 4	AXBYN	SETEM	4	4.S.C 4.E.V 4.T.C 4.E.V 4.M.c	2.0 1.5 1.75 1.3 0.8	sədɐm	0	3
47	KALABRA_2-30-1	KALABRA_2	KALABRA_2	kala1256	Kalabra	West Bird's Head	South West Bird's Head		False	30	*blood	946	BLOOD	hein	hein	h e i n	false	3 7 7 4	AXYN	HEIN	1	1.H.C 1.E.V 1.I.V 1.N.c	2.0 1.5 1.3 0.8	hein	0	2
48	MORAID_2-30-1	MORAID_2	MORAID_2	mora1239	Moraid	West Bird's Head	South West Bird's Head		False	30	*blood	946	BLOOD	hijeg	hijeg	h i dʒ e g	false	3 7 1 7 1	AXBYN	HITEK	3	3.H.C 3.I.V 3.T.C 3.E.V 3.K.c	2.0 1.5 1.75 1.3 0.8	hidʒeg	0	4
5	MOI-31-1	MOI	MOI	moii1235	Moi (Indonesia)	West Bird's Head	Seget-Moi		False	31	*bone	1394	BONE	kodus	kodus	k o d u s	false	1 7 1 7 3	AXBYN	KUTYS	2	2.K.C 2.U.V 2.T.C 2.Y.V 2.S.c	2.0 1.5 1.75 1.3 0.8	kodus	0	5
6	SEGET-31-1	SEGET	SEGET	sege1235	Seget	West Bird's Head	Seget-Moi		False	31	*bone	1394	BONE	n3dus	n3dus	n ə d u s	false	4 7 1 7 3	AXBYN	NETYS	4	4.N.C 4.E.V 4.T.C 4.Y.V 4.S.c	2.0 1.5 1.75 1.3 0.8	nədus	0	7
