ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	SANUMA-1-1	SANUMA	SANUMA	sanu1240	Sanumá	Yanomamic			False	1	*I	1209	I	sa	sa	s ɐ	false	3 7	AX	SE	2	2.S.C 2.E.V	2.0 1.5	sɐ	0	2
77	NINAM-1-1	NINAM	NINAM	*ninam	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	1	*I	1209	I	kamiye	kamiye	k ɐ m i j e	false	1 7 4 7 6 7	AXBYBZ	KEMIJE	1	1.K.C 1.E.V 1.M.C 1.I.V 1.J.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐmije	0	1
78	NINAM-1-2	NINAM	NINAM	*ninam	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	1	1.J.C 1.E.V	2.0 1.5	jɐ	0	2
79	SHIRISHANA-1-1	SHIRISHANA	SHIRISHANA	*shirishana	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	1	*I	1209	I	kamiye	kamiye	k ɐ m i j e	false	1 7 4 7 6 7	AXBYBZ	KEMIJE	3	3.K.C 3.E.V 3.M.C 3.I.V 3.J.C 3.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐmije	0	1
80	SHIRISHANA-1-2	SHIRISHANA	SHIRISHANA	*shirishana	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	3	3.J.C 3.E.V	2.0 1.5	jɐ	0	2
81	YANAM-1-1	YANAM	YANAM	*yanam	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	1	*I	1209	I	ca	ca	ts ɐ	false	2 7	AX	CE	4	4.C.C 4.E.V	2.0 1.5	tsɐ	0	2
215	YANOMAM-1-1	YANOMAM	YANOMAM	yano1262	Yanomám	Yanomamic	Ninam-Yanomam-Yaroame	Yanomam-Yaroame	False	1	*I	1209	I	kamiy3	kamiy3	k ɐ m i j ə	false	1 7 4 7 6 7	AXBYBZ	KEMIJE	5	5.K.C 5.E.V 5.M.C 5.I.V 5.J.C 5.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐmijə	0	1
216	YANOMAM-1-2	YANOMAM	YANOMAM	yano1262	Yanomám	Yanomamic	Ninam-Yanomam-Yaroame	Yanomam-Yaroame	False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	5	5.J.C 5.E.V	2.0 1.5	jɐ	0	2
217	YANOMAME-1-1	YANOMAME	YANOMAME	yano1261	Yanomamö	Yanomamic	Ninam-Yanomam-Yaroame	Yanomam-Yaroame	False	1	*I	1209	I	kamiy3	kamiy3	k ɐ m i j ə	false	1 7 4 7 6 7	AXBYBZ	KEMIJE	6	6.K.C 6.E.V 6.M.C 6.I.V 6.J.C 6.E.V	2.0 1.5 1.75 1.3 1.75 0.8	kɐmijə	0	1
218	YANOMAME-1-2	YANOMAME	YANOMAME	yano1261	Yanomamö	Yanomamic	Ninam-Yanomam-Yaroame	Yanomam-Yaroame	False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	6	6.J.C 6.E.V	2.0 1.5	jɐ	0	2
219	YANOMAMI-1-1	YANOMAMI	YANOMAMI	yano1262	Yanomám	Yanomamic	Ninam-Yanomam-Yaroame	Yanomam-Yaroame	False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	7	7.J.C 7.E.V	2.0 1.5	jɐ	0	2
82	NINAM-30-1	NINAM	NINAM	*ninam	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	30	*blood	946	BLOOD	i*ep	i*ep	ĩ e p	false	7 7 1	XYN	IEP	1	1.I.V 1.E.V 1.P.c	1.5 1.3 0.8	ĩep	0	3
83	NINAM-30-2	NINAM	NINAM	*ninam	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	30	*blood	946	BLOOD	i*y3	i*y3	ĩ j ə	false	7 6 7	XBZ	IJE	1	1.I.V 1.J.C 1.E.V	1.5 1.75 0.8	ĩjə	0	4
84	SHIRISHANA-30-1	SHIRISHANA	SHIRISHANA	*shirishana	Ninam	Yanomamic	Ninam-Yanomam-Yaroame		False	30	*blood	946	BLOOD	i*ep	i*ep	ĩ e p	false	7 7 1	XYN	IEP	3	3.I.V 3.E.V 3.P.c	1.5 1.3 0.8	ĩep	0	3
