ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
65	YAREBA-1-1	YAREBA	YAREBA	yare1248	Yareba	Yareban	Yareba-Bariji-Nawaru		False	1	*I	1209	I	na	na	n ɐ	false	4 7	AX	NE	3	3.N.C 3.E.V	2.0 1.5	nɐ	0	1
1	ANEME_WAKE-30-1	ANEME_WAKE	ANEME_WAKE	anem1248	Aneme Wake	Yareban	Doriri-Abia		False	30	*blood	946	BLOOD	iwa	iwa	i w ɐ	false	7 6 7	XBZ	IWE	1	1.I.V 1.W.C 1.E.V	1.5 1.75 0.8	iwɐ	0	2
2	MOIKODI-30-1	MOIKODI	MOIKODI	moik1239	Moikodi	Yareban	Doriri-Abia		False	30	*blood	946	BLOOD	iwa	iwa	i w ɐ	false	7 6 7	XBZ	IWE	2	2.I.V 2.W.C 2.E.V	1.5 1.75 0.8	iwɐ	0	2
66	YAREBA-30-1	YAREBA	YAREBA	yare1248	Yareba	Yareban	Yareba-Bariji-Nawaru		False	30	*blood	946	BLOOD	iwa	iwa	i w ɐ	false	7 6 7	XBZ	IWE	3	3.I.V 3.W.C 3.E.V	1.5 1.75 0.8	iwɐ	0	2
67	YAREBA-30-2	YAREBA	YAREBA	yare1248	Yareba	Yareban	Yareba-Bariji-Nawaru		False	30	*blood	946	BLOOD	onono	onono	o n o n o	false	7 4 7 4 7	XBYBZ	UNUNU	3	3.U.V 3.N.C 3.U.V 3.N.C 3.U.V	1.5 1.75 1.3 1.75 0.8	onono	0	3
3	ANEME_WAKE-31-1	ANEME_WAKE	ANEME_WAKE	anem1248	Aneme Wake	Yareban	Doriri-Abia		False	31	*bone	1394	BONE	kai	kai	k ɐ i	false	1 7 7	AXZ	KEI	1	1.K.C 1.E.V 1.I.V	2.0 1.5 0.8	kɐi	0	4
4	MOIKODI-31-1	MOIKODI	MOIKODI	moik1239	Moikodi	Yareban	Doriri-Abia		False	31	*bone	1394	BONE	xai	xai	x ɐ i	false	3 7 7	AXZ	GEI	2	2.G.C 2.E.V 2.I.V	2.0 1.5 0.8	xɐi	0	4
68	YAREBA-31-1	YAREBA	YAREBA	yare1248	Yareba	Yareban	Yareba-Bariji-Nawaru		False	31	*bone	1394	BONE	tai	tai	t ɐ i	false	1 7 7	AXZ	TEI	3	3.T.C 3.E.V 3.I.V	2.0 1.5 0.8	tɐi	0	4
5	ANEME_WAKE-51-1	ANEME_WAKE	ANEME_WAKE	anem1248	Aneme Wake	Yareban	Doriri-Abia		False	51	*breasts	1402	BREAST	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	1	1.E.V 1.M.C 1.E.V	1.5 1.75 0.8	ɐmɐ	0	5
6	MOIKODI-51-1	MOIKODI	MOIKODI	moik1239	Moikodi	Yareban	Doriri-Abia		False	51	*breasts	1402	BREAST	sisu	sisu	s i s u	false	3 7 3 7	AXBZ	SISY	2	2.S.C 2.I.V 2.S.C 2.Y.V	2.0 1.5 1.75 0.8	sisu	0	6
69	YAREBA-51-1	YAREBA	YAREBA	yare1248	Yareba	Yareban	Yareba-Bariji-Nawaru		False	51	*breasts	1402	BREAST	ama	ama	ɐ m ɐ	false	7 4 7	XBZ	EME	3	3.E.V 3.M.C 3.E.V	1.5 1.75 0.8	ɐmɐ	0	5
