ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	EIGHTEENTH_CENTURY_KET-1-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	ad	ad	ɐ d	false	7 1	XN	ET	3	3.E.V 3.T.c	1.5 0.8	ɐd	0	3
2	EIGHTEENTH_CENTURY_KET-1-2	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	ade	ade	ɐ d e	false	7 1 7	XBZ	ETE	3	3.E.V 3.T.C 3.E.V	1.5 1.75 0.8	ɐde	0	3
3	EIGHTEENTH_CENTURY_KET-1-3	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	di	di	d i	false	1 7	AX	TI	3	3.T.C 3.I.V	2.0 1.5	di	0	6
4	KET-1-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	at	at	ɐ t	false	7 1	XN	ET	4	4.E.V 4.T.c	1.5 0.8	ɐt	0	3
5	YUGH-1-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	1	*I	1209	I	at	at	ɐ t	false	7 1	XN	ET	7	7.E.V 7.T.c	1.5 0.8	ɐt	0	3
151	ASSAN-1-1	ASSAN	ASSAN	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	1	*I	1209	I	ay	ay	ɐ j	false	7 6	XN	EJ	2	2.E.V 2.J.c	1.5 0.8	ɐj	0	2
152	ASSAN-1-2	ASSAN	ASSAN	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	2	2.J.C 2.E.V	2.0 1.5	jɐ	0	5
153	KOTT-1-1	KOTT	KOTT	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	1	*I	1209	I	ay	ay	ɐ j	false	7 6	XN	EJ	5	5.E.V 5.J.c	1.5 0.8	ɐj	0	2
154	KOTT-1-2	KOTT	KOTT	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	1	*I	1209	I	ya	ya	j ɐ	false	6 7	AX	JE	5	5.J.C 5.E.V	2.0 1.5	jɐ	0	5
263	ARIN-1-1	ARIN	ARIN	arin1243	Arin	Yeniseian	Southern Yeniseian	Arin-Pumpokol	False	1	*I	1209	I	ay	ay	ɐ j	false	7 6	XN	EJ	1	1.E.V 1.J.c	1.5 0.8	ɐj	0	1
264	ARIN-1-2	ARIN	ARIN	arin1243	Arin	Yeniseian	Southern Yeniseian	Arin-Pumpokol	False	1	*I	1209	I	E	E	a	false	7	X	A	1	1.A.V	1.5	a	0	4
265	PUMPOKOL-1-1	PUMPOKOL	PUMPOKOL	pump1237	Pumpokol	Yeniseian	Southern Yeniseian	Arin-Pumpokol	False	1	*I	1209	I	ad	ad	ɐ d	false	7 1	XN	ET	6	6.E.V 6.T.c	1.5 0.8	ɐd	0	3
6	EIGHTEENTH_CENTURY_KET-30-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sul7	sul7	s u l ʔ	false	3 7 5 1	AXLN	SYLH	3	3.S.C 3.Y.V 3.L.c 3.H.c	2.0 1.5 1.1 0.8	sulʔ	0	7
7	KET-30-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sul	sul	s u l	false	3 7 5	AXN	SYL	4	4.S.C 4.Y.V 4.L.c	2.0 1.5 0.8	sul	0	7
8	YUGH-30-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	30	*blood	946	BLOOD	sur	sur	s u r	false	3 7 5	AXN	SYR	7	7.S.C 7.Y.V 7.R.c	2.0 1.5 0.8	sur	0	7
155	KOTT-30-1	KOTT	KOTT	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	30	*blood	946	BLOOD	Sur	Sur	ʃ u r	false	3 7 5	AXN	SYR	5	5.S.C 5.Y.V 5.R.c	2.0 1.5 0.8	ʃur	0	7
266	ARIN-30-1	ARIN	ARIN	arin1243	Arin	Yeniseian	Southern Yeniseian	Arin-Pumpokol	False	30	*blood	946	BLOOD	sur	sur	s u r	false	3 7 5	AXN	SYR	1	1.S.C 1.Y.V 1.R.c	2.0 1.5 0.8	sur	0	7
9	EIGHTEENTH_CENTURY_KET-31-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	at	at	ɐ t	false	7 1	XN	ET	3	3.E.V 3.T.c	1.5 0.8	ɐt	0	8
10	KET-31-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	at	at	ɐ t	false	7 1	XN	ET	4	4.E.V 4.T.c	1.5 0.8	ɐt	1	8
11	YUGH-31-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	31	*bone	1394	BONE	a7t	a7t	ɐ ʔ t	false	7 1 1	XLN	EHT	7	7.E.V 7.H.c 7.T.c	1.5 1.1 0.8	ɐʔt	0	8
156	KOTT-31-1	KOTT	KOTT	kott1239	Kott-Assan	Yeniseian	Southern Yeniseian		False	31	*bone	1394	BONE	hau	hau	h ɐ u	false	3 7 7	AXZ	HEY	5	5.H.C 5.E.V 5.Y.V	2.0 1.5 0.8	hɐu	0	9
12	EIGHTEENTH_CENTURY_KET-51-1	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	mam	mam	m ɐ m	false	4 7 4	AXN	MEM	3	3.M.C 3.E.V 3.M.c	2.0 1.5 0.8	mɐm	0	12
13	EIGHTEENTH_CENTURY_KET-51-2	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	toga	toga	t o g ɐ	false	1 7 1 7	AXBZ	TUKE	3	3.T.C 3.U.V 3.K.C 3.E.V	2.0 1.5 1.75 0.8	togɐ	0	15
14	EIGHTEENTH_CENTURY_KET-51-3	EIGHTEENTH_CENTURY_KET	EIGHTEENTH_CENTURY_KET	*eighteenth_century_ket	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	togga	togga	t o g g ɐ	false	1 7 1 1 7	AXMBZ	TUKKE	3	3.T.C 3.U.V 3.K.c 3.K.C 3.E.V	2.0 1.5 1.1 1.75 0.8	toggɐ	0	15
15	KET-51-1	KET	KET	kett1243	Ket	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	mam	mam	m ɐ m	false	4 7 4	AXN	MEM	4	4.M.C 4.E.V 4.M.c	2.0 1.5 0.8	mɐm	0	13
16	YUGH-51-1	YUGH	YUGH	yugh1239	Yugh	Yeniseian	Northern Yeniseian		False	51	*breasts	1402	BREAST	ma7m	ma7m	m ɐ ʔ m	false	4 7 1 4	AXBC	MEHM	7	7.M.C 7.E.V 7.H.C 7.M.C	2.0 1.5 1.75 1.5	mɐʔm	0	16
