ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	WAPPO-1-1	WAPPO	WAPPO	wapp1239	Wappo	Yuki-Wappo			False	1	*I	1209	I	ah	ah	ɐ h	false	7 3	XN	EH	1	1.E.V 1.H.c	1.5 0.8	ɐh	0	1
2	YUKI-1-1	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	1	*I	1209	I	a*p	a*p	ɐ̃ p	false	7 1	XN	EP	2	2.E.V 2.P.c	1.5 0.8	ɐ̃p	0	2
3	YUKI-1-2	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	1	*I	1209	I	op	op	o p	false	7 1	XN	UP	2	2.U.V 2.P.c	1.5 0.8	op	0	2
4	WAPPO-30-1	WAPPO	WAPPO	wapp1239	Wappo	Yuki-Wappo			False	30	*blood	946	BLOOD	neph~	neph~	n e pʰ	false	4 7 1	AXN	NEP	1	1.N.C 1.E.V 1.P.c	2.0 1.5 0.8	nepʰ	0	3
5	YUKI-30-1	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	30	*blood	946	BLOOD	a*s	a*s	ɐ̃ s	false	7 3	XN	ES	2	2.E.V 2.S.c	1.5 0.8	ɐ̃s	0	4
6	YUKI-30-2	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	30	*blood	946	BLOOD	us	us	u s	false	7 3	XN	YS	2	2.Y.V 2.S.c	1.5 0.8	us	0	4
7	WAPPO-31-1	WAPPO	WAPPO	wapp1239	Wappo	Yuki-Wappo			False	31	*bone	1394	BONE	c"iti	c"iti	tsʼ i t i	false	1 7 1 7	AXBZ	TITI	1	1.T.C 1.I.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	tsʼiti	0	5
8	YUKI-31-1	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	31	*bone	1394	BONE	k"i8	k"i8	kʼ i θ	false	1 7 3	AXN	KID	2	2.K.C 2.I.V 2.D.c	2.0 1.5 0.8	kʼiθ	0	6
9	WAPPO-51-1	WAPPO	WAPPO	wapp1239	Wappo	Yuki-Wappo			False	51	*breasts	1402	BREAST	tuy	tuy	t u j	false	1 7 6	AXN	TYJ	1	1.T.C 1.Y.V 1.J.c	2.0 1.5 0.8	tuj	0	7
10	YUKI-51-1	YUKI	YUKI	yuki1243	Northern Yukian	Yuki-Wappo			False	51	*breasts	1402	BREAST	huy	huy	h u j	false	3 7 6	AXN	HYJ	2	2.H.C 2.Y.V 2.J.c	2.0 1.5 0.8	huj	0	8
