ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID
1	CHAMACOCO-1-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	1	*I	1209	I	jok	jok	dʒ o k	false	1 7 1	AXN	TUK	2	2.T.C 2.U.V 2.K.c	2.0 1.5 0.8	dʒok	0	2
47	AYOREO-1-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	1	*I	1209	I	yu	yu	j u	false	6 7	AX	JY	1	1.J.C 1.Y.V	2.0 1.5	ju	0	1
48	AYOREO-1-2	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	1	*I	1209	I	uyu	uyu	u j u	false	7 6 7	XBZ	YJY	1	1.Y.V 1.J.C 1.Y.V	1.5 1.75 0.8	uju	0	1
2	CHAMACOCO-30-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	30	*blood	946	BLOOD	arm3sta	arm3sta	ɐ r m ə s t ɐ	false	7 5 4 7 3 1 7	XMBYMBZ	ERMESTE	2	2.E.V 2.R.c 2.M.C 2.E.V 2.S.c 2.T.C 2.E.V	1.5 1.1 1.75 1.3 1.1 1.75 0.8	ɐrməstɐ	0	4
49	AYOREO-30-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	30	*blood	946	BLOOD	iyoi	iyoi	i j o i	false	7 6 7 7	XBYZ	IJUI	1	1.I.V 1.J.C 1.U.V 1.I.V	1.5 1.75 1.3 0.8	ijoi	0	3
3	CHAMACOCO-31-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	31	*bone	1394	BONE	debiC	debiC	d e b i tʃ	false	1 7 1 7 1	AXBYN	TEPIT	2	2.T.C 2.E.V 2.P.C 2.I.V 2.T.c	2.0 1.5 1.75 1.3 0.8	debitʃ	0	6
50	AYOREO-31-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	31	*bone	1394	BONE	anokei	anokei	ɐ n o k e i	false	7 4 7 1 7 7	XBYBYZ	ENUKEI	1	1.E.V 1.N.C 1.U.V 1.K.C 1.E.V 1.I.V	1.5 1.75 1.3 1.75 1.3 0.8	ɐnokei	0	5
4	CHAMACOCO-51-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	51	*breasts	1402	BREAST	3rxo	3rxo	ə r x o	false	7 5 3 7	XMBZ	ERGU	2	2.E.V 2.R.c 2.G.C 2.U.V	1.5 1.1 1.75 0.8	ərxo	0	8
51	AYOREO-51-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	51	*breasts	1402	BREAST	ina	ina	i n ɐ	false	7 4 7	XBZ	INE	1	1.I.V 1.N.C 1.E.V	1.5 1.75 0.8	inɐ	0	7
5	CHAMACOCO-66-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	66	*come	1446	COME	t3re*t	t3re*t	t ə r ẽ t	false	1 7 5 7 1	AXBYN	TERET	2	2.T.C 2.E.V 2.R.C 2.E.V 2.T.c	2.0 1.5 1.75 1.3 0.8	tərẽt	0	10
52	AYOREO-66-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	66	*come	1446	COME	ibagi	ibagi	i b ɐ g i	false	7 1 7 1 7	XBYBZ	IPEKI	1	1.I.V 1.P.C 1.E.V 1.K.C 1.I.V	1.5 1.75 1.3 1.75 0.8	ibɐgi	0	9
6	CHAMACOCO-61-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	61	*die	1494	DIE	toj	toj	t o dʒ	false	1 7 1	AXN	TUT	2	2.T.C 2.U.V 2.T.c	2.0 1.5 0.8	todʒ	0	12
53	AYOREO-61-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	61	*die	1494	DIE	toi	toi	t o i	false	1 7 7	AXZ	TUI	1	1.T.C 1.U.V 1.I.V	2.0 1.5 0.8	toi	0	11
54	AYOREO-61-2	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	61	*die	1494	DIE	toge	toge	t o g e	false	1 7 1 7	AXBZ	TUKE	1	1.T.C 1.U.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	toge	0	13
7	CHAMACOCO-21-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	21	*dog	2009	DOG	pohoC	pohoC	p o h o tʃ	false	1 7 3 7 1	AXBYN	PUHUT	2	2.P.C 2.U.V 2.H.C 2.U.V 2.T.c	2.0 1.5 1.75 1.3 0.8	pohotʃ	0	15
55	AYOREO-21-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	21	*dog	2009	DOG	tamokoi	tamokoi	t ɐ m o k o i	false	1 7 4 7 1 7 7	AXBYBYZ	TEMUKUI	1	1.T.C 1.E.V 1.M.C 1.U.V 1.K.C 1.U.V 1.I.V	2.0 1.5 1.75 1.3 1.75 1.3 0.8	tɐmokoi	0	14
8	CHAMACOCO-54-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	54	*drink	1401	DRINK	3h3	3h3	ə h ə	false	7 3 7	XBZ	EHE	2	2.E.V 2.H.C 2.E.V	1.5 1.75 0.8	əhə	0	16
56	AYOREO-54-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	54	*drink	1401	DRINK	ohi7	ohi7	o h i ʔ	false	7 3 7 1	XBYN	UHIH	1	1.U.V 1.H.C 1.I.V 1.H.c	1.5 1.75 1.3 0.8	ohiʔ	0	16
9	CHAMACOCO-39-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	39	*ear	1247	EAR	a*La	a*La	ɐ̃ ʎ ɐ	false	7 5 7	XBZ	ELE	2	2.E.V 2.L.C 2.E.V	1.5 1.75 0.8	ɐ̃ʎɐ	0	18
57	AYOREO-39-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	39	*ear	1247	EAR	aNorone	aNorone	ɐ ŋ o r o n e	false	7 4 7 5 7 4 7	XBYBYBZ	ENURUNE	1	1.E.V 1.N.C 1.U.V 1.R.C 1.U.V 1.N.C 1.E.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ɐŋorone	0	17
10	CHAMACOCO-40-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	40	*eye	1248	EYE	onta	onta	o n t ɐ	false	7 4 1 7	XMBZ	UNTE	2	2.U.V 2.N.c 2.T.C 2.E.V	1.5 1.1 1.75 0.8	ontɐ	0	20
58	AYOREO-40-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	40	*eye	1248	EYE	edo	edo	e d o	false	7 1 7	XBZ	ETU	1	1.E.V 1.T.C 1.U.V	1.5 1.75 0.8	edo	0	19
11	CHAMACOCO-82-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	82	*fire	221	FIRE	xwek3ta	xwek3ta	x w e k ə t ɐ	false	3 6 7 1 7 1 7	ACXBYBZ	GWEKETE	2	2.G.C 2.W.C 2.E.V 2.K.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	xwekətɐ	0	22
12	CHAMACOCO-82-2	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	82	*fire	221	FIRE	urhuta	urhuta	u r h u t ɐ	false	7 5 3 7 1 7	XMBYBZ	YRHYTE	2	2.Y.V 2.R.c 2.H.C 2.Y.V 2.T.C 2.E.V	1.5 1.1 1.75 1.3 1.75 0.8	urhutɐ	0	23
59	AYOREO-82-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	82	*fire	221	FIRE	pioi	pioi	p i o i	false	1 7 7 7	AXYZ	PIUI	1	1.P.C 1.I.V 1.U.V 1.I.V	2.0 1.5 1.3 0.8	pioi	0	21
13	CHAMACOCO-19-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	19	*fish	227	FISH	doS3t	doS3t	d o ʃ ə t	false	1 7 3 7 1	AXBYN	TUSET	2	2.T.C 2.U.V 2.S.C 2.E.V 2.T.c	2.0 1.5 1.75 1.3 0.8	doʃət	0	25
14	CHAMACOCO-19-2	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	19	*fish	227	FISH	loS3t	loS3t	l o ʃ ə t	false	5 7 3 7 1	AXBYN	LUSET	2	2.L.C 2.U.V 2.S.C 2.E.V 2.T.c	2.0 1.5 1.75 1.3 0.8	loʃət	0	25
60	AYOREO-19-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	19	*fish	227	FISH	oyidi	oyidi	o j i d i	false	7 6 7 1 7	XBYBZ	UJITI	1	1.U.V 1.J.C 1.I.V 1.T.C 1.I.V	1.5 1.75 1.3 1.75 0.8	ojidi	0	24
15	CHAMACOCO-95-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	95	*full	1429	FULL	3*rhew	3*rhew	ə̃ r h e w	false	7 5 3 7 6	XMBYN	ERHEW	2	2.E.V 2.R.c 2.H.C 2.E.V 2.W.c	1.5 1.1 1.75 1.3 0.8	ə̃rhew	0	27
16	CHAMACOCO-95-2	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	95	*full	1429	FULL	jeno	jeno	dʒ e n o	false	1 7 4 7	AXBZ	TENU	2	2.T.C 2.E.V 2.N.C 2.U.V	2.0 1.5 1.75 0.8	dʒeno	0	28
61	AYOREO-95-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	95	*full	1429	FULL	iragu	iragu	i r ɐ g u	false	7 5 7 1 7	XBYBZ	IREKY	1	1.I.V 1.R.C 1.E.V 1.K.C 1.Y.V	1.5 1.75 1.3 1.75 0.8	irɐgu	0	26
17	CHAMACOCO-48-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	48	*hand	1277	HAND	mata	mata	m ɐ t ɐ	false	4 7 1 7	AXBZ	METE	2	2.M.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	mɐtɐ	0	30
62	AYOREO-48-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	48	*hand	1277	HAND	manay	manay	m ɐ n ɐ j	false	4 7 4 7 6	AXBYN	MENEJ	1	1.M.C 1.E.V 1.N.C 1.E.V 1.J.c	2.0 1.5 1.75 1.3 0.8	mɐnɐj	0	29
18	CHAMACOCO-58-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	58	*hear	1408	HEAR	Cunt	Cunt	tʃ u n t	false	1 7 4 1	AXLN	TYNT	2	2.T.C 2.Y.V 2.N.c 2.T.c	2.0 1.5 1.1 0.8	tʃunt	0	32
63	AYOREO-58-1	AYOREO	AYOREO	ayor1240	Ayoreo	Zamucoan	Zamuco-Ayoreo		False	58	*hear	1408	HEAR	udute7	udute7	u d u t e ʔ	false	7 1 7 1 7 1	XBYBYN	YTYTEH	1	1.Y.V 1.T.C 1.Y.V 1.T.C 1.E.V 1.H.c	1.5 1.75 1.3 1.75 1.3 0.8	uduteʔ	0	31
19	CHAMACOCO-34-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	34	*horn	1393	HORN (ANATOMY)	uta	uta	u t ɐ	false	7 1 7	XBZ	YTE	2	2.Y.V 2.T.C 2.E.V	1.5 1.75 0.8	utɐ	0	33
20	CHAMACOCO-47-1	CHAMACOCO	CHAMACOCO	cham1315	Chamacoco	Zamucoan			False	47	*knee	1371	KNEE	ket3ta	ket3ta	k e t ə t ɐ	false	1 7 1 7 1 7	AXBYBZ	KETETE	2	2.K.C 2.E.V 2.T.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.75 1.3 1.75 0.8	ketətɐ	0	34
