ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ABUN-1-1	ABUN	ABUN	abun1252	Abun				True	1	*I	1209	I	ji	ji	dʒ i	false
2	ABUN-30-1	ABUN	ABUN	abun1252	Abun				True	30	*blood	946	BLOOD	de	de	d e	false
3	ABUN-66-1	ABUN	ABUN	abun1252	Abun				True	66	*come	1446	COME	ma	ma	m ɐ	false
4	ABUN-61-1	ABUN	ABUN	abun1252	Abun				True	61	*die	1494	DIE	kw~op	kw~op	kʷ o p	false
5	ABUN-21-1	ABUN	ABUN	abun1252	Abun				True	21	*dog	2009	DOG	nd~ar	nd~ar	ⁿd ɐ r	false
6	ABUN-54-1	ABUN	ABUN	abun1252	Abun				True	54	*drink	1401	DRINK	da	da	d ɐ	false
7	ABUN-39-1	ABUN	ABUN	abun1252	Abun				True	39	*ear	1247	EAR	git	git	g i t	false
8	ABUN-40-1	ABUN	ABUN	abun1252	Abun				True	40	*eye	1248	EYE	gro	gro	g r o	false
9	ABUN-19-1	ABUN	ABUN	abun1252	Abun				True	19	*fish	227	FISH	boge	boge	b o g e	false
10	ABUN-95-1	ABUN	ABUN	abun1252	Abun				True	95	*full	1429	FULL	sEs	sEs	s a s	false
11	ABUN-48-1	ABUN	ABUN	abun1252	Abun				True	48	*hand	1277	HAND	sy~im	sy~im	sʲ i m	false
12	ABUN-58-1	ABUN	ABUN	abun1252	Abun				True	58	*hear	1408	HEAR	jam	jam	dʒ ɐ m	false
13	ABUN-86-1	ABUN	ABUN	abun1252	Abun				True	86	*mountain	639	MOUNTAIN	banbo	banbo	b ɐ n b o	false
14	ABUN-100-1	ABUN	ABUN	abun1252	Abun				True	100	*name	1405	NAME	gum	gum	g u m	false
15	ABUN-96-1	ABUN	ABUN	abun1252	Abun				True	96	*new	1231	NEW	be	be	b e	false
16	ABUN-92-1	ABUN	ABUN	abun1252	Abun				True	92	*night	1233	NIGHT	noru	noru	n o r u	false
17	ABUN-41-1	ABUN	ABUN	abun1252	Abun				True	41	*nose	1221	NOSE	gwembo	gwembo	g w e m b o	false
18	ABUN-11-1	ABUN	ABUN	abun1252	Abun				True	11	*one	1493	ONE	dik	dik	d i k	false
19	ABUN-85-1	ABUN	ABUN	abun1252	Abun				True	85	*path	2252	PATH	os	os	o s	false
20	ABUN-18-1	ABUN	ABUN	abun1252	Abun				True	18	*person	683	PERSON	ye	ye	j e	false
21	ABUN-57-1	ABUN	ABUN	abun1252	Abun				True	57	*see	1409	SEE	me	me	m e	false
22	ABUN-28-1	ABUN	ABUN	abun1252	Abun				True	28	*skin	763	SKIN	da	da	d ɐ	false
23	ABUN-72-1	ABUN	ABUN	abun1252	Abun				True	72	*sun	1343	SUN	kam	kam	k ɐ m	false
24	ABUN-23-1	ABUN	ABUN	abun1252	Abun				True	23	*tree	906	TREE	kw~e	kw~e	kʷ e	false
25	ABUN-12-1	ABUN	ABUN	abun1252	Abun				True	12	*two	1498	TWO	we	we	w e	false
26	ABUN-75-1	ABUN	ABUN	abun1252	Abun				True	75	*water	948	WATER	Sur	Sur	ʃ u r	false
27	ABUN-3-1	ABUN	ABUN	abun1252	Abun				True	3	*we	1212	WE	men	men	m e n	false
28	ABUN-2-1	ABUN	ABUN	abun1252	Abun				True	2	*you	1215	THOU	nan	nan	n ɐ n	false
