ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MAPUDUNGUN-1-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	1	*I	1209	I	i5Ce	i5Ce	i ɲ tʃ e	false
2	MAPUDUNGUN_2-1-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	1	*I	1209	I	i5Ce	i5Ce	i ɲ tʃ e	false
3	MAPUDUNGUN_3-1-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	1	*I	1209	I	i5Ce	i5Ce	i ɲ tʃ e	false
4	RANQUELCHE-1-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	1	*I	1209	I	inCe	inCe	i n tʃ e	false
5	MAPUDUNGUN-30-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	moly~f35	moly~f35	m o lʲ f ə ɲ	false
6	MAPUDUNGUN_2-30-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	moLfu5	moLfu5	m o ʎ f u ɲ	false
7	MAPUDUNGUN_3-30-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	moLf35	moLf35	m o ʎ f ə ɲ	false
8	RANQUELCHE-30-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	30	*blood	946	BLOOD	muly~vu5	muly~vu5	m u lʲ v u ɲ	false
9	MAPUDUNGUN-31-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	31	*bone	1394	BONE	foro	foro	f o r o	false
10	MAPUDUNGUN_2-31-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	31	*bone	1394	BONE	foro	foro	f o r o	false
11	MAPUDUNGUN_3-31-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	31	*bone	1394	BONE	foro	foro	f o r o	false
12	RANQUELCHE-31-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	31	*bone	1394	BONE	boro	boro	b o r o	false
13	MAPUDUNGUN-51-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	k3rpu	k3rpu	k ə r p u	false
14	MAPUDUNGUN-51-2	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	moyo	moyo	m o j o	false
15	MAPUDUNGUN_2-51-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	moyo	moyo	m o j o	false
16	MAPUDUNGUN_3-51-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	moyo	moyo	m o j o	false
17	RANQUELCHE-51-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	ruku	ruku	r u k u	false
18	RANQUELCHE-51-2	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	51	*breasts	1402	BREAST	puly~kuma	puly~kuma	p u lʲ k u m ɐ	false
19	MAPUDUNGUN-66-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	66	*come	1446	COME	k3pun	k3pun	k ə p u n	false
20	MAPUDUNGUN_2-66-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	66	*come	1446	COME	k3pan	k3pan	k ə p ɐ n	false
21	MAPUDUNGUN_3-66-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	66	*come	1446	COME	k3pan	k3pan	k ə p ɐ n	false
22	RANQUELCHE-66-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	66	*come	1446	COME	kupan	kupan	k u p ɐ n	false
23	RANQUELCHE-66-2	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	66	*come	1446	COME	gepan	gepan	g e p ɐ n	false
24	MAPUDUNGUN-61-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	61	*die	1494	DIE	lan	lan	l ɐ n	false
25	MAPUDUNGUN_2-61-2	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	61	*die	1494	DIE	lay	lay	l ɐ j	false
26	MAPUDUNGUN_3-61-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	61	*die	1494	DIE	Lan	Lan	ʎ ɐ n	false
27	RANQUELCHE-61-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	61	*die	1494	DIE	lan	lan	l ɐ n	false
28	MAPUDUNGUN-21-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	21	*dog	2009	DOG	tr~ewa	tr~ewa	t r e w ɐ	false
29	MAPUDUNGUN_2-21-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	21	*dog	2009	DOG	trewa	trewa	t r e w ɐ	false
30	MAPUDUNGUN_3-21-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	21	*dog	2009	DOG	tr~ewa	tr~ewa	t r e w ɐ	false
31	RANQUELCHE-21-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	21	*dog	2009	DOG	th~ewa	th~ewa	tʰ e w ɐ	false
32	MAPUDUNGUN-54-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	p3tun	p3tun	p ə t u n	false
33	MAPUDUNGUN_2-54-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	p3tun	p3tun	p ə t u n	false
34	MAPUDUNGUN_3-54-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	p3ton	p3ton	p ə t o n	false
35	RANQUELCHE-54-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	putun	putun	p u t u n	false
36	RANQUELCHE-54-2	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	54	*drink	1401	DRINK	in	in	i n	false
37	MAPUDUNGUN-39-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
38	MAPUDUNGUN_2-39-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
39	MAPUDUNGUN_3-39-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
40	RANQUELCHE-39-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	39	*ear	1247	EAR	pilun	pilun	p i l u n	false
41	MAPUDUNGUN-40-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	40	*eye	1248	EYE	Ne	Ne	ŋ e	false
42	MAPUDUNGUN_2-40-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	40	*eye	1248	EYE	Ne	Ne	ŋ e	false
43	MAPUDUNGUN_3-40-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	40	*eye	1248	EYE	Ne	Ne	ŋ e	false
44	RANQUELCHE-40-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	40	*eye	1248	EYE	ge	ge	g e	false
45	MAPUDUNGUN-82-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	82	*fire	221	FIRE	k3tr~al	k3tr~al	k ə t r ɐ l	false
46	MAPUDUNGUN_2-82-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	82	*fire	221	FIRE	k3tral	k3tral	k ə t r ɐ l	false
47	MAPUDUNGUN_3-82-1	MAPUDUNGUN_3	MAPUDUNGUN_3	mapu1245	Mapudungun	Araucanian			False	82	*fire	221	FIRE	k3tr~al	k3tr~al	k ə t r ɐ l	false
48	RANQUELCHE-82-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	82	*fire	221	FIRE	gutr~al	gutr~al	g u t r ɐ l	false
49	RANQUELCHE-19-1	RANQUELCHE	RANQUELCHE	mapu1245	Mapudungun	Araucanian			False	19	*fish	227	FISH	Caly~wa	Caly~wa	tʃ ɐ lʲ w ɐ	false
50	MAPUDUNGUN-95-1	MAPUDUNGUN	MAPUDUNGUN	mapu1245	Mapudungun	Araucanian			False	95	*full	1429	FULL	apon	apon	ɐ p o n	false
51	MAPUDUNGUN_2-95-1	MAPUDUNGUN_2	MAPUDUNGUN_2	mapu1245	Mapudungun	Araucanian			False	95	*full	1429	FULL	apun	apun	ɐ p u n	false
