ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	TAENSA-1-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	1	*I	1209	I	hog	hog	h o g	false
2	TAENSA-30-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	30	*blood	946	BLOOD	dw~ons	dw~ons	dʷ o n s	false
3	TAENSA-31-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	31	*bone	1394	BONE	etbuv	etbuv	e t b u v	false
4	TAENSA-51-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	51	*breasts	1402	BREAST	blom	blom	b l o m	false
5	TAENSA-51-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	51	*breasts	1402	BREAST	gelika	gelika	g e l i k ɐ	false
6	TAENSA-66-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	66	*come	1446	COME	vorte	vorte	v o r t e	false
7	TAENSA-61-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	61	*die	1494	DIE	idso	idso	i d s o	false
8	TAENSA-21-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	21	*dog	2009	DOG	arwor	arwor	ɐ r w o r	false
9	TAENSA-54-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	54	*drink	1401	DRINK	vitrag	vitrag	v i t r ɐ g	false
10	TAENSA-39-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	39	*ear	1247	EAR	avaratal	avaratal	ɐ v ɐ r ɐ t ɐ l	false
11	TAENSA-39-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	39	*ear	1247	EAR	retal	retal	r e t ɐ l	false
12	TAENSA-40-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	40	*eye	1248	EYE	yararal	yararal	j ɐ r ɐ r ɐ l	false
13	TAENSA-40-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	40	*eye	1248	EYE	yararao	yararao	j ɐ r ɐ r ɐ o	false
14	TAENSA-82-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	82	*fire	221	FIRE	pnao	pnao	p n ɐ o	false
15	TAENSA-82-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	82	*fire	221	FIRE	pnaNo	pnaNo	p n ɐ ŋ o	false
16	TAENSA-48-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	48	*hand	1277	HAND	win	win	w i n	false
17	TAENSA-34-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	34	*horn	1393	HORN (ANATOMY)	pnag	pnag	p n ɐ g	false
18	TAENSA-34-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	34	*horn	1393	HORN (ANATOMY)	rankarao	rankarao	r ɐ n k ɐ r ɐ o	false
19	TAENSA-25-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	25	*leaf	628	LEAF	tw~at	tw~at	tʷ ɐ t	false
20	TAENSA-53-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	53	*liver	1224	LIVER	glouktorro	glouktorro	g l o u k t o r r o	false
21	TAENSA-22-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	22	*louse	1392	LOUSE	seuki	seuki	s e u k i	false
22	TAENSA-86-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	86	*mountain	639	MOUNTAIN	tankw~araou	tankw~araou	t ɐ n kʷ ɐ r ɐ o u	false
23	TAENSA-100-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	100	*name	1405	NAME	gnahe	gnahe	g n ɐ h e	false
24	TAENSA-100-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	100	*name	1405	NAME	lengo	lengo	l e n g o	false
25	TAENSA-41-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	41	*nose	1221	NOSE	vnuhuvam	vnuhuvam	v n u h u v ɐ m	false
26	TAENSA-11-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	11	*one	1493	ONE	yeha	yeha	j e h ɐ	false
27	TAENSA-85-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	85	*path	2252	PATH	morra	morra	m o r r ɐ	false
28	TAENSA-18-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	18	*person	683	PERSON	vuka	vuka	v u k ɐ	false
29	TAENSA-57-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	57	*see	1409	SEE	yara	yara	j ɐ r ɐ	false
30	TAENSA-28-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	28	*skin	763	SKIN	ktwensog	ktwensog	k t w e n s o g	false
31	TAENSA-74-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	74	*star	1430	STAR	tnan	tnan	t n ɐ n	false
32	TAENSA-77-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	77	*stone	857	STONE	stiop	stiop	s t i o p	false
33	TAENSA-72-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	72	*sun	1343	SUN	egnimilo	egnimilo	e g n i m i l o	false
34	TAENSA-72-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	72	*sun	1343	SUN	hebut	hebut	h e b u t	false
35	TAENSA-44-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	44	*tongue	1205	TONGUE	yilok	yilok	j i l o k	false
36	TAENSA-44-2	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	44	*tongue	1205	TONGUE	yillok	yillok	j i l l o k	false
37	TAENSA-43-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	43	*tooth	1380	TOOTH	sw~omo	sw~omo	sʷ o m o	false
38	TAENSA-23-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	23	*tree	906	TREE	ktouv	ktouv	k t o u v	false
39	TAENSA-12-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	12	*two	1498	TWO	gem	gem	g e m	false
40	TAENSA-75-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	75	*water	948	WATER	wakworao	wakworao	w ɐ k w o r ɐ o	false
41	TAENSA-2-1	TAENSA	TAENSA	taen1234	Taensa	Bookkeeping			False	2	*you	1215	THOU	hogi	hogi	h o g i	false
