ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CANDOSHI-1-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	1	*I	1209	I	nowa	nowa	n o w ɐ	false
2	CANDOSHI-30-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	30	*blood	946	BLOOD	korasi	korasi	k o r ɐ s i	false
3	CANDOSHI-31-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	31	*bone	1394	BONE	nap	nap	n ɐ p	false
4	CANDOSHI-51-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	51	*breasts	1402	BREAST	mimi	mimi	m i m i	false
5	CANDOSHI-66-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	66	*come	1446	COME	nant~araNiC	nant~araNiC	n ɐ ⁿt ɐ r ɐ ŋ i tʃ	false
6	CANDOSHI-61-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	61	*die	1494	DIE	cipa	cipa	ts i p ɐ	false
7	CANDOSHI-21-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	21	*dog	2009	DOG	tomoSi	tomoSi	t o m o ʃ i	false
8	CANDOSHI-54-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	54	*drink	1401	DRINK	wa	wa	w ɐ	false
9	CANDOSHI-39-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	39	*ear	1247	EAR	kic	kic	k i ts	false
10	CANDOSHI-40-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	40	*eye	1248	EYE	kaC	kaC	k ɐ tʃ	false
11	CANDOSHI-82-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	82	*fire	221	FIRE	somasi	somasi	s o m ɐ s i	false
12	CANDOSHI-19-1	CANDOSHI	CANDOSHI	cand1248	Candoshi-Shapra				True	19	*fish	227	FISH	kayopCi	kayopCi	k ɐ j o p tʃ i	false
