ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MORE-1-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	1	*I	1209	I	waSa	waSa	w ɐ ʃ ɐ	false
2	TORA-1-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	1	*I	1209	I	waza	waza	w ɐ z ɐ	false
3	MORE-30-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	30	*blood	946	BLOOD	w3T	w3T	w ə c	false
4	TORA-30-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	30	*blood	946	BLOOD	wi	wi	w i	false
5	MORE-31-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	31	*bone	1394	BONE	at	at	ɐ t	false
6	TORA-31-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	31	*bone	1394	BONE	at	at	ɐ t	false
7	MORE-51-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	51	*breasts	1402	BREAST	katat	katat	k ɐ t ɐ t	false
8	TORA-51-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	51	*breasts	1402	BREAST	ikima nakamin	ikima nakamin	i k i m ɐ n ɐ k ɐ m i n	false
9	MORE-66-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	66	*come	1446	COME	maTi	maTi	m ɐ c i	false
10	MORE-61-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	61	*die	1494	DIE	3mw~3	3mw~3	ə mʷ ə	false
11	MORE-21-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	21	*dog	2009	DOG	puyu toko Tma*m	puyu toko Tma*m	p u j u t o k o c m ɐ̃ m	false
12	MORE-39-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	39	*ear	1247	EAR	t3n3t3t	t3n3t3t	t ə n ə t ə t	false
13	MORE-40-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	40	*eye	1248	EYE	tok	tok	t o k	false
14	TORA-40-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	40	*eye	1248	EYE	tok	tok	t o k	false
15	MORE-82-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	82	*fire	221	FIRE	iC3	iC3	i tʃ ə	false
16	TORA-82-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	82	*fire	221	FIRE	ixE	ixE	i x a	false
17	MORE-19-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	19	*fish	227	FISH	pati7	pati7	p ɐ t i ʔ	false
18	MORE-19-2	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	19	*fish	227	FISH	aput	aput	ɐ p u t	false
19	TORA-19-1	TORA	TORA	tora1263	Torá	Chapacuran	Moreic-Waric	Moreic-Tora	False	19	*fish	227	FISH	hoam	hoam	h o ɐ m	false
20	MORE-95-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	95	*full	1429	FULL	EpE	EpE	a p a	false
21	MORE-48-1	MORE	MORE	iten1243	Itene	Chapacuran	Moreic-Waric	Moreic-Tora	False	48	*hand	1277	HAND	um	um	u m	false
