ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	COMECRUDO-1-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	1	*I	1209	I	na	na	n ɐ	false
2	COMECRUDO-1-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	1	*I	1209	I	yen	yen	j e n	false
3	COMECRUDO-30-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	30	*blood	946	BLOOD	kial	kial	k i ɐ l	false
4	COMECRUDO-31-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	31	*bone	1394	BONE	xi	xi	x i	false
5	COMECRUDO-31-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	31	*bone	1394	BONE	ki	ki	k i	false
6	COMECRUDO-51-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	51	*breasts	1402	BREAST	knem	knem	k n e m	false
7	COMECRUDO-66-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	66	*come	1446	COME	kie	kie	k i e	false
8	COMECRUDO-61-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	61	*die	1494	DIE	plau	plau	p l ɐ u	false
9	COMECRUDO-21-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	21	*dog	2009	DOG	klam	klam	k l ɐ m	false
10	COMECRUDO-54-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	54	*drink	1401	DRINK	kam	kam	k ɐ m	false
11	COMECRUDO-39-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	39	*ear	1247	EAR	ali	ali	ɐ l i	false
12	COMECRUDO-40-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	40	*eye	1248	EYE	ui	ui	u i	false
13	COMECRUDO-40-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	40	*eye	1248	EYE	hui	hui	h u i	false
14	COMECRUDO-82-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	82	*fire	221	FIRE	klewem	klewem	k l e w e m	false
15	COMECRUDO-82-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	82	*fire	221	FIRE	len	len	l e n	false
16	COMECRUDO-19-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	19	*fish	227	FISH	atuis	atuis	ɐ t u i s	false
17	COMECRUDO-48-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	48	*hand	1277	HAND	mapi	mapi	m ɐ p i	false
18	COMECRUDO-58-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	58	*hear	1408	HEAR	ye	ye	j e	false
19	COMECRUDO-34-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	34	*horn	1393	HORN (ANATOMY)	yemo	yemo	j e m o	false
20	COMECRUDO-47-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	47	*knee	1371	KNEE	iapo	iapo	i ɐ p o	false
21	COMECRUDO-25-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	25	*leaf	628	LEAF	xai sel	xai sel	x ɐ i s e l	false
22	COMECRUDO-53-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	53	*liver	1224	LIVER	am	am	ɐ m	false
23	COMECRUDO-22-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	22	*louse	1392	LOUSE	ak	ak	ɐ k	false
24	COMECRUDO-22-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	22	*louse	1392	LOUSE	pati	pati	p ɐ t i	false
25	COMECRUDO-86-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	86	*mountain	639	MOUNTAIN	wai	wai	w ɐ i	false
26	COMECRUDO-100-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	100	*name	1405	NAME	lekau	lekau	l e k ɐ u	false
27	COMECRUDO-96-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	96	*new	1231	NEW	pelex	pelex	p e l e x	false
28	COMECRUDO-96-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	96	*new	1231	NEW	sawalpa	sawalpa	s ɐ w ɐ l p ɐ	false
29	COMECRUDO-92-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	92	*night	1233	NIGHT	glol	glol	g l o l	false
30	COMECRUDO-41-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	41	*nose	1221	NOSE	yax	yax	j ɐ x	false
31	COMECRUDO-11-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	11	*one	1493	ONE	kuitin	kuitin	k u i t i n	false
32	COMECRUDO-85-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	85	*path	2252	PATH	al	al	ɐ l	false
33	COMECRUDO-18-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	18	*person	683	PERSON	estok	estok	e s t o k	false
34	COMECRUDO-57-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	57	*see	1409	SEE	max	max	m ɐ x	false
35	COMECRUDO-57-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	57	*see	1409	SEE	ma	ma	m ɐ	false
36	COMECRUDO-28-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	28	*skin	763	SKIN	ehuem	ehuem	e h u e m	false
37	COMECRUDO-28-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	28	*skin	763	SKIN	emol	emol	e m o l	false
38	COMECRUDO-74-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	74	*star	1430	STAR	ketekui	ketekui	k e t e k u i	false
39	COMECRUDO-77-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	77	*stone	857	STONE	woyekuel	woyekuel	w o j e k u e l	false
40	COMECRUDO-72-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	72	*sun	1343	SUN	al	al	ɐ l	false
41	COMECRUDO-44-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	44	*tongue	1205	TONGUE	expen	expen	e x p e n	false
42	COMECRUDO-43-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	43	*tooth	1380	TOOTH	i	i	i	false
43	COMECRUDO-43-2	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	43	*tooth	1380	TOOTH	iy	iy	i j	false
44	COMECRUDO-23-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	23	*tree	906	TREE	xai	xai	x ɐ i	false
45	COMECRUDO-12-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	12	*two	1498	TWO	alikuitin	alikuitin	ɐ l i k u i t i n	false
46	COMECRUDO-75-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	75	*water	948	WATER	ax	ax	ɐ x	false
47	COMECRUDO-3-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	3	*we	1212	WE	yeinan	yeinan	j e i n ɐ n	false
48	COMECRUDO-2-1	COMECRUDO	COMECRUDO	come1251	Comecrudan				True	2	*you	1215	THOU	nana	nana	n ɐ n ɐ	false
