ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PROTO_DAJU-1-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	1	*I	1209	I	ag	ag	ɐ g	false
2	PROTO_DAJU-30-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	30	*blood	946	BLOOD	tamuke	tamuke	t ɐ m u k e	false
3	PROTO_DAJU-31-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	31	*bone	1394	BONE	Nai	Nai	ŋ ɐ i	false
4	PROTO_DAJU-51-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	51	*breasts	1402	BREAST	idiTe	idiTe	i d i c e	false
5	PROTO_DAJU-66-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	66	*come	1446	COME	wun	wun	w u n	false
6	PROTO_DAJU-61-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	61	*die	1494	DIE	3xs	3xs	ə x s	false
7	PROTO_DAJU-21-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	21	*dog	2009	DOG	ise	ise	i s e	false
8	PROTO_DAJU-54-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	54	*drink	1401	DRINK	wux	wux	w u x	false
9	PROTO_DAJU-39-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	39	*ear	1247	EAR	wunute	wunute	w u n u t e	false
10	PROTO_DAJU-40-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	40	*eye	1248	EYE	aNune	aNune	ɐ ŋ u n e	false
11	PROTO_DAJU-82-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	82	*fire	221	FIRE	mas	mas	m ɐ s	false
12	PROTO_DAJU-19-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	19	*fish	227	FISH	asiTe	asiTe	ɐ s i c e	false
13	PROTO_DAJU-95-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	95	*full	1429	FULL	kap3s	kap3s	k ɐ p ə s	false
14	PROTO_DAJU-48-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	48	*hand	1277	HAND	ande	ande	ɐ n d e	false
15	PROTO_DAJU-34-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	34	*horn	1393	HORN (ANATOMY)	ya	ya	j ɐ	false
16	PROTO_DAJU-47-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	47	*knee	1371	KNEE	simde	simde	s i m d e	false
17	PROTO_DAJU-25-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	25	*leaf	628	LEAF	wunuteewete	wunuteewete	w u n u t e e w e t e	false
18	PROTO_DAJU-53-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	53	*liver	1224	LIVER	muTe	muTe	m u c e	false
19	PROTO_DAJU-22-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	22	*louse	1392	LOUSE	tiNgaxiTe	tiNgaxiTe	t i ŋ g ɐ x i c e	false
20	PROTO_DAJU-86-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	86	*mountain	639	MOUNTAIN	Na	Na	ŋ ɐ	false
21	PROTO_DAJU-100-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	100	*name	1405	NAME	ange	ange	ɐ n g e	false
22	PROTO_DAJU-96-1	PROTO_DAJU	PROTO_DAJU	daju1249	Dajuic				False	96	*new	1231	NEW	tay	tay	t ɐ j	false
