ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DOSO-1-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	1	*I	1209	I	anei	anei	ɐ n e i	false
2	DOSO-30-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	30	*blood	946	BLOOD	omani	omani	o m ɐ n i	false
3	DOSO-31-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	31	*bone	1394	BONE	kh~i	kh~i	kʰ i	false
4	DOSO-51-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	51	*breasts	1402	BREAST	toka	toka	t o k ɐ	false
5	DOSO-66-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	66	*come	1446	COME	andE	andE	ɐ n d a	false
6	DOSO-21-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	21	*dog	2009	DOG	kh~asa	kh~asa	kʰ ɐ s ɐ	false
7	DOSO-39-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	39	*ear	1247	EAR	apu	apu	ɐ p u	false
8	DOSO-40-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	40	*eye	1248	EYE	usa	usa	u s ɐ	false
9	DOSO-82-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	82	*fire	221	FIRE	diki	diki	d i k i	false
10	DOSO-19-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	19	*fish	227	FISH	yah	yah	j ɐ h	false
11	DOSO-48-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	48	*hand	1277	HAND	pEnei	pEnei	p a n e i	false
12	DOSO-58-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	58	*hear	1408	HEAR	durei	durei	d u r e i	false
13	DOSO-47-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	47	*knee	1371	KNEE	swa*	swa*	s w ɐ̃	false
14	DOSO-25-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	25	*leaf	628	LEAF	gusu	gusu	g u s u	false
15	DOSO-22-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	22	*louse	1392	LOUSE	amu	amu	ɐ m u	false
16	DOSO-86-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	86	*mountain	639	MOUNTAIN	pi	pi	p i	false
17	DOSO-100-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	100	*name	1405	NAME	samu	samu	s ɐ m u	false
18	DOSO-41-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	41	*nose	1221	NOSE	bulu	bulu	b u l u	false
19	DOSO-85-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	85	*path	2252	PATH	uzuga	uzuga	u z u g ɐ	false
20	DOSO-18-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	18	*person	683	PERSON	haimo	haimo	h ɐ i m o	false
21	DOSO-57-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	57	*see	1409	SEE	ya*ne*	ya*ne*	j ɐ̃ n ẽ	false
22	DOSO-28-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	28	*skin	763	SKIN	boli	boli	b o l i	false
23	DOSO-74-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	74	*star	1430	STAR	wotoba	wotoba	w o t o b ɐ	false
24	DOSO-77-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	77	*stone	857	STONE	ko	ko	k o	false
25	DOSO-72-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	72	*sun	1343	SUN	kh~ikh~a	kh~ikh~a	kʰ i kʰ ɐ	false
26	DOSO-44-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	44	*tongue	1205	TONGUE	ith~i	ith~i	i tʰ i	false
27	DOSO-43-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	43	*tooth	1380	TOOTH	da	da	d ɐ	false
28	DOSO-23-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	23	*tree	906	TREE	gu	gu	g u	false
29	DOSO-75-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	75	*water	948	WATER	umu	umu	u m u	false
30	DOSO-3-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	3	*we	1212	WE	ai*	ai*	ɐ ĩ	false
31	DOSO-2-1	DOSO	DOSO	doso1239	Doso	Doso-Turumsa			False	2	*you	1215	THOU	na	na	n ɐ	false
