ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	SOUGB-1-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	1	*I	1209	I	dan	dan	d ɐ n	false
2	SOUGB-30-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	30	*blood	946	BLOOD	mogw~ihi	mogw~ihi	m o gʷ i h i	false
3	SOUGB-31-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	31	*bone	1394	BONE	mohori	mohori	m o h o r i	false
4	SOUGB-51-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	51	*breasts	1402	BREAST	maric	maric	m ɐ r i ts	false
5	SOUGB-66-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	66	*come	1446	COME	en	en	e n	false
6	SOUGB-61-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	61	*die	1494	DIE	omom	omom	o m o m	false
7	SOUGB-21-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	21	*dog	2009	DOG	mihi	mihi	m i h i	false
8	SOUGB-54-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	54	*drink	1401	DRINK	ek	ek	e k	false
9	SOUGB-39-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	39	*ear	1247	EAR	ums	ums	u m s	false
10	SOUGB-40-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	40	*eye	1248	EYE	airesi	airesi	ɐ i r e s i	false
11	SOUGB-82-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	82	*fire	221	FIRE	smougb	smougb	s m o u g b	false
12	SOUGB-19-1	SOUGB	SOUGB	mani1235	Sougb	East Bird's Head			False	19	*fish	227	FISH	hosei	hosei	h o s e i	false
