ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	FASU-1-1	FASU	FASU	fasu1242	Fasu				True	1	*I	1209	I	ano	ano	ɐ n o	false
2	NAMUMI-1-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	1	*I	1209	I	anuni	anuni	ɐ n u n i	false
3	FASU-30-1	FASU	FASU	fasu1242	Fasu				True	30	*blood	946	BLOOD	yapi	yapi	j ɐ p i	false
4	NAMUMI-30-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	30	*blood	946	BLOOD	kakusa	kakusa	k ɐ k u s ɐ	false
5	FASU-31-1	FASU	FASU	fasu1242	Fasu				True	31	*bone	1394	BONE	kiki	kiki	k i k i	false
6	NAMUMI-31-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	31	*bone	1394	BONE	kiki	kiki	k i k i	false
7	FASU-51-1	FASU	FASU	fasu1242	Fasu				True	51	*breasts	1402	BREAST	hoko	hoko	h o k o	false
8	NAMUMI-51-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	51	*breasts	1402	BREAST	hotu	hotu	h o t u	false
9	FASU-66-1	FASU	FASU	fasu1242	Fasu				True	66	*come	1446	COME	pera	pera	p e r ɐ	false
10	NAMUMI-66-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	66	*come	1446	COME	piE	piE	p i a	false
11	FASU-21-1	FASU	FASU	fasu1242	Fasu				True	21	*dog	2009	DOG	kasa	kasa	k ɐ s ɐ	false
12	NAMUMI-21-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	21	*dog	2009	DOG	kasa	kasa	k ɐ s ɐ	false
13	FASU-54-1	FASU	FASU	fasu1242	Fasu				True	54	*drink	1401	DRINK	nena	nena	n e n ɐ	false
14	FASU-39-1	FASU	FASU	fasu1242	Fasu				True	39	*ear	1247	EAR	senaki	senaki	s e n ɐ k i	false
15	NAMUMI-39-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	39	*ear	1247	EAR	sinEki	sinEki	s i n a k i	false
16	FASU-40-1	FASU	FASU	fasu1242	Fasu				True	40	*eye	1248	EYE	hi*	hi*	h ĩ	false
17	NAMUMI-40-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	40	*eye	1248	EYE	hi*	hi*	h ĩ	false
18	NAMUMI-82-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	82	*fire	221	FIRE	irokupi	irokupi	i r o k u p i	false
19	FASU-19-1	FASU	FASU	fasu1242	Fasu				True	19	*fish	227	FISH	pu	pu	p u	false
20	FASU-19-2	FASU	FASU	fasu1242	Fasu				True	19	*fish	227	FISH	pokoa	pokoa	p o k o ɐ	false
21	NAMUMI-19-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	19	*fish	227	FISH	poka	poka	p o k ɐ	false
22	FASU-95-1	FASU	FASU	fasu1242	Fasu				True	95	*full	1429	FULL	komarususua	komarususua	k o m ɐ r u s u s u ɐ	false
23	NAMUMI-95-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	95	*full	1429	FULL	komurusai	komurusai	k o m u r u s ɐ i	false
24	FASU-48-1	FASU	FASU	fasu1242	Fasu				True	48	*hand	1277	HAND	hokono	hokono	h o k o n o	false
25	NAMUMI-48-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	48	*hand	1277	HAND	nokanu	nokanu	n o k ɐ n u	false
26	FASU-58-1	FASU	FASU	fasu1242	Fasu				True	58	*hear	1408	HEAR	kaira	kaira	k ɐ i r ɐ	false
27	NAMUMI-58-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	58	*hear	1408	HEAR	kai a	kai a	k ɐ i ɐ	false
28	FASU-47-1	FASU	FASU	fasu1242	Fasu				True	47	*knee	1371	KNEE	kakuna	kakuna	k ɐ k u n ɐ	false
29	NAMUMI-47-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	47	*knee	1371	KNEE	kukunai	kukunai	k u k u n ɐ i	false
30	FASU-25-1	FASU	FASU	fasu1242	Fasu				True	25	*leaf	628	LEAF	ira ku*	ira ku*	i r ɐ k ũ	false
31	NAMUMI-25-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	25	*leaf	628	LEAF	gu	gu	g u	false
32	FASU-53-1	FASU	FASU	fasu1242	Fasu				True	53	*liver	1224	LIVER	kasoko	kasoko	k ɐ s o k o	false
33	FASU-86-1	FASU	FASU	fasu1242	Fasu				True	86	*mountain	639	MOUNTAIN	akai	akai	ɐ k ɐ i	false
34	NAMUMI-86-1	NAMUMI	NAMUMI	fasu1242	Fasu				True	86	*mountain	639	MOUNTAIN	uri	uri	u r i	false
35	FASU-100-1	FASU	FASU	fasu1242	Fasu				True	100	*name	1405	NAME	yano	yano	j ɐ n o	false
