ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	GUATO-1-1	GUATO	GUATO	guat1253	Guató				True	1	*I	1209	I	oyo	oyo	o j o	false
2	GUATO-30-1	GUATO	GUATO	guat1253	Guató				True	30	*blood	946	BLOOD	ogw~a	ogw~a	o gʷ ɐ	false
3	GUATO-31-1	GUATO	GUATO	guat1253	Guató				True	31	*bone	1394	BONE	oku	oku	o k u	false
4	GUATO-51-1	GUATO	GUATO	guat1253	Guató				True	51	*breasts	1402	BREAST	ofa	ofa	o f ɐ	false
5	GUATO-66-1	GUATO	GUATO	guat1253	Guató				True	66	*come	1446	COME	ak3gi	ak3gi	ɐ k ə g i	false
6	GUATO-61-1	GUATO	GUATO	guat1253	Guató				True	61	*die	1494	DIE	Coga	Coga	tʃ o g ɐ	false
7	GUATO-21-1	GUATO	GUATO	guat1253	Guató				True	21	*dog	2009	DOG	ve	ve	v e	false
8	GUATO-54-1	GUATO	GUATO	guat1253	Guató				True	54	*drink	1401	DRINK	ogog3*	ogog3*	o g o g ə̃	false
9	GUATO-39-1	GUATO	GUATO	guat1253	Guató				True	39	*ear	1247	EAR	vi	vi	v i	false
10	GUATO-40-1	GUATO	GUATO	guat1253	Guató				True	40	*eye	1248	EYE	rE	rE	r a	false
11	GUATO-82-1	GUATO	GUATO	guat1253	Guató				True	82	*fire	221	FIRE	ta	ta	t ɐ	false
12	GUATO-19-1	GUATO	GUATO	guat1253	Guató				True	19	*fish	227	FISH	aye	aye	ɐ j e	false
13	GUATO-95-1	GUATO	GUATO	guat1253	Guató				True	95	*full	1429	FULL	peho	peho	p e h o	false
14	GUATO-48-1	GUATO	GUATO	guat1253	Guató				True	48	*hand	1277	HAND	ra	ra	r ɐ	false
15	GUATO-58-1	GUATO	GUATO	guat1253	Guató				True	58	*hear	1408	HEAR	ku*	ku*	k ũ	false
16	GUATO-34-1	GUATO	GUATO	guat1253	Guató				True	34	*horn	1393	HORN (ANATOMY)	ta	ta	t ɐ	false
17	GUATO-47-1	GUATO	GUATO	guat1253	Guató				True	47	*knee	1371	KNEE	roga	roga	r o g ɐ	false
18	GUATO-25-1	GUATO	GUATO	guat1253	Guató				True	25	*leaf	628	LEAF	ku	ku	k u	false
19	GUATO-53-1	GUATO	GUATO	guat1253	Guató				True	53	*liver	1224	LIVER	pE	pE	p a	false
20	GUATO-22-1	GUATO	GUATO	guat1253	Guató				True	22	*louse	1392	LOUSE	pagu	pagu	p ɐ g u	false
21	GUATO-86-1	GUATO	GUATO	guat1253	Guató				True	86	*mountain	639	MOUNTAIN	rapa	rapa	r ɐ p ɐ	false
22	GUATO-96-1	GUATO	GUATO	guat1253	Guató				True	96	*new	1231	NEW	binEg3	binEg3	b i n a g ə	false
23	GUATO-92-1	GUATO	GUATO	guat1253	Guató				True	92	*night	1233	NIGHT	afi	afi	ɐ f i	false
24	GUATO-41-1	GUATO	GUATO	guat1253	Guató				True	41	*nose	1221	NOSE	taga	taga	t ɐ g ɐ	false
25	GUATO-11-1	GUATO	GUATO	guat1253	Guató				True	11	*one	1493	ONE	Cene	Cene	tʃ e n e	false
26	GUATO-85-1	GUATO	GUATO	guat1253	Guató				True	85	*path	2252	PATH	aovi	aovi	ɐ o v i	false
27	GUATO-57-1	GUATO	GUATO	guat1253	Guató				True	57	*see	1409	SEE	harE	harE	h ɐ r a	false
28	GUATO-28-1	GUATO	GUATO	guat1253	Guató				True	28	*skin	763	SKIN	fE	fE	f a	false
29	GUATO-74-1	GUATO	GUATO	guat1253	Guató				True	74	*star	1430	STAR	b3	b3	b ə	false
30	GUATO-77-1	GUATO	GUATO	guat1253	Guató				True	77	*stone	857	STONE	aku	aku	ɐ k u	false
31	GUATO-72-1	GUATO	GUATO	guat1253	Guató				True	72	*sun	1343	SUN	uvE	uvE	u v a	false
32	GUATO-44-1	GUATO	GUATO	guat1253	Guató				True	44	*tongue	1205	TONGUE	CaZa	CaZa	tʃ ɐ ʒ ɐ	false
33	GUATO-43-1	GUATO	GUATO	guat1253	Guató				True	43	*tooth	1380	TOOTH	kw~a	kw~a	kʷ ɐ	false
34	GUATO-23-1	GUATO	GUATO	guat1253	Guató				True	23	*tree	906	TREE	ada	ada	ɐ d ɐ	false
35	GUATO-12-1	GUATO	GUATO	guat1253	Guató				True	12	*two	1498	TWO	duni	duni	d u n i	false
36	GUATO-75-1	GUATO	GUATO	guat1253	Guató				True	75	*water	948	WATER	g3*	g3*	g ə̃	false
37	GUATO-3-1	GUATO	GUATO	guat1253	Guató				True	3	*we	1212	WE	goko	goko	g o k o	false
38	GUATO-2-1	GUATO	GUATO	guat1253	Guató				True	2	*you	1215	THOU	ohe	ohe	o h e	false
