ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	JARAWA-1-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	1	*I	1209	I	mi	mi	m i	false
2	ONGE-1-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	1	*I	1209	I	mi	mi	m i	false
3	JARAWA-30-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	30	*blood	946	BLOOD	CeN	CeN	tʃ e ŋ	false
4	JARAWA-30-2	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	30	*blood	946	BLOOD	aCeN	aCeN	ɐ tʃ e ŋ	false
5	ONGE-30-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	30	*blood	946	BLOOD	aCeNe	aCeNe	ɐ tʃ e ŋ e	false
6	ONGE-30-2	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	30	*blood	946	BLOOD	aTeNe	aTeNe	ɐ c e ŋ e	false
7	JARAWA-31-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	31	*bone	1394	BONE	id3N	id3N	i d ə ŋ	false
8	JARAWA-51-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	51	*breasts	1402	BREAST	akag	akag	ɐ k ɐ g	false
9	ONGE-51-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	51	*breasts	1402	BREAST	agage	agage	ɐ g ɐ g e	false
10	JARAWA-66-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	66	*come	1446	COME	alema	alema	ɐ l e m ɐ	false
11	JARAWA-66-2	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	66	*come	1446	COME	b3ite	b3ite	b ə i t e	false
12	ONGE-66-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	66	*come	1446	COME	ijy~e	ijy~e	i dʒʲ e	false
13	ONGE-66-2	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	66	*come	1446	COME	une7	une7	u n e ʔ	false
14	JARAWA-61-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	61	*die	1494	DIE	peCame	peCame	p e tʃ ɐ m e	false
15	ONGE-61-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	61	*die	1494	DIE	beCame	beCame	b e tʃ ɐ m e	false
16	ONGE-61-2	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	61	*die	1494	DIE	be5Came	be5Came	b e ɲ tʃ ɐ m e	false
17	JARAWA-21-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	21	*dog	2009	DOG	w3m	w3m	w ə m	false
18	JARAWA-21-2	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	21	*dog	2009	DOG	w3me	w3me	w ə m e	false
19	ONGE-21-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	21	*dog	2009	DOG	ueme	ueme	u e m e	false
20	JARAWA-54-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	54	*drink	1401	DRINK	i5Co	i5Co	i ɲ tʃ o	false
21	ONGE-54-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	54	*drink	1401	DRINK	i5y~o	i5y~o	i ɲʲ o	false
22	ONGE-54-2	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	54	*drink	1401	DRINK	ebogili	ebogili	e b o g i l i	false
23	JARAWA-39-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	39	*ear	1247	EAR	ikw~a	ikw~a	i kʷ ɐ	false
24	JARAWA-39-2	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	39	*ear	1247	EAR	ikw~agu	ikw~agu	i kʷ ɐ g u	false
25	ONGE-39-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	39	*ear	1247	EAR	ikw~age	ikw~age	i kʷ ɐ g e	false
26	JARAWA-40-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	40	*eye	1248	EYE	eCepo	eCepo	e tʃ e p o	false
27	ONGE-40-1	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	40	*eye	1248	EYE	ejebo	ejebo	e dʒ e b o	false
28	ONGE-40-2	ONGE	ONGE	onge1236	Önge	Jarawa-Onge			False	40	*eye	1248	EYE	eTebo	eTebo	e c e b o	false
29	JARAWA-82-1	JARAWA	JARAWA	jara1245	Jarawa (India)	Jarawa-Onge			False	82	*fire	221	FIRE	tuh3	tuh3	t u h ə	false
