ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KAPAURI-1-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	1	*I	1209	I	kaku	kaku	k ɐ k u	false
2	KAPAURI_2-1-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	1	*I	1209	I	kako	kako	k ɐ k o	false
3	KAPAURI-30-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	30	*blood	946	BLOOD	kumu	kumu	k u m u	false
4	KAPAURI_2-30-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	30	*blood	946	BLOOD	kumu	kumu	k u m u	false
5	KAPAURI-31-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	31	*bone	1394	BONE	u7	u7	u ʔ	false
6	KAPAURI_2-31-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	31	*bone	1394	BONE	uw	uw	u w	false
7	KAPAURI-51-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	51	*breasts	1402	BREAST	mi	mi	m i	false
8	KAPAURI-66-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	66	*come	1446	COME	aya	aya	ɐ j ɐ	false
9	KAPAURI_2-66-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	66	*come	1446	COME	kahniti	kahniti	k ɐ h n i t i	false
10	KAPAURI-61-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	61	*die	1494	DIE	huhw~anu	huhw~anu	h u hʷ ɐ n u	false
11	KAPAURI-21-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	21	*dog	2009	DOG	unu	unu	u n u	false
12	KAPAURI_2-21-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	21	*dog	2009	DOG	unu	unu	u n u	false
13	KAPAURI-54-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	54	*drink	1401	DRINK	butanu	butanu	b u t ɐ n u	false
14	KAPAURI-39-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	39	*ear	1247	EAR	tuwaru	tuwaru	t u w ɐ r u	false
15	KAPAURI-40-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	40	*eye	1248	EYE	fukani	fukani	f u k ɐ n i	false
16	KAPAURI_2-40-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	40	*eye	1248	EYE	hukwani	hukwani	h u k w ɐ n i	false
17	KAPAURI-82-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	82	*fire	221	FIRE	sEnE7	sEnE7	s a n a ʔ	false
18	KAPAURI_2-82-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	82	*fire	221	FIRE	sene	sene	s e n e	false
19	KAPAURI-19-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	19	*fish	227	FISH	winano	winano	w i n ɐ n o	false
20	KAPAURI_2-48-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	48	*hand	1277	HAND	ta	ta	t ɐ	false
21	KAPAURI-58-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	58	*hear	1408	HEAR	wasru	wasru	w ɐ s r u	false
22	KAPAURI-58-2	KAPAURI	KAPAURI	kapo1250	Kapori				True	58	*hear	1408	HEAR	wasre	wasre	w ɐ s r e	false
23	KAPAURI-47-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	47	*knee	1371	KNEE	n3voLi	n3voLi	n ə v o ʎ i	false
24	KAPAURI-25-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	25	*leaf	628	LEAF	isu7	isu7	i s u ʔ	false
25	KAPAURI-53-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	53	*liver	1224	LIVER	hatri	hatri	h ɐ t r i	false
26	KAPAURI-22-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	22	*louse	1392	LOUSE	hanu	hanu	h ɐ n u	false
27	KAPAURI-22-2	KAPAURI	KAPAURI	kapo1250	Kapori				True	22	*louse	1392	LOUSE	hanu7	hanu7	h ɐ n u ʔ	false
28	KAPAURI_2-22-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	22	*louse	1392	LOUSE	usa	usa	u s ɐ	false
29	KAPAURI-86-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	86	*mountain	639	MOUNTAIN	bLi	bLi	b ʎ i	false
30	KAPAURI-86-2	KAPAURI	KAPAURI	kapo1250	Kapori				True	86	*mountain	639	MOUNTAIN	bri	bri	b r i	false
31	KAPAURI-100-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	100	*name	1405	NAME	weitini	weitini	w e i t i n i	false
32	KAPAURI_2-100-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	100	*name	1405	NAME	witini	witini	w i t i n i	false
33	KAPAURI-96-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	96	*new	1231	NEW	yamru	yamru	j ɐ m r u	false
34	KAPAURI-92-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	92	*night	1233	NIGHT	samiki	samiki	s ɐ m i k i	false
35	KAPAURI_2-92-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	92	*night	1233	NIGHT	samgi	samgi	s ɐ m g i	false
36	KAPAURI-41-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	41	*nose	1221	NOSE	muhu	muhu	m u h u	false
37	KAPAURI-11-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	11	*one	1493	ONE	satu	satu	s ɐ t u	false
38	KAPAURI_2-11-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	11	*one	1493	ONE	kakua	kakua	k ɐ k u ɐ	false
39	KAPAURI-85-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	85	*path	2252	PATH	nawaru	nawaru	n ɐ w ɐ r u	false
40	KAPAURI-18-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	18	*person	683	PERSON	nebetEi	nebetEi	n e b e t a i	false
41	KAPAURI-57-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	57	*see	1409	SEE	huwarE7	huwarE7	h u w ɐ r a ʔ	false
42	KAPAURI_2-57-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	57	*see	1409	SEE	kahware	kahware	k ɐ h w ɐ r e	false
43	KAPAURI-28-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	28	*skin	763	SKIN	uvuni	uvuni	u v u n i	false
44	KAPAURI_2-28-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	28	*skin	763	SKIN	ufunu	ufunu	u f u n u	false
45	KAPAURI-74-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	74	*star	1430	STAR	hukusene7	hukusene7	h u k u s e n e ʔ	false
46	KAPAURI-77-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	77	*stone	857	STONE	Liti	Liti	ʎ i t i	false
47	KAPAURI_2-77-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	77	*stone	857	STONE	liti	liti	l i t i	false
48	KAPAURI-72-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	72	*sun	1343	SUN	niki	niki	n i k i	false
49	KAPAURI_2-72-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	72	*sun	1343	SUN	niki	niki	n i k i	false
50	KAPAURI-44-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	44	*tongue	1205	TONGUE	mEnu	mEnu	m a n u	false
51	KAPAURI-43-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	43	*tooth	1380	TOOTH	wanu	wanu	w ɐ n u	false
52	KAPAURI_2-43-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	43	*tooth	1380	TOOTH	wano	wano	w ɐ n o	false
53	KAPAURI-23-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	23	*tree	906	TREE	hire	hire	h i r e	false
54	KAPAURI-12-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	12	*two	1498	TWO	nafrina	nafrina	n ɐ f r i n ɐ	false
55	KAPAURI_2-12-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	12	*two	1498	TWO	nafrine	nafrine	n ɐ f r i n e	false
56	KAPAURI-75-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	75	*water	948	WATER	bu7	bu7	b u ʔ	false
57	KAPAURI_2-75-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	75	*water	948	WATER	bu	bu	b u	false
58	KAPAURI-3-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	3	*we	1212	WE	aru7	aru7	ɐ r u ʔ	false
59	KAPAURI-3-2	KAPAURI	KAPAURI	kapo1250	Kapori				True	3	*we	1212	WE	aina	aina	ɐ i n ɐ	false
60	KAPAURI_2-3-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	3	*we	1212	WE	aru	aru	ɐ r u	false
61	KAPAURI-2-1	KAPAURI	KAPAURI	kapo1250	Kapori				True	2	*you	1215	THOU	u	u	u	false
62	KAPAURI_2-2-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	2	*you	1215	THOU	u	u	u	false
63	KAPAURI_2-83-1	KAPAURI_2	KAPAURI_2	kapo1250	Kapori				True	83	ash	646	ASH	pusa	pusa	p u s ɐ	false
