ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KEHU-30-1	KEHU	KEHU	kehu1238	Kehu				True	30	*blood	946	BLOOD	pei	pei	p e i	false
2	KEHU_2-30-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	30	*blood	946	BLOOD	kpi	kpi	k p i	false
3	KEUW-30-1	KEUW	KEUW	kehu1238	Kehu				True	30	*blood	946	BLOOD	kpiiyo	kpiiyo	k p i i j o	false
4	KEHU-31-1	KEHU	KEHU	kehu1238	Kehu				True	31	*bone	1394	BONE	EnsEos	EnsEos	a n s a o s	false
5	KEHU-31-2	KEHU	KEHU	kehu1238	Kehu				True	31	*bone	1394	BONE	EnsEoso	EnsEoso	a n s a o s o	false
6	KEHU_2-31-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	31	*bone	1394	BONE	ntyens	ntyens	n t j e n s	false
7	KEUW-31-1	KEUW	KEUW	kehu1238	Kehu				True	31	*bone	1394	BONE	ntyeensyo	ntyeensyo	n t j e e n s j o	false
8	KEHU-51-1	KEHU	KEHU	kehu1238	Kehu				True	51	*breasts	1402	BREAST	tuoli	tuoli	t u o l i	false
9	KEHU_2-51-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	51	*breasts	1402	BREAST	tuli	tuli	t u l i	false
10	KEUW-51-1	KEUW	KEUW	kehu1238	Kehu				True	51	*breasts	1402	BREAST	tuuliyo	tuuliyo	t u u l i j o	false
11	KEHU_2-66-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	66	*come	1446	COME	we	we	w e	false
12	KEUW-66-1	KEUW	KEUW	kehu1238	Kehu				True	66	*come	1446	COME	weeeno	weeeno	w e e e n o	false
13	KEHU-61-1	KEHU	KEHU	kehu1238	Kehu				True	61	*die	1494	DIE	Enkiano	Enkiano	a n k i ɐ n o	false
14	KEHU_2-61-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	61	*die	1494	DIE	kiye	kiye	k i j e	false
15	KEUW-61-1	KEUW	KEUW	kehu1238	Kehu				True	61	*die	1494	DIE	kiyeeno	kiyeeno	k i j e e n o	false
16	KEHU-21-1	KEHU	KEHU	kehu1238	Kehu				True	21	*dog	2009	DOG	unduoliyi	unduoliyi	u n d u o l i j i	false
17	KEHU-54-1	KEHU	KEHU	kehu1238	Kehu				True	54	*drink	1401	DRINK	yiadonsembia	yiadonsembia	j i ɐ d o n s e m b i ɐ	false
18	KEHU_2-54-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	54	*drink	1401	DRINK	ton	ton	t o n	false
19	KEUW-54-1	KEUW	KEUW	kehu1238	Kehu				True	54	*drink	1401	DRINK	toonyo	toonyo	t o o n j o	false
20	KEHU-39-1	KEHU	KEHU	kehu1238	Kehu				True	39	*ear	1247	EAR	tEmi	tEmi	t a m i	false
21	KEHU_2-39-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	39	*ear	1247	EAR	teme	teme	t e m e	false
22	KEUW-39-1	KEUW	KEUW	kehu1238	Kehu				True	39	*ear	1247	EAR	teeemeeyo	teeemeeyo	t e e e m e e j o	false
23	KEHU-40-1	KEHU	KEHU	kehu1238	Kehu				True	40	*eye	1248	EYE	mbruow	mbruow	m b r u o w	false
24	KEHU_2-40-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	40	*eye	1248	EYE	mlul	mlul	m l u l	false
25	KEUW-40-1	KEUW	KEUW	kehu1238	Kehu				True	40	*eye	1248	EYE	mluulyo	mluulyo	m l u u l j o	false
26	KEHU-82-1	KEHU	KEHU	kehu1238	Kehu				True	82	*fire	221	FIRE	undup	undup	u n d u p	false
27	KEHU_2-82-1	KEHU_2	KEHU_2	kehu1238	Kehu				True	82	*fire	221	FIRE	nup	nup	n u p	false
28	KEUW-82-1	KEUW	KEUW	kehu1238	Kehu				True	82	*fire	221	FIRE	nuupyo	nuupyo	n u u p j o	false
29	KEUW-82-2	KEUW	KEUW	kehu1238	Kehu				True	82	*fire	221	FIRE	oopiyo	oopiyo	o o p i j o	false
30	KEHU-19-1	KEHU	KEHU	kehu1238	Kehu				True	19	*fish	227	FISH	kiZo	kiZo	k i ʒ o	false
31	KEUW-19-1	KEUW	KEUW	kehu1238	Kehu				True	19	*fish	227	FISH	kiidyee	kiidyee	k i i d j e e	false
