ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KLAMATH-1-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	1	*I	1209	I	ni	ni	n i	false
2	KLAMATH-1-2	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	1	*I	1209	I	no	no	n o	false
3	KLAMATH-30-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	30	*blood	946	BLOOD	jeqle	jeqle	dʒ e q l e	false
4	KLAMATH-31-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	31	*bone	1394	BONE	qoq"o	qoq"o	q o qʼ o	false
5	KLAMATH-51-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	51	*breasts	1402	BREAST	eC"s	eC"s	e tʃʼ s	false
6	KLAMATH-66-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	66	*come	1446	COME	gv~ebga	gv~ebga	g v e b g ɐ	false
7	KLAMATH-61-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	61	*die	1494	DIE	C"oq"	C"oq"	tʃʼ o qʼ	false
8	KLAMATH-61-2	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	61	*die	1494	DIE	qleg	qleg	q l e g	false
9	KLAMATH-21-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	21	*dog	2009	DOG	waC"ak"	waC"ak"	w ɐ tʃʼ ɐ kʼ	false
10	KLAMATH-54-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	54	*drink	1401	DRINK	bonw	bonw	b o n w	false
11	KLAMATH-39-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	39	*ear	1247	EAR	mom"owC	mom"owC	m o m’ o w tʃ	false
12	KLAMATH-39-2	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	39	*ear	1247	EAR	w"aw"aq	w"aw"aq	w’ ɐ w’ ɐ q	false
13	KLAMATH-40-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	40	*eye	1248	EYE	lolb	lolb	l o l b	false
14	KLAMATH-82-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	82	*fire	221	FIRE	loloq	loloq	l o l o q	false
15	KLAMATH-19-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	19	*fish	227	FISH	ky~em	ky~em	kʲ e m	false
16	KLAMATH-95-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	95	*full	1429	FULL	sda	sda	s d ɐ	false
17	KLAMATH-48-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	48	*hand	1277	HAND	n"ep	n"ep	n’ e p	false
18	KLAMATH-58-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	58	*hear	1408	HEAR	domn	domn	d o m n	false
19	KLAMATH-34-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	34	*horn	1393	HORN (ANATOMY)	toqi	toqi	t o q i	false
20	KLAMATH-47-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	47	*knee	1371	KNEE	q"ol"inC	q"ol"inC	qʼ o l’ i n tʃ	false
21	KLAMATH-25-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	25	*leaf	628	LEAF	t"apq	t"apq	tʼ ɐ p q	false
22	KLAMATH-53-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	53	*liver	1224	LIVER	balla	balla	b ɐ l l ɐ	false
23	KLAMATH-22-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	22	*louse	1392	LOUSE	k"oy	k"oy	kʼ o j	false
24	KLAMATH-86-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	86	*mountain	639	MOUNTAIN	y"an"a	y"an"a	j’ ɐ n’ ɐ	false
25	KLAMATH-100-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	100	*name	1405	NAME	sess	sess	s e s s	false
26	KLAMATH-96-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	96	*new	1231	NEW	t"en	t"en	tʼ e n	false
27	KLAMATH-92-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	92	*night	1233	NIGHT	psin	psin	p s i n	false
28	KLAMATH-41-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	41	*nose	1221	NOSE	psi	psi	p s i	false
29	KLAMATH-11-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	11	*one	1493	ONE	nas	nas	n ɐ s	false
30	KLAMATH-85-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	85	*path	2252	PATH	sdo	sdo	s d o	false
31	KLAMATH-18-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	18	*person	683	PERSON	maqlaq	maqlaq	m ɐ q l ɐ q	false
32	KLAMATH-57-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	57	*see	1409	SEE	sle7	sle7	s l e ʔ	false
33	KLAMATH-74-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	74	*star	1430	STAR	qCol	qCol	q tʃ o l	false
34	KLAMATH-77-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	77	*stone	857	STONE	qday	qday	q d ɐ j	false
35	KLAMATH-72-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	72	*sun	1343	SUN	s7ab	s7ab	s ʔ ɐ b	false
36	KLAMATH-44-1	KLAMATH	KLAMATH	klam1254	Klamath-Modoc				True	44	*tongue	1205	TONGUE	baC	baC	b ɐ tʃ	false
