ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KUJARKE-1-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	1	*I	1209	I	annu	annu	ɐ n n u	false
2	KUJARKE-30-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	30	*blood	946	BLOOD	ibiri	ibiri	i b i r i	false
3	KUJARKE-31-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	31	*bone	1394	BONE	kaTeTa	kaTeTa	k ɐ c e c ɐ	false
4	KUJARKE-31-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	31	*bone	1394	BONE	kayEya	kayEya	k ɐ j a j ɐ	false
5	KUJARKE-51-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	51	*breasts	1402	BREAST	fefe	fefe	f e f e	false
6	KUJARKE-66-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	66	*come	1446	COME	Tia	Tia	c i ɐ	false
7	KUJARKE-61-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	61	*die	1494	DIE	mat	mat	m ɐ t	false
8	KUJARKE-21-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	21	*dog	2009	DOG	bw~a	bw~a	bʷ ɐ	false
9	KUJARKE-21-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	21	*dog	2009	DOG	buha	buha	b u h ɐ	false
10	KUJARKE-54-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	54	*drink	1401	DRINK	gomi	gomi	g o m i	false
11	KUJARKE-39-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	39	*ear	1247	EAR	kumayo	kumayo	k u m ɐ j o	false
12	KUJARKE-39-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	39	*ear	1247	EAR	kime	kime	k i m e	false
13	KUJARKE-40-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	40	*eye	1248	EYE	kunT~u	kunT~u	k u ⁿc u	false
14	KUJARKE-82-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	82	*fire	221	FIRE	tawe	tawe	t ɐ w e	false
15	KUJARKE-19-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	19	*fish	227	FISH	buTa	buTa	b u c ɐ	false
16	KUJARKE-95-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	95	*full	1429	FULL	ubu	ubu	u b u	false
17	KUJARKE-48-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	48	*hand	1277	HAND	afibu	afibu	ɐ f i b u	false
18	KUJARKE-48-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	48	*hand	1277	HAND	ofoNg~e	ofoNg~e	o f o ⁿg e	false
19	KUJARKE-58-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	58	*hear	1408	HEAR	aTigala	aTigala	ɐ c i g ɐ l ɐ	false
20	KUJARKE-34-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	34	*horn	1393	HORN (ANATOMY)	gapfe	gapfe	g ɐ p f e	false
21	KUJARKE-34-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	34	*horn	1393	HORN (ANATOMY)	gaffa	gaffa	g ɐ f f ɐ	false
22	KUJARKE-47-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	47	*knee	1371	KNEE	gufe	gufe	g u f e	false
23	KUJARKE-47-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	47	*knee	1371	KNEE	gife	gife	g i f e	false
24	KUJARKE-25-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	25	*leaf	628	LEAF	gulumb~ayo	gulumb~ayo	g u l u ⁿb ɐ j o	false
25	KUJARKE-53-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	53	*liver	1224	LIVER	kulma	kulma	k u l m ɐ	false
26	KUJARKE-53-2	KUJARKE	KUJARKE	kuja1239	Kujarge				True	53	*liver	1224	LIVER	karle	karle	k ɐ r l e	false
27	KUJARKE-22-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	22	*louse	1392	LOUSE	bita	bita	b i t ɐ	false
28	KUJARKE-86-1	KUJARKE	KUJARKE	kuja1239	Kujarge				True	86	*mountain	639	MOUNTAIN	NaNaru	NaNaru	ŋ ɐ ŋ ɐ r u	false
