ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KUNKARAKANY-1-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	1	*I	1209	I	ar	ar	ɐ r	false
2	KUNKARAKANY-1-2	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	1	*I	1209	I	ara	ara	ɐ r ɐ	false
3	KUNKARAKANY-30-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	30	*blood	946	BLOOD	cila	cila	ts i l ɐ	false
4	KUNKARAKANY-30-2	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	30	*blood	946	BLOOD	cilpan	cilpan	ts i l p ɐ n	false
5	KUNKARAKANY-31-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	31	*bone	1394	BONE	kimu	kimu	k i m u	false
6	KUNKARAKANY-51-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	51	*breasts	1402	BREAST	koyoN	koyoN	k o j o ŋ	false
7	KUNKARAKANY-66-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	66	*come	1446	COME	cimi5	cimi5	ts i m i ɲ	false
8	KUNKARAKANY-66-2	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	66	*come	1446	COME	kara5	kara5	k ɐ r ɐ ɲ	false
9	KUNKARAKANY-61-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	61	*die	1494	DIE	rinTim	rinTim	r i n c i m	false
10	KUNKARAKANY-21-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	21	*dog	2009	DOG	lirmi	lirmi	l i r m i	false
11	KUNKARAKANY-54-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	54	*drink	1401	DRINK	incen	incen	i n ts e n	false
12	KUNKARAKANY-39-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	39	*ear	1247	EAR	cel	cel	ts e l	false
13	KUNKARAKANY-40-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	40	*eye	1248	EYE	mibi	mibi	m i b i	false
14	KUNKARAKANY-82-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	82	*fire	221	FIRE	poNo	poNo	p o ŋ o	false
15	KUNKARAKANY-19-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	19	*fish	227	FISH	meTa	meTa	m e c ɐ	false
16	KUNKARAKANY-95-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	95	*full	1429	FULL	curkcurk wambi5	curkcurk wambi5	ts u r k ts u r k w ɐ m b i ɲ	false
17	KUNKARAKANY-48-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	48	*hand	1277	HAND	mu	mu	m u	false
18	KUNKARAKANY-58-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	58	*hear	1408	HEAR	NoyoN	NoyoN	ŋ o j o ŋ	false
19	KUNKARAKANY-58-2	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	58	*hear	1408	HEAR	Nuyem	Nuyem	ŋ u j e m	false
20	KUNKARAKANY-47-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	47	*knee	1371	KNEE	mitpirk	mitpirk	m i t p i r k	false
21	KUNKARAKANY-47-2	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	47	*knee	1371	KNEE	pomper	pomper	p o m p e r	false
22	KUNKARAKANY-25-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	25	*leaf	628	LEAF	mala	mala	m ɐ l ɐ	false
23	KUNKARAKANY-53-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	53	*liver	1224	LIVER	kukotkot	kukotkot	k u k o t k o t	false
24	KUNKARAKANY-22-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	22	*louse	1392	LOUSE	tin	tin	t i n	false
25	KUNKARAKANY-86-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	86	*mountain	639	MOUNTAIN	kere	kere	k e r e	false
26	KUNKARAKANY-100-1	KUNKARAKANY	KUNKARAKANY	kung1259	Kungarakany				True	100	*name	1405	NAME	kiNi	kiNi	k i ŋ i	false
