ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KUSUNDA-1-1	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	1	*I	1209	I	ci	ci	ts i	false
2	KUSUNDA_2-1-1	KUSUNDA_2	KUSUNDA_2	kusu1250	Kusunda				True	1	*I	1209	I	Ci	Ci	tʃ i	false
3	KUSUNDA-30-1	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	30	*blood	946	BLOOD	l3pa	l3pa	l ə p ɐ	false
4	KUSUNDA_2-30-1	KUSUNDA_2	KUSUNDA_2	kusu1250	Kusunda				True	30	*blood	946	BLOOD	uyu	uyu	u j u	false
5	KUSUNDA_2-30-2	KUSUNDA_2	KUSUNDA_2	kusu1250	Kusunda				True	30	*blood	946	BLOOD	lapa	lapa	l ɐ p ɐ	false
6	KUSUNDA-31-1	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	31	*bone	1394	BONE	guu	guu	g u u	false
7	KUSUNDA-31-2	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	31	*bone	1394	BONE	guhu	guhu	g u h u	false
8	KUSUNDA_2-31-1	KUSUNDA_2	KUSUNDA_2	kusu1250	Kusunda				True	31	*bone	1394	BONE	gu	gu	g u	false
9	KUSUNDA-51-1	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	51	*breasts	1402	BREAST	ambu	ambu	ɐ m b u	false
10	KUSUNDA-51-2	KUSUNDA	KUSUNDA	kusu1250	Kusunda				True	51	*breasts	1402	BREAST	gebh~usa	gebh~usa	g e bʰ u s ɐ	false
11	KUSUNDA_2-51-1	KUSUNDA_2	KUSUNDA_2	kusu1250	Kusunda				True	51	*breasts	1402	BREAST	ambu	ambu	ɐ m b u	false
