ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KUTENAI-1-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	1	*I	1209	I	kamin	kamin	k ɐ m i n	false
2	KUTENAI-30-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	30	*blood	946	BLOOD	wan"mu	wan"mu	w ɐ n’ m u	false
3	KUTENAI-31-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	31	*bone	1394	BONE	mak"	mak"	m ɐ kʼ	false
4	KUTENAI-51-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	51	*breasts	1402	BREAST	xaskak	xaskak	x ɐ s k ɐ k	false
5	KUTENAI-66-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	66	*come	1446	COME	wax	wax	w ɐ x	false
6	KUTENAI-61-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	61	*die	1494	DIE	up	up	u p	false
7	KUTENAI-21-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	21	*dog	2009	DOG	xaLcin	xaLcin	x ɐ ʎ ts i n	false
8	KUTENAI-54-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	54	*drink	1401	DRINK	ikuL	ikuL	i k u ʎ	false
9	KUTENAI-39-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	39	*ear	1247	EAR	uqwat"	uqwat"	u q w ɐ tʼ	false
10	KUTENAI-40-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	40	*eye	1248	EYE	aqLiL	aqLiL	ɐ q ʎ i ʎ	false
11	KUTENAI-82-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	82	*fire	221	FIRE	inq"uku	inq"uku	i n qʼ u k u	false
12	KUTENAI-19-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	19	*fish	227	FISH	kyakxu	kyakxu	k j ɐ k x u	false
13	KUTENAI-95-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	95	*full	1429	FULL	huLakLi	huLakLi	h u ʎ ɐ k ʎ i	false
14	KUTENAI-48-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	48	*hand	1277	HAND	iy	iy	i j	false
15	KUTENAI-58-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	58	*hear	1408	HEAR	huLpaL	huLpaL	h u ʎ p ɐ ʎ	false
16	KUTENAI-34-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	34	*horn	1393	HORN (ANATOMY)	qLi	qLi	q ʎ i	false
17	KUTENAI-47-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	47	*knee	1371	KNEE	anak	anak	ɐ n ɐ k	false
18	KUTENAI-25-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	25	*leaf	628	LEAF	u7Laqpik	u7Laqpik	u ʔ ʎ ɐ q p i k	false
19	KUTENAI-53-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	53	*liver	1224	LIVER	naqapnik"	naqapnik"	n ɐ q ɐ p n i kʼ	false
20	KUTENAI-22-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	22	*louse	1392	LOUSE	hukiy	hukiy	h u k i j	false
21	KUTENAI-86-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	86	*mountain	639	MOUNTAIN	wukLi7it	wukLi7it	w u k ʎ i ʔ i t	false
22	KUTENAI-100-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	100	*name	1405	NAME	ikLiy	ikLiy	i k ʎ i j	false
23	KUTENAI-96-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	96	*new	1231	NEW	wupnik"	wupnik"	w u p n i kʼ	false
24	KUTENAI-92-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	92	*night	1233	NIGHT	ciLmiyit	ciLmiyit	ts i ʎ m i j i t	false
25	KUTENAI-41-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	41	*nose	1221	NOSE	un	un	u n	false
26	KUTENAI-11-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	11	*one	1493	ONE	uk"i	uk"i	u kʼ i	false
27	KUTENAI-85-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	85	*path	2252	PATH	ma7	ma7	m ɐ ʔ	false
28	KUTENAI-18-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	18	*person	683	PERSON	Lcmaknik"	Lcmaknik"	ʎ ts m ɐ k n i kʼ	false
29	KUTENAI-57-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	57	*see	1409	SEE	wukat	wukat	w u k ɐ t	false
30	KUTENAI-28-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	28	*skin	763	SKIN	qLa	qLa	q ʎ ɐ	false
31	KUTENAI-74-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	74	*star	1430	STAR	iLnuhus	iLnuhus	i ʎ n u h u s	false
32	KUTENAI-77-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	77	*stone	857	STONE	nukiy	nukiy	n u k i j	false
33	KUTENAI-72-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	72	*sun	1343	SUN	natanik"	natanik"	n ɐ t ɐ n i kʼ	false
34	KUTENAI-44-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	44	*tongue	1205	TONGUE	waLunak	waLunak	w ɐ ʎ u n ɐ k	false
35	KUTENAI-43-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	43	*tooth	1380	TOOTH	unan"	unan"	u n ɐ n’	false
36	KUTENAI-23-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	23	*tree	906	TREE	icLa7in	icLa7in	i ts ʎ ɐ ʔ i n	false
37	KUTENAI-12-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	12	*two	1498	TWO	as	as	ɐ s	false
38	KUTENAI-75-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	75	*water	948	WATER	wu7u	wu7u	w u ʔ u	false
39	KUTENAI-3-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	3	*we	1212	WE	kamnaLa	kamnaLa	k ɐ m n ɐ ʎ ɐ	false
40	KUTENAI-2-1	KUTENAI	KUTENAI	kute1249	Kutenai				True	2	*you	1215	THOU	ninku	ninku	n i n k u	false
