ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	KWOMTARI-1-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	1	*I	1209	I	m3n3	m3n3	m ə n ə	false
2	NAI-1-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	1	*I	1209	I	nombw~irE	nombw~irE	n o m bʷ i r a	false
3	NAI_2-1-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	1	*I	1209	I	nobuile	nobuile	n o b u i l e	false
4	NAI_3-1-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	1	*I	1209	I	nombwir3	nombwir3	n o m b w i r ə	false
5	KWOMTARI-30-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	30	*blood	946	BLOOD	pui	pui	p u i	false
6	NAI_2-30-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	30	*blood	946	BLOOD	niefe	niefe	n i e f e	false
7	NAI_3-30-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	30	*blood	946	BLOOD	nyEp3	nyEp3	n j a p ə	false
8	KWOMTARI-31-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	31	*bone	1394	BONE	kolilu	kolilu	k o l i l u	false
9	NAI_3-31-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	31	*bone	1394	BONE	kwuriro	kwuriro	k w u r i r o	false
10	NAI-51-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	51	*breasts	1402	BREAST	toto	toto	t o t o	false
11	NAI_2-51-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	51	*breasts	1402	BREAST	t3tu	t3tu	t ə t u	false
12	NAI_3-51-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	51	*breasts	1402	BREAST	totu	totu	t o t u	false
13	KWOMTARI-66-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	66	*come	1446	COME	ri3	ri3	r i ə	false
14	NAI-66-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	66	*come	1446	COME	di	di	d i	false
15	NAI_2-66-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	66	*come	1446	COME	di	di	d i	false
16	KWOMTARI-61-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	61	*die	1494	DIE	tafila	tafila	t ɐ f i l ɐ	false
17	NAI_2-61-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	61	*die	1494	DIE	me	me	m e	false
18	KWOMTARI-21-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	21	*dog	2009	DOG	kLipu	kLipu	k ʎ i p u	false
19	NAI-21-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	21	*dog	2009	DOG	mau	mau	m ɐ u	false
20	NAI_2-21-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	21	*dog	2009	DOG	mau	mau	m ɐ u	false
21	NAI_3-21-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	21	*dog	2009	DOG	mau	mau	m ɐ u	false
22	KWOMTARI-54-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	54	*drink	1401	DRINK	fu	fu	f u	false
23	NAI-54-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	54	*drink	1401	DRINK	fwi	fwi	f w i	false
24	NAI_2-54-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	54	*drink	1401	DRINK	fui	fui	f u i	false
25	KWOMTARI-39-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	39	*ear	1247	EAR	putEni	putEni	p u t a n i	false
26	NAI-39-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	39	*ear	1247	EAR	finobu	finobu	f i n o b u	false
27	NAI_3-39-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	39	*ear	1247	EAR	winumbo	winumbo	w i n u m b o	false
28	KWOMTARI-40-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	40	*eye	1248	EYE	u	u	u	false
29	NAI-40-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	40	*eye	1248	EYE	wo	wo	w o	false
30	NAI_3-40-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	40	*eye	1248	EYE	wo	wo	w o	false
31	KWOMTARI-82-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	82	*fire	221	FIRE	i	i	i	false
32	NAI-82-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	82	*fire	221	FIRE	yei	yei	j e i	false
33	NAI_2-82-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	82	*fire	221	FIRE	yei	yei	j e i	false
34	NAI_3-82-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	82	*fire	221	FIRE	yei	yei	j e i	false
35	KWOMTARI-19-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	19	*fish	227	FISH	rori	rori	r o r i	false
36	NAI-19-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	19	*fish	227	FISH	akray	akray	ɐ k r ɐ j	false
37	NAI_3-19-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	19	*fish	227	FISH	akrei	akrei	ɐ k r e i	false
38	NAI_2-95-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	95	*full	1429	FULL	fro	fro	f r o	false
39	NAI-48-1	NAI	NAI	naii1241	Nai	Kwomtari-Nai			False	48	*hand	1277	HAND	ami	ami	ɐ m i	false
40	NAI_2-48-1	NAI_2	NAI_2	naii1241	Nai	Kwomtari-Nai			False	48	*hand	1277	HAND	ami	ami	ɐ m i	false
41	NAI_3-48-1	NAI_3	NAI_3	naii1241	Nai	Kwomtari-Nai			False	48	*hand	1277	HAND	ame	ame	ɐ m e	false
42	KWOMTARI-58-1	KWOMTARI	KWOMTARI	nucl1593	Kwomtari	Kwomtari-Nai			False	58	*hear	1408	HEAR	fi3	fi3	f i ə	false
