ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	TEGEM-1-1	TEGEM	TEGEM	lafo1243	Lafofa				True	1	*I	1209	I	5aTi	5aTi	ɲ ɐ c i	false
2	TEGEM-30-1	TEGEM	TEGEM	lafo1243	Lafofa				True	30	*blood	946	BLOOD	5i	5i	ɲ i	false
3	TEGEM-31-1	TEGEM	TEGEM	lafo1243	Lafofa				True	31	*bone	1394	BONE	tuami	tuami	t u ɐ m i	false
4	TEGEM-51-1	TEGEM	TEGEM	lafo1243	Lafofa				True	51	*breasts	1402	BREAST	tuga	tuga	t u g ɐ	false
5	TEGEM-66-1	TEGEM	TEGEM	lafo1243	Lafofa				True	66	*come	1446	COME	kidiel	kidiel	k i d i e l	false
6	TEGEM-61-1	TEGEM	TEGEM	lafo1243	Lafofa				True	61	*die	1494	DIE	Nu5wi	Nu5wi	ŋ u ɲ w i	false
7	TEGEM-21-1	TEGEM	TEGEM	lafo1243	Lafofa				True	21	*dog	2009	DOG	bapu	bapu	b ɐ p u	false
8	TEGEM-54-1	TEGEM	TEGEM	lafo1243	Lafofa				True	54	*drink	1401	DRINK	Tui	Tui	c u i	false
9	TEGEM-39-1	TEGEM	TEGEM	lafo1243	Lafofa				True	39	*ear	1247	EAR	tiay	tiay	t i ɐ j	false
10	TEGEM-40-1	TEGEM	TEGEM	lafo1243	Lafofa				True	40	*eye	1248	EYE	ti	ti	t i	false
11	TEGEM-82-1	TEGEM	TEGEM	lafo1243	Lafofa				True	82	*fire	221	FIRE	ti	ti	t i	false
12	TEGEM-19-1	TEGEM	TEGEM	lafo1243	Lafofa				True	19	*fish	227	FISH	paN	paN	p ɐ ŋ	false
13	TEGEM-95-1	TEGEM	TEGEM	lafo1243	Lafofa				True	95	*full	1429	FULL	nd~ay	nd~ay	ⁿd ɐ j	false
14	TEGEM-95-2	TEGEM	TEGEM	lafo1243	Lafofa				True	95	*full	1429	FULL	ka nd~ay	ka nd~ay	k ɐ ⁿd ɐ j	false
