ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DJEEBBANA-1-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	1	*I	1209	I	Nayaba	Nayaba	ŋ ɐ j ɐ b ɐ	false
2	DJEEBBANA-30-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	30	*blood	946	BLOOD	kanbilibala	kanbilibala	k ɐ n b i l i b ɐ l ɐ	false
3	DJEEBBANA-31-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	31	*bone	1394	BONE	yida	yida	j i d ɐ	false
4	DJEEBBANA-31-2	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	31	*bone	1394	BONE	madada	madada	m ɐ d ɐ d ɐ	false
5	DJEEBBANA-51-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	51	*breasts	1402	BREAST	kolola	kolola	k o l o l ɐ	false
6	DJEEBBANA-66-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	66	*come	1446	COME	balo	balo	b ɐ l o	false
7	DJEEBBANA-61-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	61	*die	1494	DIE	dy~uwe	dy~uwe	dʲ u w e	false
8	DJEEBBANA-21-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	21	*dog	2009	DOG	barbaya	barbaya	b ɐ r b ɐ j ɐ	false
9	DJEEBBANA-54-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	54	*drink	1401	DRINK	dy~i	dy~i	dʲ i	false
10	DJEEBBANA-39-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	39	*ear	1247	EAR	kala	kala	k ɐ l ɐ	false
11	DJEEBBANA-40-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	40	*eye	1248	EYE	dila	dila	d i l ɐ	false
12	DJEEBBANA-82-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	82	*fire	221	FIRE	yuya	yuya	j u j ɐ	false
13	DJEEBBANA-19-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	19	*fish	227	FISH	bokala	bokala	b o k ɐ l ɐ	false
14	DJEEBBANA-19-2	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	19	*fish	227	FISH	yokara	yokara	j o k ɐ r ɐ	false
15	DJEEBBANA-48-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	48	*hand	1277	HAND	kudy~a	kudy~a	k u dʲ ɐ	false
16	DJEEBBANA-58-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	58	*hear	1408	HEAR	lakala	lakala	l ɐ k ɐ l ɐ	false
17	DJEEBBANA-47-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	47	*knee	1371	KNEE	5ama5a	5ama5a	ɲ ɐ m ɐ ɲ ɐ	false
18	DJEEBBANA-25-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	25	*leaf	628	LEAF	kakara	kakara	k ɐ k ɐ r ɐ	false
19	DJEEBBANA-53-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	53	*liver	1224	LIVER	Nadabamba	Nadabamba	ŋ ɐ d ɐ b ɐ m b ɐ	false
20	DJEEBBANA-22-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	22	*louse	1392	LOUSE	kada	kada	k ɐ d ɐ	false
21	DJEEBBANA-22-2	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	22	*louse	1392	LOUSE	kakarakarwaNa	kakarakarwaNa	k ɐ k ɐ r ɐ k ɐ r w ɐ ŋ ɐ	false
22	DJEEBBANA-100-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	100	*name	1405	NAME	wala	wala	w ɐ l ɐ	false
23	DJEEBBANA-96-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	96	*new	1231	NEW	kekaka	kekaka	k e k ɐ k ɐ	false
24	DJEEBBANA-41-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	41	*nose	1221	NOSE	maNuya	maNuya	m ɐ ŋ u j ɐ	false
25	DJEEBBANA-11-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	11	*one	1493	ONE	waraba	waraba	w ɐ r ɐ b ɐ	false
26	DJEEBBANA-85-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	85	*path	2252	PATH	kalakorba	kalakorba	k ɐ l ɐ k o r b ɐ	false
27	DJEEBBANA-18-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	18	*person	683	PERSON	lakara	lakara	l ɐ k ɐ r ɐ	false
28	DJEEBBANA-57-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	57	*see	1409	SEE	na	na	n ɐ	false
29	DJEEBBANA-28-1	DJEEBBANA	DJEEBBANA	djee1236	Djeebbana	Maningrida			False	28	*skin	763	SKIN	koda	koda	k o d ɐ	false
