ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MASSEP-1-1	MASSEP	MASSEP	mass1263	Massep				True	1	*I	1209	I	ka	ka	k ɐ	false
2	MASSEP-30-1	MASSEP	MASSEP	mass1263	Massep				True	30	*blood	946	BLOOD	komobe	komobe	k o m o b e	false
3	MASSEP-31-1	MASSEP	MASSEP	mass1263	Massep				True	31	*bone	1394	BONE	koke	koke	k o k e	false
4	MASSEP-51-1	MASSEP	MASSEP	mass1263	Massep				True	51	*breasts	1402	BREAST	sababe	sababe	s ɐ b ɐ b e	false
5	MASSEP-66-1	MASSEP	MASSEP	mass1263	Massep				True	66	*come	1446	COME	m3napai	m3napai	m ə n ɐ p ɐ i	false
6	MASSEP-61-1	MASSEP	MASSEP	mass1263	Massep				True	61	*die	1494	DIE	marakona	marakona	m ɐ r ɐ k o n ɐ	false
7	MASSEP-21-1	MASSEP	MASSEP	mass1263	Massep				True	21	*dog	2009	DOG	onobe	onobe	o n o b e	false
8	MASSEP-39-1	MASSEP	MASSEP	mass1263	Massep				True	39	*ear	1247	EAR	irmopibe	irmopibe	i r m o p i b e	false
9	MASSEP-40-1	MASSEP	MASSEP	mass1263	Massep				True	40	*eye	1248	EYE	nobe	nobe	n o b e	false
10	MASSEP-82-1	MASSEP	MASSEP	mass1263	Massep				True	82	*fire	221	FIRE	yaSe	yaSe	j ɐ ʃ e	false
11	MASSEP-19-1	MASSEP	MASSEP	mass1263	Massep				True	19	*fish	227	FISH	matawe	matawe	m ɐ t ɐ w e	false
12	MASSEP-95-1	MASSEP	MASSEP	mass1263	Massep				True	95	*full	1429	FULL	manokekab3ra	manokekab3ra	m ɐ n o k e k ɐ b ə r ɐ	false
13	MASSEP-48-1	MASSEP	MASSEP	mass1263	Massep				True	48	*hand	1277	HAND	ekgabe	ekgabe	e k g ɐ b e	false
14	MASSEP-58-1	MASSEP	MASSEP	mass1263	Massep				True	58	*hear	1408	HEAR	pasinyo	pasinyo	p ɐ s i n j o	false
15	MASSEP-34-1	MASSEP	MASSEP	mass1263	Massep				True	34	*horn	1393	HORN (ANATOMY)	wanabe	wanabe	w ɐ n ɐ b e	false
16	MASSEP-47-1	MASSEP	MASSEP	mass1263	Massep				True	47	*knee	1371	KNEE	siCn3mabe	siCn3mabe	s i tʃ n ə m ɐ b e	false
17	MASSEP-25-1	MASSEP	MASSEP	mass1263	Massep				True	25	*leaf	628	LEAF	pibi	pibi	p i b i	false
18	MASSEP-53-1	MASSEP	MASSEP	mass1263	Massep				True	53	*liver	1224	LIVER	iwinye	iwinye	i w i n j e	false
19	MASSEP-22-1	MASSEP	MASSEP	mass1263	Massep				True	22	*louse	1392	LOUSE	sinome	sinome	s i n o m e	false
20	MASSEP-86-1	MASSEP	MASSEP	mass1263	Massep				True	86	*mountain	639	MOUNTAIN	motorabe	motorabe	m o t o r ɐ b e	false
21	MASSEP-100-1	MASSEP	MASSEP	mass1263	Massep				True	100	*name	1405	NAME	okobe	okobe	o k o b e	false
22	MASSEP-96-1	MASSEP	MASSEP	mass1263	Massep				True	96	*new	1231	NEW	mira5awe	mira5awe	m i r ɐ ɲ ɐ w e	false
23	MASSEP-92-1	MASSEP	MASSEP	mass1263	Massep				True	92	*night	1233	NIGHT	wine	wine	w i n e	false
24	MASSEP-41-1	MASSEP	MASSEP	mass1263	Massep				True	41	*nose	1221	NOSE	indiCe	indiCe	i n d i tʃ e	false
25	MASSEP-11-1	MASSEP	MASSEP	mass1263	Massep				True	11	*one	1493	ONE	m3ne3xa	m3ne3xa	m ə n e ə x ɐ	false
26	MASSEP-85-1	MASSEP	MASSEP	mass1263	Massep				True	85	*path	2252	PATH	sane	sane	s ɐ n e	false
27	MASSEP-18-1	MASSEP	MASSEP	mass1263	Massep				True	18	*person	683	PERSON	kine	kine	k i n e	false
28	MASSEP-57-1	MASSEP	MASSEP	mass1263	Massep				True	57	*see	1409	SEE	wari	wari	w ɐ r i	false
29	MASSEP-28-1	MASSEP	MASSEP	mass1263	Massep				True	28	*skin	763	SKIN	mai3re	mai3re	m ɐ i ə r e	false
30	MASSEP-74-1	MASSEP	MASSEP	mass1263	Massep				True	74	*star	1430	STAR	Embrobi	Embrobi	a m b r o b i	false
31	MASSEP-77-1	MASSEP	MASSEP	mass1263	Massep				True	77	*stone	857	STONE	sirinakatiri	sirinakatiri	s i r i n ɐ k ɐ t i r i	false
32	MASSEP-72-1	MASSEP	MASSEP	mass1263	Massep				True	72	*sun	1343	SUN	sobe	sobe	s o b e	false
33	MASSEP-44-1	MASSEP	MASSEP	mass1263	Massep				True	44	*tongue	1205	TONGUE	satoribe	satoribe	s ɐ t o r i b e	false
34	MASSEP-43-1	MASSEP	MASSEP	mass1263	Massep				True	43	*tooth	1380	TOOTH	wanabe	wanabe	w ɐ n ɐ b e	false
35	MASSEP-23-1	MASSEP	MASSEP	mass1263	Massep				True	23	*tree	906	TREE	warane	warane	w ɐ r ɐ n e	false
36	MASSEP-12-1	MASSEP	MASSEP	mass1263	Massep				True	12	*two	1498	TWO	nab3ni	nab3ni	n ɐ b ə n i	false
37	MASSEP-75-1	MASSEP	MASSEP	mass1263	Massep				True	75	*water	948	WATER	emare	emare	e m ɐ r e	false
38	MASSEP-3-1	MASSEP	MASSEP	mass1263	Massep				True	3	*we	1212	WE	5i	5i	ɲ i	false
39	MASSEP-2-1	MASSEP	MASSEP	mass1263	Massep				True	2	*you	1215	THOU	Ngo	Ngo	ŋ g o	false
40	MASSEP-9-1	MASSEP	MASSEP	mass1263	Massep				True	9	all	98	ALL	birananar	birananar	b i r ɐ n ɐ n ɐ r	false
41	MASSEP-83-1	MASSEP	MASSEP	mass1263	Massep				True	83	ash	646	ASH	iSape	iSape	i ʃ ɐ p e	false
42	MASSEP-27-1	MASSEP	MASSEP	mass1263	Massep				True	27	bark	1204	BARK	mai3re	mai3re	m ɐ i ə r e	false
43	MASSEP-49-1	MASSEP	MASSEP	mass1263	Massep				True	49	belly	1251	BELLY	tone	tone	t o n e	false
44	MASSEP-13-1	MASSEP	MASSEP	mass1263	Massep				True	13	big	1202	BIG	katiriji	katiriji	k ɐ t i r i dʒ i	false
45	MASSEP-20-1	MASSEP	MASSEP	mass1263	Massep				True	20	bird	937	BIRD	inyane	inyane	i n j ɐ n e	false
46	MASSEP-56-1	MASSEP	MASSEP	mass1263	Massep				True	56	bite	1403	BITE	pakwano	pakwano	p ɐ k w ɐ n o	false
47	MASSEP-91-1	MASSEP	MASSEP	mass1263	Massep				True	91	black	163	BLACK	kokope	kokope	k o k o p e	false
48	MASSEP-84-1	MASSEP	MASSEP	mass1263	Massep				True	84	burn	2102	BURN	rairos3nap3ri	rairos3nap3ri	r ɐ i r o s ə n ɐ p ə r i	false
49	MASSEP-45-1	MASSEP	MASSEP	mass1263	Massep				True	45	claw	72	CLAW	ekamipigy~e	ekamipigy~e	e k ɐ m i p i gʲ e	false
50	MASSEP-80-1	MASSEP	MASSEP	mass1263	Massep				True	80	cloud	1489	CLOUD	sas3kairabe	sas3kairabe	s ɐ s ə k ɐ i r ɐ b e	false
51	MASSEP-94-1	MASSEP	MASSEP	mass1263	Massep				True	94	cold	1287	COLD	ninipe	ninipe	n i n i p e	false
52	MASSEP-99-1	MASSEP	MASSEP	mass1263	Massep				True	99	dry	1398	DRY	as3xanye	as3xanye	ɐ s ə x ɐ n j e	false
53	MASSEP-79-1	MASSEP	MASSEP	mass1263	Massep				True	79	earth	1228	EARTH (SOIL)	raire	raire	r ɐ i r e	false
54	MASSEP-55-1	MASSEP	MASSEP	mass1263	Massep				True	55	eat	1336	EAT	kwana	kwana	k w ɐ n ɐ	false
55	MASSEP-33-1	MASSEP	MASSEP	mass1263	Massep				True	33	egg	744	EGG	yaw3r si5e	yaw3r si5e	j ɐ w ə r s i ɲ e	false
56	MASSEP-36-1	MASSEP	MASSEP	mass1263	Massep				True	36	feather	1201	FEATHER	warambare	warambare	w ɐ r ɐ m b ɐ r e	false
57	MASSEP-29-1	MASSEP	MASSEP	mass1263	Massep				True	29	flesh	2259	FLESH	pigy~e	pigy~e	p i gʲ e	false
58	MASSEP-64-1	MASSEP	MASSEP	mass1263	Massep				True	64	fly	1441	FLY (MOVE THROUGH AIR)	k3riS3roNg3no	k3riS3roNg3no	k ə r i ʃ ə r o ŋ g ə n o	false
59	MASSEP-46-1	MASSEP	MASSEP	mass1263	Massep				True	46	foot	1301	FOOT	tenebe	tenebe	t e n e b e	false
60	MASSEP-70-1	MASSEP	MASSEP	mass1263	Massep				True	70	give	1447	GIVE	amwoC3kai	amwoC3kai	ɐ m w o tʃ ə k ɐ i	false
61	MASSEP-97-1	MASSEP	MASSEP	mass1263	Massep				True	97	good	1035	GOOD	manyiNge	manyiNge	m ɐ n j i ŋ g e	false
62	MASSEP-32-1	MASSEP	MASSEP	mass1263	Massep				True	32	grease	323	FAT (ORGANIC SUBSTANCE)	kasasai	kasasai	k ɐ s ɐ s ɐ i	false
