ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	MOLALA-1-1	MOLALA	MOLALA	mola1238	Molale				True	1	*I	1209	I	ina	ina	i n ɐ	false
2	MOLALA-1-2	MOLALA	MOLALA	mola1238	Molale				True	1	*I	1209	I	inc	inc	i n ts	false
3	MOLALA-30-1	MOLALA	MOLALA	mola1238	Molale				True	30	*blood	946	BLOOD	aLp	aLp	ɐ ʎ p	false
4	MOLALA-31-1	MOLALA	MOLALA	mola1238	Molale				True	31	*bone	1394	BONE	pupt	pupt	p u p t	false
5	MOLALA-51-1	MOLALA	MOLALA	mola1238	Molale				True	51	*breasts	1402	BREAST	kuks	kuks	k u k s	false
6	MOLALA-66-1	MOLALA	MOLALA	mola1238	Molale				True	66	*come	1446	COME	walayat	walayat	w ɐ l ɐ j ɐ t	false
7	MOLALA-61-1	MOLALA	MOLALA	mola1238	Molale				True	61	*die	1494	DIE	yawin	yawin	j ɐ w i n	false
8	MOLALA-21-1	MOLALA	MOLALA	mola1238	Molale				True	21	*dog	2009	DOG	kamuks	kamuks	k ɐ m u k s	false
9	MOLALA-21-2	MOLALA	MOLALA	mola1238	Molale				True	21	*dog	2009	DOG	saka7	saka7	s ɐ k ɐ ʔ	false
10	MOLALA-54-1	MOLALA	MOLALA	mola1238	Molale				True	54	*drink	1401	DRINK	uqun	uqun	u q u n	false
11	MOLALA-39-1	MOLALA	MOLALA	mola1238	Molale				True	39	*ear	1247	EAR	taps	taps	t ɐ p s	false
12	MOLALA-40-1	MOLALA	MOLALA	mola1238	Molale				True	40	*eye	1248	EYE	tunLnu7	tunLnu7	t u n ʎ n u ʔ	false
13	MOLALA-82-1	MOLALA	MOLALA	mola1238	Molale				True	82	*fire	221	FIRE	tec	tec	t e ts	false
14	MOLALA-19-1	MOLALA	MOLALA	mola1238	Molale				True	19	*fish	227	FISH	lawat	lawat	l ɐ w ɐ t	false
15	MOLALA-48-1	MOLALA	MOLALA	mola1238	Molale				True	48	*hand	1277	HAND	tes	tes	t e s	false
16	MOLALA-58-1	MOLALA	MOLALA	mola1238	Molale				True	58	*hear	1408	HEAR	tpa	tpa	t p ɐ	false
17	MOLALA-47-1	MOLALA	MOLALA	mola1238	Molale				True	47	*knee	1371	KNEE	saLpupt	saLpupt	s ɐ ʎ p u p t	false
18	MOLALA-25-1	MOLALA	MOLALA	mola1238	Molale				True	25	*leaf	628	LEAF	Lus	Lus	ʎ u s	false
19	MOLALA-53-1	MOLALA	MOLALA	mola1238	Molale				True	53	*liver	1224	LIVER	ceqp	ceqp	ts e q p	false
20	MOLALA-22-1	MOLALA	MOLALA	mola1238	Molale				True	22	*louse	1392	LOUSE	ple7	ple7	p l e ʔ	false
21	MOLALA-22-2	MOLALA	MOLALA	mola1238	Molale				True	22	*louse	1392	LOUSE	kini	kini	k i n i	false
22	MOLALA-86-1	MOLALA	MOLALA	mola1238	Molale				True	86	*mountain	639	MOUNTAIN	iaNint~	iaNint~	i ɐ ŋ i ⁿt	false
23	MOLALA-100-1	MOLALA	MOLALA	mola1238	Molale				True	100	*name	1405	NAME	hestuqs	hestuqs	h e s t u q s	false
24	MOLALA-92-1	MOLALA	MOLALA	mola1238	Molale				True	92	*night	1233	NIGHT	pisqay7	pisqay7	p i s q ɐ j ʔ	false
25	MOLALA-41-1	MOLALA	MOLALA	mola1238	Molale				True	41	*nose	1221	NOSE	piLc	piLc	p i ʎ ts	false
