ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	NATCHEZ-1-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	1	*I	1209	I	takaha	takaha	t ɐ k ɐ h ɐ	false
2	NATCHEZ-1-2	NATCHEZ	NATCHEZ	natc1249	Natchez				True	1	*I	1209	I	tagaxa	tagaxa	t ɐ g ɐ x ɐ	false
3	NATCHEZ-30-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	30	*blood	946	BLOOD	idSa	idSa	i d ʃ ɐ	false
4	NATCHEZ-30-2	NATCHEZ	NATCHEZ	natc1249	Natchez				True	30	*blood	946	BLOOD	iC	iC	i tʃ	false
5	NATCHEZ-31-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	31	*bone	1394	BONE	ekw~el	ekw~el	e kʷ e l	false
6	NATCHEZ-51-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	51	*breasts	1402	BREAST	Suya	Suya	ʃ u j ɐ	false
7	NATCHEZ-66-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	66	*come	1446	COME	katataho	katataho	k ɐ t ɐ t ɐ h o	false
8	NATCHEZ-61-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	61	*die	1494	DIE	yuatik	yuatik	j u ɐ t i k	false
9	NATCHEZ-21-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	21	*dog	2009	DOG	waSkup	waSkup	w ɐ ʃ k u p	false
10	NATCHEZ-54-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	54	*drink	1401	DRINK	haku	haku	h ɐ k u	false
11	NATCHEZ-39-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	39	*ear	1247	EAR	ibuka	ibuka	i b u k ɐ	false
12	NATCHEZ-40-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	40	*eye	1248	EYE	uktuL	uktuL	u k t u ʎ	false
13	NATCHEZ-40-2	NATCHEZ	NATCHEZ	natc1249	Natchez				True	40	*eye	1248	EYE	oktul	oktul	o k t u l	false
14	NATCHEZ-82-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	82	*fire	221	FIRE	uwah	uwah	u w ɐ h	false
15	NATCHEZ-19-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	19	*fish	227	FISH	en	en	e n	false
16	NATCHEZ-48-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	48	*hand	1277	HAND	izha	izha	i z h ɐ	false
17	NATCHEZ-58-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	58	*hear	1408	HEAR	epledal	epledal	e p l e d ɐ l	false
18	NATCHEZ-34-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	34	*horn	1393	HORN (ANATOMY)	kama	kama	k ɐ m ɐ	false
19	NATCHEZ-47-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	47	*knee	1371	KNEE	okSoya	okSoya	o k ʃ o j ɐ	false
20	NATCHEZ-25-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	25	*leaf	628	LEAF	atul	atul	ɐ t u l	false
21	NATCHEZ-53-1	NATCHEZ	NATCHEZ	natc1249	Natchez				True	53	*liver	1224	LIVER	Sulgup	Sulgup	ʃ u l g u p	false
