ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PAEZ-1-1	PAEZ	PAEZ	paez1247	Páez				True	1	*I	1209	I	andy~	andy~	ɐ n dʲ	false
2	PAEZ-1-2	PAEZ	PAEZ	paez1247	Páez				True	1	*I	1209	I	u*7kwe	u*7kwe	ũ ʔ k w e	false
3	PAEZ-30-1	PAEZ	PAEZ	paez1247	Páez				True	30	*blood	946	BLOOD	e	e	e	false
4	PAEZ_2-30-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	30	*blood	946	BLOOD	e	e	e	false
5	PAEZ-31-1	PAEZ	PAEZ	paez1247	Páez				True	31	*bone	1394	BONE	dy~ith~	dy~ith~	dʲ i tʰ	false
6	PAEZ-51-1	PAEZ	PAEZ	paez1247	Páez				True	51	*breasts	1402	BREAST	CuC	CuC	tʃ u tʃ	false
7	PAEZ_2-51-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	51	*breasts	1402	BREAST	mekis	mekis	m e k i s	false
8	PAEZ-66-1	PAEZ	PAEZ	paez1247	Páez				True	66	*come	1446	COME	yuh	yuh	j u h	false
9	PAEZ_2-66-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	66	*come	1446	COME	pesaty~	pesaty~	p e s ɐ tʲ	false
10	PAEZ-61-1	PAEZ	PAEZ	paez1247	Páez				True	61	*die	1494	DIE	u	u	u	false
11	PAEZ_2-61-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	61	*die	1494	DIE	o	o	o	false
12	PAEZ-21-1	PAEZ	PAEZ	paez1247	Páez				True	21	*dog	2009	DOG	alku	alku	ɐ l k u	false
13	PAEZ_2-21-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	21	*dog	2009	DOG	alko	alko	ɐ l k o	false
14	PAEZ-54-1	PAEZ	PAEZ	paez1247	Páez				True	54	*drink	1401	DRINK	tundy~	tundy~	t u n dʲ	false
15	PAEZ_2-54-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	54	*drink	1401	DRINK	itoNi	itoNi	i t o ŋ i	false
16	PAEZ-39-1	PAEZ	PAEZ	paez1247	Páez				True	39	*ear	1247	EAR	th~u*we	th~u*we	tʰ ũ w e	false
17	PAEZ_2-39-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	39	*ear	1247	EAR	towe*	towe*	t o w ẽ	false
18	PAEZ-40-1	PAEZ	PAEZ	paez1247	Páez				True	40	*eye	1248	EYE	yafy~	yafy~	j ɐ fʲ	false
19	PAEZ_2-40-1	PAEZ_2	PAEZ_2	paez1247	Páez				True	40	*eye	1248	EYE	yafi	yafi	j ɐ f i	false
20	PAEZ-82-1	PAEZ	PAEZ	paez1247	Páez				True	82	*fire	221	FIRE	ipy~	ipy~	i pʲ	false
21	PAEZ-19-1	PAEZ	PAEZ	paez1247	Páez				True	19	*fish	227	FISH	wendy~	wendy~	w e n dʲ	false
22	PAEZ-95-1	PAEZ	PAEZ	paez1247	Páez				True	95	*full	1429	FULL	uta	uta	u t ɐ	false
