ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	AGOB_DABU-1-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	1	*I	1209	I	Nana	Nana	ŋ ɐ n ɐ	false
2	DIBOLUG-1-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	1	*I	1209	I	ginunga	ginunga	g i n u n g ɐ	false
3	AGOB_DABU-30-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	30	*blood	946	BLOOD	mem	mem	m e m	false
4	DIBOLUG-30-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	30	*blood	946	BLOOD	mama	mama	m ɐ m ɐ	false
5	AGOB_DABU-31-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	31	*bone	1394	BONE	kut	kut	k u t	false
6	DIBOLUG-31-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	31	*bone	1394	BONE	kute	kute	k u t e	false
7	AGOB_DABU-51-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	51	*breasts	1402	BREAST	Ngam	Ngam	ŋ g ɐ m	false
8	AGOB_DABU-51-2	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	51	*breasts	1402	BREAST	nono	nono	n o n o	false
9	DIBOLUG-51-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	51	*breasts	1402	BREAST	nama	nama	n ɐ m ɐ	false
10	AGOB_DABU-66-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	66	*come	1446	COME	wia	wia	w i ɐ	false
11	AGOB_DABU-61-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	61	*die	1494	DIE	kududar	kududar	k u d u d ɐ r	false
12	AGOB_DABU-21-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	21	*dog	2009	DOG	doraN	doraN	d o r ɐ ŋ	false
13	DIBOLUG-21-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	21	*dog	2009	DOG	borongo	borongo	b o r o n g o	false
14	AGOB_DABU-54-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	54	*drink	1401	DRINK	none	none	n o n e	false
15	AGOB_DABU-39-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	39	*ear	1247	EAR	ran	ran	r ɐ n	false
16	DIBOLUG-39-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	39	*ear	1247	EAR	rant	rant	r ɐ n t	false
17	AGOB_DABU-40-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	40	*eye	1248	EYE	ikop	ikop	i k o p	false
18	DIBOLUG-40-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	40	*eye	1248	EYE	yintokop	yintokop	j i n t o k o p	false
19	AGOB_DABU-82-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	82	*fire	221	FIRE	yu	yu	j u	false
20	DIBOLUG-82-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	82	*fire	221	FIRE	iu	iu	i u	false
21	AGOB_DABU-19-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	19	*fish	227	FISH	pudi	pudi	p u d i	false
22	DIBOLUG-19-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	19	*fish	227	FISH	gulihu	gulihu	g u l i h u	false
23	AGOB_DABU-48-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	48	*hand	1277	HAND	taN	taN	t ɐ ŋ	false
24	DIBOLUG-48-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	48	*hand	1277	HAND	tangpute	tangpute	t ɐ n g p u t e	false
25	AGOB_DABU-58-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	58	*hear	1408	HEAR	nandaran	nandaran	n ɐ n d ɐ r ɐ n	false
26	AGOB_DABU-47-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	47	*knee	1371	KNEE	tubu	tubu	t u b u	false
27	AGOB_DABU-47-2	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	47	*knee	1371	KNEE	putukupi	putukupi	p u t u k u p i	false
28	AGOB_DABU-25-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	25	*leaf	628	LEAF	nope	nope	n o p e	false
29	AGOB_DABU-25-2	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	25	*leaf	628	LEAF	rupi	rupi	r u p i	false
30	DIBOLUG-25-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	25	*leaf	628	LEAF	lutem	lutem	l u t e m	false
31	AGOB_DABU-53-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	53	*liver	1224	LIVER	yoa	yoa	j o ɐ	false
32	AGOB_DABU-53-2	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	53	*liver	1224	LIVER	siba	siba	s i b ɐ	false
33	DIBOLUG-53-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	53	*liver	1224	LIVER	totoma	totoma	t o t o m ɐ	false
34	AGOB_DABU-22-1	AGOB_DABU	AGOB_DABU	agob1244	Agob-Ende-Kawam	Pahoturi			False	22	*louse	1392	LOUSE	koban	koban	k o b ɐ n	false
35	DIBOLUG-22-1	DIBOLUG	DIBOLUG	idii1243	Idi-Taeme	Pahoturi			False	22	*louse	1392	LOUSE	monda	monda	m o n d ɐ	false
