ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ACHUMAWI-1-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	1	*I	1209	I	it	it	i t	false
2	ATSUGEWI-1-1	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	1	*I	1209	I	akh~	akh~	ɐ kʰ	false
3	ATSUGEWI-1-2	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	1	*I	1209	I	ak	ak	ɐ k	false
4	ACHUMAWI-30-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	30	*blood	946	BLOOD	aXti	aXti	ɐ χ t i	false
5	ATSUGEWI-30-1	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	30	*blood	946	BLOOD	isri	isri	i s r i	false
6	ACHUMAWI-31-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	31	*bone	1394	BONE	joje	joje	dʒ o dʒ e	false
7	ACHUMAWI-31-2	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	31	*bone	1394	BONE	alati	alati	ɐ l ɐ t i	false
8	ATSUGEWI-31-1	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	31	*bone	1394	BONE	juqji	juqji	dʒ u q dʒ i	false
9	ATSUGEWI-31-2	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	31	*bone	1394	BONE	ju7ji	ju7ji	dʒ u ʔ dʒ i	false
10	ACHUMAWI-51-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	51	*breasts	1402	BREAST	i7cit	i7cit	i ʔ ts i t	false
11	ATSUGEWI-51-1	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	51	*breasts	1402	BREAST	aciska	aciska	ɐ ts i s k ɐ	false
12	ACHUMAWI-66-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	66	*come	1446	COME	unn	unn	u n n	false
13	ACHUMAWI-66-2	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	66	*come	1446	COME	an	an	ɐ n	false
14	ATSUGEWI-66-1	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	66	*come	1446	COME	wiw	wiw	w i w	false
15	ATSUGEWI-66-2	ATSUGEWI	ATSUGEWI	atsu1245	Atsugewi	Palaihnihan			False	66	*come	1446	COME	iwi	iwi	i w i	false
16	ACHUMAWI-61-1	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	61	*die	1494	DIE	iumm	iumm	i u m m	false
17	ACHUMAWI-61-2	ACHUMAWI	ACHUMAWI	achu1247	Achumawi	Palaihnihan			False	61	*die	1494	DIE	iu7m	iu7m	i u ʔ m	false
