ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PAYAGUA-1-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	1	*I	1209	I	yam	yam	j ɐ m	false
2	PAYAGUA-30-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	30	*blood	946	BLOOD	ya7uisis	ya7uisis	j ɐ ʔ u i s i s	false
3	PAYAGUA-51-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	51	*breasts	1402	BREAST	latzewa	latzewa	l ɐ t z e w ɐ	false
4	PAYAGUA-61-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	61	*die	1494	DIE	apal	apal	ɐ p ɐ l	false
5	PAYAGUA-21-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	21	*dog	2009	DOG	payos	payos	p ɐ j o s	false
6	PAYAGUA-54-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	54	*drink	1401	DRINK	yokasara	yokasara	j o k ɐ s ɐ r ɐ	false
7	PAYAGUA-39-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	39	*ear	1247	EAR	ykwa	ykwa	j k w ɐ	false
8	PAYAGUA-40-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	40	*eye	1248	EYE	tigi	tigi	t i g i	false
9	PAYAGUA-82-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	82	*fire	221	FIRE	icari	icari	i ts ɐ r i	false
10	PAYAGUA-19-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	19	*fish	227	FISH	nahiwate	nahiwate	n ɐ h i w ɐ t e	false
11	PAYAGUA-95-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	95	*full	1429	FULL	yani	yani	j ɐ n i	false
12	PAYAGUA-48-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	48	*hand	1277	HAND	mak	mak	m ɐ k	false
13	PAYAGUA-58-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	58	*hear	1408	HEAR	hiukampi	hiukampi	h i u k ɐ m p i	false
14	PAYAGUA-47-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	47	*knee	1371	KNEE	sapeg	sapeg	s ɐ p e g	false
15	PAYAGUA-53-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	53	*liver	1224	LIVER	laratavahire	laratavahire	l ɐ r ɐ t ɐ v ɐ h i r e	false
16	PAYAGUA-92-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	92	*night	1233	NIGHT	tohiri	tohiri	t o h i r i	false
17	PAYAGUA-41-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	41	*nose	1221	NOSE	ihiok	ihiok	i h i o k	false
18	PAYAGUA-11-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	11	*one	1493	ONE	hesle	hesle	h e s l e	false
19	PAYAGUA-18-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	18	*person	683	PERSON	liofre	liofre	l i o f r e	false
20	PAYAGUA-57-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	57	*see	1409	SEE	yaraukE	yaraukE	j ɐ r ɐ u k a	false
21	PAYAGUA-74-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	74	*star	1430	STAR	hiravagiSa	hiravagiSa	h i r ɐ v ɐ g i ʃ ɐ	false
22	PAYAGUA-77-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	77	*stone	857	STONE	lamuoSera	lamuoSera	l ɐ m u o ʃ e r ɐ	false
23	PAYAGUA-72-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	72	*sun	1343	SUN	yekbay	yekbay	j e k b ɐ j	false
24	PAYAGUA-44-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	44	*tongue	1205	TONGUE	kal	kal	k ɐ l	false
25	PAYAGUA-43-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	43	*tooth	1380	TOOTH	seyrgata	seyrgata	s e j r g ɐ t ɐ	false
26	PAYAGUA-23-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	23	*tree	906	TREE	lipahakaCa	lipahakaCa	l i p ɐ h ɐ k ɐ tʃ ɐ	false
27	PAYAGUA-12-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	12	*two	1498	TWO	tiake	tiake	t i ɐ k e	false
28	PAYAGUA-75-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	75	*water	948	WATER	oxox	oxox	o x o x	false
29	PAYAGUA-75-2	PAYAGUA	PAYAGUA	paya1236	Payagua				True	75	*water	948	WATER	guegae	guegae	g u e g ɐ e	false
30	PAYAGUA-3-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	3	*we	1212	WE	asam	asam	ɐ s ɐ m	false
31	PAYAGUA-2-1	PAYAGUA	PAYAGUA	paya1236	Payagua				True	2	*you	1215	THOU	ham	ham	h ɐ m	false
