ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PELE_ATA-1-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	1	*I	1209	I	eni	eni	e n i	false
2	PELE_ATA-30-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	30	*blood	946	BLOOD	sialuxu	sialuxu	s i ɐ l u x u	false
3	PELE_ATA-31-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	31	*bone	1394	BONE	xileli	xileli	x i l e l i	false
4	PELE_ATA-31-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	31	*bone	1394	BONE	xine	xine	x i n e	false
5	PELE_ATA-51-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	51	*breasts	1402	BREAST	susu	susu	s u s u	false
6	PELE_ATA-66-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	66	*come	1446	COME	ne7e	ne7e	n e ʔ e	false
7	PELE_ATA-61-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	61	*die	1494	DIE	kalu	kalu	k ɐ l u	false
8	PELE_ATA-61-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	61	*die	1494	DIE	sivita	sivita	s i v i t ɐ	false
9	PELE_ATA-21-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	21	*dog	2009	DOG	a7a	a7a	ɐ ʔ ɐ	false
10	PELE_ATA-54-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	54	*drink	1401	DRINK	iexu	iexu	i e x u	false
11	PELE_ATA-39-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	39	*ear	1247	EAR	sangalie	sangalie	s ɐ n g ɐ l i e	false
12	PELE_ATA-39-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	39	*ear	1247	EAR	sangalilo	sangalilo	s ɐ n g ɐ l i l o	false
13	PELE_ATA-40-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	40	*eye	1248	EYE	iei	iei	i e i	false
14	PELE_ATA-40-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	40	*eye	1248	EYE	ieli	ieli	i e l i	false
15	PELE_ATA-82-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	82	*fire	221	FIRE	navu	navu	n ɐ v u	false
16	PELE_ATA-19-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	19	*fish	227	FISH	silanga	silanga	s i l ɐ n g ɐ	false
17	PELE_ATA-95-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	95	*full	1429	FULL	ana7ana	ana7ana	ɐ n ɐ ʔ ɐ n ɐ	false
18	PELE_ATA-48-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	48	*hand	1277	HAND	avo	avo	ɐ v o	false
19	PELE_ATA-47-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	47	*knee	1371	KNEE	tava7u vo7uxu	tava7u vo7uxu	t ɐ v ɐ ʔ u v o ʔ u x u	false
20	PELE_ATA-25-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	25	*leaf	628	LEAF	vaia	vaia	v ɐ i ɐ	false
21	PELE_ATA-25-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	25	*leaf	628	LEAF	vai7a	vai7a	v ɐ i ʔ ɐ	false
22	PELE_ATA-53-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	53	*liver	1224	LIVER	e7eleli	e7eleli	e ʔ e l e l i	false
23	PELE_ATA-53-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	53	*liver	1224	LIVER	e7ene	e7ene	e ʔ e n e	false
24	PELE_ATA-22-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	22	*louse	1392	LOUSE	meni	meni	m e n i	false
25	PELE_ATA-86-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	86	*mountain	639	MOUNTAIN	laxa7ilu	laxa7ilu	l ɐ x ɐ ʔ i l u	false
26	PELE_ATA-100-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	100	*name	1405	NAME	uala	uala	u ɐ l ɐ	false
27	PELE_ATA-96-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	96	*new	1231	NEW	alavua	alavua	ɐ l ɐ v u ɐ	false
28	PELE_ATA-92-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	92	*night	1233	NIGHT	olovoxo	olovoxo	o l o v o x o	false
29	PELE_ATA-41-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	41	*nose	1221	NOSE	kusileli	kusileli	k u s i l e l i	false
30	PELE_ATA-11-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	11	*one	1493	ONE	vile	vile	v i l e	false
31	PELE_ATA-85-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	85	*path	2252	PATH	vote7i	vote7i	v o t e ʔ i	false
32	PELE_ATA-18-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	18	*person	683	PERSON	aliku	aliku	ɐ l i k u	false
33	PELE_ATA-18-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	18	*person	683	PERSON	evile	evile	e v i l e	false
34	PELE_ATA-57-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	57	*see	1409	SEE	iailisou	iailisou	i ɐ i l i s o u	false
35	PELE_ATA-57-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	57	*see	1409	SEE	maisi7a	maisi7a	m ɐ i s i ʔ ɐ	false
36	PELE_ATA-28-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	28	*skin	763	SKIN	vasimele	vasimele	v ɐ s i m e l e	false
37	PELE_ATA-28-2	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	28	*skin	763	SKIN	vasimelo	vasimelo	v ɐ s i m e l o	false
38	PELE_ATA-74-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	74	*star	1430	STAR	oto	oto	o t o	false
39	PELE_ATA-77-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	77	*stone	857	STONE	lavo7o	lavo7o	l ɐ v o ʔ o	false
40	PELE_ATA-72-1	PELE_ATA	PELE_ATA	pele1245	Pele-Ata				True	72	*sun	1343	SUN	aso	aso	ɐ s o	false
