ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PUINABE-1-1	PUINABE	PUINABE	puin1248	Puinave				True	1	*I	1209	I	am	am	ɐ m	false
2	PUINAVE-1-1	PUINAVE	PUINAVE	puin1248	Puinave				True	1	*I	1209	I	am	am	ɐ m	false
3	PUINABE-30-1	PUINABE	PUINABE	puin1248	Puinave				True	30	*blood	946	BLOOD	ma*	ma*	m ɐ̃	false
4	PUINAVE-30-1	PUINAVE	PUINAVE	puin1248	Puinave				True	30	*blood	946	BLOOD	ma*	ma*	m ɐ̃	false
5	PUINABE-31-1	PUINABE	PUINABE	puin1248	Puinave				True	31	*bone	1394	BONE	ut	ut	u t	false
6	PUINAVE-31-1	PUINAVE	PUINAVE	puin1248	Puinave				True	31	*bone	1394	BONE	ut	ut	u t	false
7	PUINABE-51-1	PUINABE	PUINABE	puin1248	Puinave				True	51	*breasts	1402	BREAST	himik	himik	h i m i k	false
8	PUINAVE-51-1	PUINAVE	PUINAVE	puin1248	Puinave				True	51	*breasts	1402	BREAST	himik	himik	h i m i k	false
9	PUINABE-66-1	PUINABE	PUINABE	puin1248	Puinave				True	66	*come	1446	COME	yuk	yuk	j u k	false
10	PUINAVE-66-1	PUINAVE	PUINAVE	puin1248	Puinave				True	66	*come	1446	COME	yu	yu	j u	false
11	PUINABE-61-1	PUINABE	PUINABE	puin1248	Puinave				True	61	*die	1494	DIE	3i	3i	ə i	false
12	PUINAVE-61-1	PUINAVE	PUINAVE	puin1248	Puinave				True	61	*die	1494	DIE	3y	3y	ə j	false
13	PUINABE-21-1	PUINABE	PUINABE	puin1248	Puinave				True	21	*dog	2009	DOG	yot	yot	j o t	false
14	PUINAVE-21-1	PUINAVE	PUINAVE	puin1248	Puinave				True	21	*dog	2009	DOG	yot	yot	j o t	false
15	PUINABE-54-1	PUINABE	PUINABE	puin1248	Puinave				True	54	*drink	1401	DRINK	wok	wok	w o k	false
16	PUINAVE-54-1	PUINAVE	PUINAVE	puin1248	Puinave				True	54	*drink	1401	DRINK	wo	wo	w o	false
17	PUINABE-39-1	PUINABE	PUINABE	puin1248	Puinave				True	39	*ear	1247	EAR	but	but	b u t	false
18	PUINABE-39-2	PUINABE	PUINABE	puin1248	Puinave				True	39	*ear	1247	EAR	butuk	butuk	b u t u k	false
19	PUINAVE-39-1	PUINAVE	PUINAVE	puin1248	Puinave				True	39	*ear	1247	EAR	but	but	b u t	false
20	PUINABE-40-1	PUINABE	PUINABE	puin1248	Puinave				True	40	*eye	1248	EYE	bik	bik	b i k	false
21	PUINAVE-40-1	PUINAVE	PUINAVE	puin1248	Puinave				True	40	*eye	1248	EYE	bik	bik	b i k	false
22	PUINABE-82-1	PUINABE	PUINABE	puin1248	Puinave				True	82	*fire	221	FIRE	d3	d3	d ə	false
23	PUINAVE-82-1	PUINAVE	PUINAVE	puin1248	Puinave				True	82	*fire	221	FIRE	d3	d3	d ə	false
24	PUINABE-19-1	PUINABE	PUINABE	puin1248	Puinave				True	19	*fish	227	FISH	y3i	y3i	j ə i	false
25	PUINAVE-19-1	PUINAVE	PUINAVE	puin1248	Puinave				True	19	*fish	227	FISH	y3y	y3y	j ə j	false
26	PUINAVE-95-1	PUINAVE	PUINAVE	puin1248	Puinave				True	95	*full	1429	FULL	hutun	hutun	h u t u n	false
27	PUINABE-48-1	PUINABE	PUINABE	puin1248	Puinave				True	48	*hand	1277	HAND	dap	dap	d ɐ p	false
28	PUINAVE-48-1	PUINAVE	PUINAVE	puin1248	Puinave				True	48	*hand	1277	HAND	mo lap	mo lap	m o l ɐ p	false
29	PUINABE-58-1	PUINABE	PUINABE	puin1248	Puinave				True	58	*hear	1408	HEAR	hui	hui	h u i	false
30	PUINAVE-58-1	PUINAVE	PUINAVE	puin1248	Puinave				True	58	*hear	1408	HEAR	huy	huy	h u j	false
31	PUINAVE-34-1	PUINAVE	PUINAVE	puin1248	Puinave				True	34	*horn	1393	HORN (ANATOMY)	mo husew	mo husew	m o h u s e w	false
32	PUINAVE-47-1	PUINAVE	PUINAVE	puin1248	Puinave				True	47	*knee	1371	KNEE	mo ut huyaT	mo ut huyaT	m o u t h u j ɐ c	false
33	PUINABE-25-1	PUINABE	PUINABE	puin1248	Puinave				True	25	*leaf	628	LEAF	wan	wan	w ɐ n	false
34	PUINABE-25-2	PUINABE	PUINABE	puin1248	Puinave				True	25	*leaf	628	LEAF	soyo*n	soyo*n	s o j õ n	false
35	PUINAVE-25-1	PUINAVE	PUINAVE	puin1248	Puinave				True	25	*leaf	628	LEAF	son yo*n	son yo*n	s o n j õ n	false
36	PUINABE-53-1	PUINABE	PUINABE	puin1248	Puinave				True	53	*liver	1224	LIVER	nam7ot	nam7ot	n ɐ m ʔ o t	false
37	PUINAVE-53-1	PUINAVE	PUINAVE	puin1248	Puinave				True	53	*liver	1224	LIVER	mo namot	mo namot	m o n ɐ m o t	false
38	PUINABE-22-1	PUINABE	PUINABE	puin1248	Puinave				True	22	*louse	1392	LOUSE	t3	t3	t ə	false
39	PUINAVE-22-1	PUINAVE	PUINAVE	puin1248	Puinave				True	22	*louse	1392	LOUSE	hute pi*n	hute pi*n	h u t e p ĩ n	false
40	PUINAVE-86-1	PUINAVE	PUINAVE	puin1248	Puinave				True	86	*mountain	639	MOUNTAIN	wen	wen	w e n	false
41	PUINABE-100-1	PUINABE	PUINABE	puin1248	Puinave				True	100	*name	1405	NAME	tam	tam	t ɐ m	false
42	PUINAVE-100-1	PUINAVE	PUINAVE	puin1248	Puinave				True	100	*name	1405	NAME	ta*m	ta*m	t ɐ̃ m	false
43	PUINABE-96-1	PUINABE	PUINABE	puin1248	Puinave				True	96	*new	1231	NEW	huhu	huhu	h u h u	false
44	PUINAVE-96-1	PUINAVE	PUINAVE	puin1248	Puinave				True	96	*new	1231	NEW	huhu	huhu	h u h u	false
45	PUINABE-92-1	PUINABE	PUINABE	puin1248	Puinave				True	92	*night	1233	NIGHT	sai	sai	s ɐ i	false
46	PUINAVE-92-1	PUINAVE	PUINAVE	puin1248	Puinave				True	92	*night	1233	NIGHT	say	say	s ɐ j	false
47	PUINABE-41-1	PUINABE	PUINABE	puin1248	Puinave				True	41	*nose	1221	NOSE	h3k	h3k	h ə k	false
48	PUINAVE-41-1	PUINAVE	PUINAVE	puin1248	Puinave				True	41	*nose	1221	NOSE	h3k	h3k	h ə k	false
49	PUINABE-11-1	PUINABE	PUINABE	puin1248	Puinave				True	11	*one	1493	ONE	t3*m	t3*m	t ə̃ m	false
50	PUINAVE-11-1	PUINAVE	PUINAVE	puin1248	Puinave				True	11	*one	1493	ONE	t3*m	t3*m	t ə̃ m	false
51	PUINABE-85-1	PUINABE	PUINABE	puin1248	Puinave				True	85	*path	2252	PATH	d3k	d3k	d ə k	false
52	PUINABE-85-2	PUINABE	PUINABE	puin1248	Puinave				True	85	*path	2252	PATH	h3d3	h3d3	h ə d ə	false
53	PUINAVE-85-1	PUINAVE	PUINAVE	puin1248	Puinave				True	85	*path	2252	PATH	d3k	d3k	d ə k	false
54	PUINABE-18-1	PUINABE	PUINABE	puin1248	Puinave				True	18	*person	683	PERSON	epin	epin	e p i n	false
55	PUINAVE-18-1	PUINAVE	PUINAVE	puin1248	Puinave				True	18	*person	683	PERSON	epi*not	epi*not	e p ĩ n o t	false
56	PUINABE-57-1	PUINABE	PUINABE	puin1248	Puinave				True	57	*see	1409	SEE	duk	duk	d u k	false
57	PUINAVE-57-1	PUINAVE	PUINAVE	puin1248	Puinave				True	57	*see	1409	SEE	du	du	d u	false
58	PUINABE-28-1	PUINABE	PUINABE	puin1248	Puinave				True	28	*skin	763	SKIN	pik	pik	p i k	false
59	PUINAVE-28-1	PUINAVE	PUINAVE	puin1248	Puinave				True	28	*skin	763	SKIN	pik	pik	p i k	false
60	PUINABE-74-1	PUINABE	PUINABE	puin1248	Puinave				True	74	*star	1430	STAR	k3t	k3t	k ə t	false
61	PUINAVE-74-1	PUINAVE	PUINAVE	puin1248	Puinave				True	74	*star	1430	STAR	k3t	k3t	k ə t	false
62	PUINABE-77-1	PUINABE	PUINABE	puin1248	Puinave				True	77	*stone	857	STONE	ha	ha	h ɐ	false
63	PUINAVE-77-1	PUINAVE	PUINAVE	puin1248	Puinave				True	77	*stone	857	STONE	ha	ha	h ɐ	false
64	PUINAVE-72-1	PUINAVE	PUINAVE	puin1248	Puinave				True	72	*sun	1343	SUN	5a*ma*t	5a*ma*t	ɲ ɐ̃ m ɐ̃ t	false
65	PUINABE-44-1	PUINABE	PUINABE	puin1248	Puinave				True	44	*tongue	1205	TONGUE	dok	dok	d o k	false
66	PUINAVE-44-1	PUINAVE	PUINAVE	puin1248	Puinave				True	44	*tongue	1205	TONGUE	dok	dok	d o k	false
67	PUINABE-43-1	PUINABE	PUINABE	puin1248	Puinave				True	43	*tooth	1380	TOOTH	de	de	d e	false
68	PUINAVE-43-1	PUINAVE	PUINAVE	puin1248	Puinave				True	43	*tooth	1380	TOOTH	de	de	d e	false
69	PUINAVE-23-1	PUINAVE	PUINAVE	puin1248	Puinave				True	23	*tree	906	TREE	pun	pun	p u n	false
70	PUINABE-12-1	PUINABE	PUINABE	puin1248	Puinave				True	12	*two	1498	TWO	kau	kau	k ɐ u	false
71	PUINAVE-12-1	PUINAVE	PUINAVE	puin1248	Puinave				True	12	*two	1498	TWO	kaw	kaw	k ɐ w	false
72	PUINABE-75-1	PUINABE	PUINABE	puin1248	Puinave				True	75	*water	948	WATER	3t	3t	ə t	false
73	PUINAVE-75-1	PUINAVE	PUINAVE	puin1248	Puinave				True	75	*water	948	WATER	3t	3t	ə t	false
74	PUINABE-3-1	PUINABE	PUINABE	puin1248	Puinave				True	3	*we	1212	WE	bitu	bitu	b i t u	false
75	PUINAVE-3-1	PUINAVE	PUINAVE	puin1248	Puinave				True	3	*we	1212	WE	bit7u	bit7u	b i t ʔ u	false
76	PUINABE-2-1	PUINABE	PUINABE	puin1248	Puinave				True	2	*you	1215	THOU	mam	mam	m ɐ m	false
77	PUINAVE-2-1	PUINAVE	PUINAVE	puin1248	Puinave				True	2	*you	1215	THOU	mam	mam	m ɐ m	false
78	PUINAVE-2-2	PUINAVE	PUINAVE	puin1248	Puinave				True	2	*you	1215	THOU	5am	5am	ɲ ɐ m	false
79	PUINAVE-9-1	PUINAVE	PUINAVE	puin1248	Puinave				True	9	all	98	ALL	w3y hi*n	w3y hi*n	w ə j h ĩ n	false
80	PUINAVE-83-1	PUINAVE	PUINAVE	puin1248	Puinave				True	83	ash	646	ASH	d3 p3p	d3 p3p	d ə p ə p	false
81	PUINAVE-27-1	PUINAVE	PUINAVE	puin1248	Puinave				True	27	bark	1204	BARK	punpik	punpik	p u n p i k	false
82	PUINAVE-49-1	PUINAVE	PUINAVE	puin1248	Puinave				True	49	belly	1251	BELLY	mo pup	mo pup	m o p u p	false
83	PUINAVE-13-1	PUINAVE	PUINAVE	puin1248	Puinave				True	13	big	1202	BIG	i pek	i pek	i p e k	false
84	PUINAVE-20-1	PUINAVE	PUINAVE	puin1248	Puinave				True	20	bird	937	BIRD	wip	wip	w i p	false
85	PUINAVE-20-2	PUINAVE	PUINAVE	puin1248	Puinave				True	20	bird	937	BIRD	hom	hom	h o m	false
86	PUINAVE-56-1	PUINAVE	PUINAVE	puin1248	Puinave				True	56	bite	1403	BITE	sa	sa	s ɐ	false
