ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	AMGOTRO-1-1	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	1	*I	1209	I	ewo	ewo	e w o	false
2	AMGOTRO-1-2	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	1	*I	1209	I	eo	eo	e o	false
3	ANGOR-1-1	ANGOR	ANGOR	ango1254	Angor	Senagi			False	1	*I	1209	I	ro	ro	r o	false
4	MONGOWAR-1-1	MONGOWAR	MONGOWAR	dera1245	Dera (Indonesia)	Senagi			False	1	*I	1209	I	yi	yi	j i	false
5	AMGOTRO-30-1	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	30	*blood	946	BLOOD	kodoa	kodoa	k o d o ɐ	false
6	ANGOR-30-1	ANGOR	ANGOR	ango1254	Angor	Senagi			False	30	*blood	946	BLOOD	hor3	hor3	h o r ə	false
7	MONGOWAR-30-1	MONGOWAR	MONGOWAR	dera1245	Dera (Indonesia)	Senagi			False	30	*blood	946	BLOOD	hola	hola	h o l ɐ	false
8	AMGOTRO-31-1	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	31	*bone	1394	BONE	gemda	gemda	g e m d ɐ	false
9	ANGOR-31-1	ANGOR	ANGOR	ango1254	Angor	Senagi			False	31	*bone	1394	BONE	ham3nd~3	ham3nd~3	h ɐ m ə ⁿd ə	false
10	MONGOWAR-31-1	MONGOWAR	MONGOWAR	dera1245	Dera (Indonesia)	Senagi			False	31	*bone	1394	BONE	saba	saba	s ɐ b ɐ	false
11	AMGOTRO-51-1	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	51	*breasts	1402	BREAST	toto	toto	t o t o	false
12	ANGOR-51-1	ANGOR	ANGOR	ango1254	Angor	Senagi			False	51	*breasts	1402	BREAST	t3t3	t3t3	t ə t ə	false
13	MONGOWAR-51-1	MONGOWAR	MONGOWAR	dera1245	Dera (Indonesia)	Senagi			False	51	*breasts	1402	BREAST	tutu	tutu	t u t u	false
14	AMGOTRO-66-1	AMGOTRO	AMGOTRO	dera1245	Dera (Indonesia)	Senagi			False	66	*come	1446	COME	gab3da	gab3da	g ɐ b ə d ɐ	false
15	ANGOR-66-1	ANGOR	ANGOR	ango1254	Angor	Senagi			False	66	*come	1446	COME	s3n	s3n	s ə n	false
16	MONGOWAR-66-1	MONGOWAR	MONGOWAR	dera1245	Dera (Indonesia)	Senagi			False	66	*come	1446	COME	sokombo	sokombo	s o k o m b o	false
