ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	TABO_WAIA-1-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	1	*I	1209	I	na	na	n ɐ	false
2	TABO_WAIA-30-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	30	*blood	946	BLOOD	hauwi	hauwi	h ɐ u w i	false
3	TABO_WAIA-31-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	31	*bone	1394	BONE	goha	goha	g o h ɐ	false
4	TABO_WAIA-51-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	51	*breasts	1402	BREAST	nono	nono	n o n o	false
5	TABO_WAIA-66-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	66	*come	1446	COME	mEpE	mEpE	m a p a	false
6	TABO_WAIA-61-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	61	*die	1494	DIE	nEhui ta	nEhui ta	n a h u i t ɐ	false
7	TABO_WAIA-21-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	21	*dog	2009	DOG	gaha	gaha	g ɐ h ɐ	false
8	TABO_WAIA-54-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	54	*drink	1401	DRINK	nEnE	nEnE	n a n a	false
9	TABO_WAIA-39-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	39	*ear	1247	EAR	galo	galo	g ɐ l o	false
10	TABO_WAIA-40-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	40	*eye	1248	EYE	badi	badi	b ɐ d i	false
11	TABO_WAIA-82-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	82	*fire	221	FIRE	koe	koe	k o e	false
12	TABO_WAIA-19-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	19	*fish	227	FISH	daha	daha	d ɐ h ɐ	false
13	TABO_WAIA-48-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	48	*hand	1277	HAND	kokoto	kokoto	k o k o t o	false
14	TABO_WAIA-58-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	58	*hear	1408	HEAR	nuliyE	nuliyE	n u l i j a	false
15	TABO_WAIA-34-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	34	*horn	1393	HORN (ANATOMY)	lalo	lalo	l ɐ l o	false
16	TABO_WAIA-47-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	47	*knee	1371	KNEE	pupu	pupu	p u p u	false
17	TABO_WAIA-25-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	25	*leaf	628	LEAF	paha	paha	p ɐ h ɐ	false
18	TABO_WAIA-22-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	22	*louse	1392	LOUSE	tamani	tamani	t ɐ m ɐ n i	false
19	TABO_WAIA-86-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	86	*mountain	639	MOUNTAIN	haka hunu hunu	haka hunu hunu	h ɐ k ɐ h u n u h u n u	false
20	TABO_WAIA-100-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	100	*name	1405	NAME	mahiro	mahiro	m ɐ h i r o	false
21	TABO_WAIA-92-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	92	*night	1233	NIGHT	du du7u	du du7u	d u d u ʔ u	false
22	TABO_WAIA-41-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	41	*nose	1221	NOSE	dopo	dopo	d o p o	false
23	TABO_WAIA-11-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	11	*one	1493	ONE	kapia	kapia	k ɐ p i ɐ	false
24	TABO_WAIA-85-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	85	*path	2252	PATH	gabo	gabo	g ɐ b o	false
25	TABO_WAIA-57-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	57	*see	1409	SEE	haba	haba	h ɐ b ɐ	false
26	TABO_WAIA-28-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	28	*skin	763	SKIN	tama	tama	t ɐ m ɐ	false
27	TABO_WAIA-74-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	74	*star	1430	STAR	moroki	moroki	m o r o k i	false
28	TABO_WAIA-77-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	77	*stone	857	STONE	naki	naki	n ɐ k i	false
29	TABO_WAIA-72-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	72	*sun	1343	SUN	kadepa	kadepa	k ɐ d e p ɐ	false
30	TABO_WAIA-44-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	44	*tongue	1205	TONGUE	merapira	merapira	m e r ɐ p i r ɐ	false
31	TABO_WAIA-43-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	43	*tooth	1380	TOOTH	lolo	lolo	l o l o	false
32	TABO_WAIA-12-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	12	*two	1498	TWO	neteewa	neteewa	n e t e e w ɐ	false
33	TABO_WAIA-75-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	75	*water	948	WATER	bea	bea	b e ɐ	false
34	TABO_WAIA-3-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	3	*we	1212	WE	ahidio	ahidio	ɐ h i d i o	false
35	TABO_WAIA-2-1	TABO_WAIA	TABO_WAIA	tabo1241	Tabo				True	2	*you	1215	THOU	amE	amE	ɐ m a	false
