ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	TANAHMERAH-1-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	1	*I	1209	I	nafea	nafea	n ɐ f e ɐ	false
2	TANAHMERAH-30-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	30	*blood	946	BLOOD	kinatera	kinatera	k i n ɐ t e r ɐ	false
3	TANAHMERAH-31-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	31	*bone	1394	BONE	naso	naso	n ɐ s o	false
4	TANAHMERAH-66-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	66	*come	1446	COME	amo	amo	ɐ m o	false
5	TANAHMERAH-21-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	21	*dog	2009	DOG	ibe	ibe	i b e	false
6	TANAHMERAH-40-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	40	*eye	1248	EYE	kabita	kabita	k ɐ b i t ɐ	false
7	TANAHMERAH-82-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	82	*fire	221	FIRE	avonabe	avonabe	ɐ v o n ɐ b e	false
8	TANAHMERAH-48-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	48	*hand	1277	HAND	itaya	itaya	i t ɐ j ɐ	false
9	TANAHMERAH-22-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	22	*louse	1392	LOUSE	ia	ia	i ɐ	false
10	TANAHMERAH-100-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	100	*name	1405	NAME	nigia	nigia	n i g i ɐ	false
11	TANAHMERAH-92-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	92	*night	1233	NIGHT	muamini	muamini	m u ɐ m i n i	false
12	TANAHMERAH-11-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	11	*one	1493	ONE	naduma	naduma	n ɐ d u m ɐ	false
13	TANAHMERAH-57-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	57	*see	1409	SEE	kifanera	kifanera	k i f ɐ n e r ɐ	false
14	TANAHMERAH-28-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	28	*skin	763	SKIN	katane	katane	k ɐ t ɐ n e	false
15	TANAHMERAH-77-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	77	*stone	857	STONE	kenade	kenade	k e n ɐ d e	false
16	TANAHMERAH-72-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	72	*sun	1343	SUN	weti	weti	w e t i	false
17	TANAHMERAH-43-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	43	*tooth	1380	TOOTH	kioni	kioni	k i o n i	false
18	TANAHMERAH-23-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	23	*tree	906	TREE	taya	taya	t ɐ j ɐ	false
19	TANAHMERAH-12-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	12	*two	1498	TWO	wanitabo	wanitabo	w ɐ n i t ɐ b o	false
20	TANAHMERAH-75-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	75	*water	948	WATER	moda	moda	m o d ɐ	false
21	TANAHMERAH-3-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	3	*we	1212	WE	kiria	kiria	k i r i ɐ	false
22	TANAHMERAH-2-1	TANAHMERAH	TANAHMERAH	tana1288	Tanahmerah				True	2	*you	1215	THOU	kafea	kafea	k ɐ f e ɐ	false
