ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CUICA-1-1	CUICA	CUICA	timo1237	Timote-Cuica				True	1	*I	1209	I	an	an	ɐ n	false
2	CUICA-30-1	CUICA	CUICA	timo1237	Timote-Cuica				True	30	*blood	946	BLOOD	stoc	stoc	s t o ts	false
3	CUICA-31-1	CUICA	CUICA	timo1237	Timote-Cuica				True	31	*bone	1394	BONE	kuSpapeuN	kuSpapeuN	k u ʃ p ɐ p e u ŋ	false
4	CUICA-51-1	CUICA	CUICA	timo1237	Timote-Cuica				True	51	*breasts	1402	BREAST	5a5o	5a5o	ɲ ɐ ɲ o	false
5	CUICA-66-1	CUICA	CUICA	timo1237	Timote-Cuica				True	66	*come	1446	COME	kuma	kuma	k u m ɐ	false
6	CUICA-61-1	CUICA	CUICA	timo1237	Timote-Cuica				True	61	*die	1494	DIE	muyen	muyen	m u j e n	false
7	CUICA-61-2	CUICA	CUICA	timo1237	Timote-Cuica				True	61	*die	1494	DIE	kuriyen	kuriyen	k u r i j e n	false
8	CUICA-21-1	CUICA	CUICA	timo1237	Timote-Cuica				True	21	*dog	2009	DOG	hutn	hutn	h u t n	false
9	MIRRIPU_TIMOTE-21-1	MIRRIPU_TIMOTE	MIRRIPU_TIMOTE	timo1237	Timote-Cuica				True	21	*dog	2009	DOG	tisirki	tisirki	t i s i r k i	false
10	CUICA-54-1	CUICA	CUICA	timo1237	Timote-Cuica				True	54	*drink	1401	DRINK	meu	meu	m e u	false
11	CUICA-54-2	CUICA	CUICA	timo1237	Timote-Cuica				True	54	*drink	1401	DRINK	meuC	meuC	m e u tʃ	false
12	CUICA-39-1	CUICA	CUICA	timo1237	Timote-Cuica				True	39	*ear	1247	EAR	meu	meu	m e u	false
13	CUICA-40-1	CUICA	CUICA	timo1237	Timote-Cuica				True	40	*eye	1248	EYE	aes	aes	ɐ e s	false
14	CUICA-82-1	CUICA	CUICA	timo1237	Timote-Cuica				True	82	*fire	221	FIRE	Snepa	Snepa	ʃ n e p ɐ	false
