ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CHIPAYA-1-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	1	*I	1209	I	werx~	werx~	w e rˠ	false
2	CHIPAYA-1-2	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	1	*I	1209	I	werki	werki	w e r k i	false
3	CHIPAYA_2-1-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	1	*I	1209	I	wer	wer	w e r	false
4	UCHUMATAQU-1-1	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	1	*I	1209	I	wilk	wilk	w i l k	false
5	CHIPAYA-30-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	30	*blood	946	BLOOD	lx~ok	lx~ok	lˠ o k	false
6	CHIPAYA_2-30-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	30	*blood	946	BLOOD	Lok	Lok	ʎ o k	false
7	CHIPAYA_3-30-1	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	30	*blood	946	BLOOD	lxok	lxok	l x o k	false
8	UCHUMATAQU-30-1	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	30	*blood	946	BLOOD	luk	luk	l u k	false
9	CHIPAYA-31-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	31	*bone	1394	BONE	ch~ix	ch~ix	tsʰ i x	false
10	CHIPAYA_2-31-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	31	*bone	1394	BONE	ts~ix	ts~ix	ts i x	false
11	CHIPAYA_3-31-1	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	31	*bone	1394	BONE	cix	cix	ts i x	false
12	UCHUMATAQU-31-1	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	31	*bone	1394	BONE	Chixi	Chixi	tʃ h i x i	false
13	CHIPAYA-51-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	51	*breasts	1402	BREAST	piS	piS	p i ʃ	false
14	CHIPAYA_2-51-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	51	*breasts	1402	BREAST	pis	pis	p i s	false
15	CHIPAYA_3-51-1	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	51	*breasts	1402	BREAST	T"a5aka	T"a5aka	cʼ ɐ ɲ ɐ k ɐ	false
16	CHIPAYA_3-51-2	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	51	*breasts	1402	BREAST	piz	piz	p i z	false
17	UCHUMATAQU-51-1	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	51	*breasts	1402	BREAST	kyeto	kyeto	k j e t o	false
18	UCHUMATAQU-51-2	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	51	*breasts	1402	BREAST	keta	keta	k e t ɐ	false
19	UCHUMATAQU-51-3	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	51	*breasts	1402	BREAST	cmiSu	cmiSu	ts m i ʃ u	false
20	CHIPAYA-66-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	66	*come	1446	COME	th~on	th~on	tʰ o n	false
21	CHIPAYA_2-66-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	66	*come	1446	COME	th~oms	th~oms	tʰ o m s	false
22	CHIPAYA_3-66-1	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	66	*come	1446	COME	Th~onz	Th~onz	cʰ o n z	false
23	UCHUMATAQU-66-1	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	66	*come	1446	COME	piCu	piCu	p i tʃ u	false
24	UCHUMATAQU-66-2	UCHUMATAQU	UCHUMATAQU	uruu1244	Uru	Uru-Chipaya			False	66	*come	1446	COME	pit	pit	p i t	false
25	CHIPAYA-61-1	CHIPAYA	CHIPAYA	chip1262	Chipaya	Uru-Chipaya			False	61	*die	1494	DIE	tik	tik	t i k	false
26	CHIPAYA_2-61-1	CHIPAYA_2	CHIPAYA_2	chip1262	Chipaya	Uru-Chipaya			False	61	*die	1494	DIE	tiks	tiks	t i k s	false
27	CHIPAYA_3-61-1	CHIPAYA_3	CHIPAYA_3	chip1262	Chipaya	Uru-Chipaya			False	61	*die	1494	DIE	tikz	tikz	t i k z	false
