ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	NAGATMAN-1-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	1	*I	1209	I	bou	bou	b o u	false
2	YADE-1-1	YADE	YADE	yale1246	Yale				True	1	*I	1209	I	bo	bo	b o	false
3	NAGATIMAN-30-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	30	*blood	946	BLOOD	winu7	winu7	w i n u ʔ	false
4	NAGATMAN-30-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	30	*blood	946	BLOOD	winu	winu	w i n u	false
5	YADE-30-1	YADE	YADE	yale1246	Yale				True	30	*blood	946	BLOOD	wino	wino	w i n o	false
6	YADE-30-2	YADE	YADE	yale1246	Yale				True	30	*blood	946	BLOOD	ko	ko	k o	false
7	NAGATIMAN-31-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	31	*bone	1394	BONE	ElEbu	ElEbu	a l a b u	false
8	NAGATMAN-31-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	31	*bone	1394	BONE	alabu	alabu	ɐ l ɐ b u	false
9	NAGATIMAN-51-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	51	*breasts	1402	BREAST	maba	maba	m ɐ b ɐ	false
10	YADE-51-1	YADE	YADE	yale1246	Yale				True	51	*breasts	1402	BREAST	maba	maba	m ɐ b ɐ	false
11	NAGATIMAN-66-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	66	*come	1446	COME	Esi	Esi	a s i	false
12	YADE-66-1	YADE	YADE	yale1246	Yale				True	66	*come	1446	COME	si	si	s i	false
13	YADE-61-1	YADE	YADE	yale1246	Yale				True	61	*die	1494	DIE	gri	gri	g r i	false
14	YADE-61-2	YADE	YADE	yale1246	Yale				True	61	*die	1494	DIE	debo	debo	d e b o	false
15	NAGATIMAN-21-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	21	*dog	2009	DOG	kali7	kali7	k ɐ l i ʔ	false
16	NAGATMAN-21-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	21	*dog	2009	DOG	ama	ama	ɐ m ɐ	false
17	YADE-21-1	YADE	YADE	yale1246	Yale				True	21	*dog	2009	DOG	ama	ama	ɐ m ɐ	false
18	NAGATIMAN-39-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	39	*ear	1247	EAR	ahulu	ahulu	ɐ h u l u	false
19	NAGATMAN-39-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	39	*ear	1247	EAR	ah3ro	ah3ro	ɐ h ə r o	false
20	YADE-39-1	YADE	YADE	yale1246	Yale				True	39	*ear	1247	EAR	ahodo	ahodo	ɐ h o d o	false
21	NAGATIMAN-40-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	40	*eye	1248	EYE	naba	naba	n ɐ b ɐ	false
22	NAGATMAN-40-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	40	*eye	1248	EYE	naba	naba	n ɐ b ɐ	false
23	YADE-40-1	YADE	YADE	yale1246	Yale				True	40	*eye	1248	EYE	naba	naba	n ɐ b ɐ	false
24	NAGATIMAN-82-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	82	*fire	221	FIRE	ahuZi7	ahuZi7	ɐ h u ʒ i ʔ	false
25	NAGATMAN-82-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	82	*fire	221	FIRE	a*hu*zu*	a*hu*zu*	ɐ̃ h ũ z ũ	false
26	YADE-82-1	YADE	YADE	yale1246	Yale				True	82	*fire	221	FIRE	ahoju	ahoju	ɐ h o dʒ u	false
27	NAGATIMAN-19-1	NAGATIMAN	NAGATIMAN	yale1246	Yale				True	19	*fish	227	FISH	mu7	mu7	m u ʔ	false
28	NAGATMAN-19-1	NAGATMAN	NAGATMAN	yale1246	Yale				True	19	*fish	227	FISH	mo*	mo*	m õ	false
