ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	YUCHI-1-1	YUCHI	YUCHI	yuch1247	Yuchi				True	1	*I	1209	I	di	di	d i	false
2	YUCHI-30-1	YUCHI	YUCHI	yuch1247	Yuchi				True	30	*blood	946	BLOOD	wi	wi	w i	false
3	YUCHI-31-1	YUCHI	YUCHI	yuch1247	Yuchi				True	31	*bone	1394	BONE	weS"e	weS"e	w e ʃʼ e	false
4	YUCHI-51-1	YUCHI	YUCHI	yuch1247	Yuchi				True	51	*breasts	1402	BREAST	taS"e	taS"e	t ɐ ʃʼ e	false
5	YUCHI-66-1	YUCHI	YUCHI	yuch1247	Yuchi				True	66	*come	1446	COME	go*	go*	g õ	false
6	YUCHI-21-1	YUCHI	YUCHI	yuch1247	Yuchi				True	21	*dog	2009	DOG	ce*	ce*	ts ẽ	false
7	YUCHI-21-2	YUCHI	YUCHI	yuch1247	Yuchi				True	21	*dog	2009	DOG	cene	cene	ts e n e	false
8	YUCHI-54-1	YUCHI	YUCHI	yuch1247	Yuchi				True	54	*drink	1401	DRINK	p"e	p"e	pʼ e	false
9	YUCHI-39-1	YUCHI	YUCHI	yuch1247	Yuchi				True	39	*ear	1247	EAR	Zuba	Zuba	ʒ u b ɐ	false
10	YUCHI-40-1	YUCHI	YUCHI	yuch1247	Yuchi				True	40	*eye	1248	EYE	Ci	Ci	tʃ i	false
11	YUCHI-40-2	YUCHI	YUCHI	yuch1247	Yuchi				True	40	*eye	1248	EYE	Cifa	Cifa	tʃ i f ɐ	false
12	YUCHI-82-1	YUCHI	YUCHI	yuch1247	Yuchi				True	82	*fire	221	FIRE	yaXti	yaXti	j ɐ χ t i	false
13	YUCHI-19-1	YUCHI	YUCHI	yuch1247	Yuchi				True	19	*fish	227	FISH	Su	Su	ʃ u	false
14	YUCHI-95-1	YUCHI	YUCHI	yuch1247	Yuchi				True	95	*full	1429	FULL	oXpa	oXpa	o χ p ɐ	false
15	YUCHI-58-1	YUCHI	YUCHI	yuch1247	Yuchi				True	58	*hear	1408	HEAR	C"wa	C"wa	tʃʼ w ɐ	false
16	YUCHI-34-1	YUCHI	YUCHI	yuch1247	Yuchi				True	34	*horn	1393	HORN (ANATOMY)	o	o	o	false
17	YUCHI-25-1	YUCHI	YUCHI	yuch1247	Yuchi				True	25	*leaf	628	LEAF	yaS"a	yaS"a	j ɐ ʃʼ ɐ	false
18	YUCHI-53-1	YUCHI	YUCHI	yuch1247	Yuchi				True	53	*liver	1224	LIVER	yo*mpi	yo*mpi	j õ m p i	false
19	YUCHI-86-1	YUCHI	YUCHI	yuch1247	Yuchi				True	86	*mountain	639	MOUNTAIN	s"ayuba	s"ayuba	sʼ ɐ j u b ɐ	false
20	YUCHI-86-2	YUCHI	YUCHI	yuch1247	Yuchi				True	86	*mountain	639	MOUNTAIN	s"e*hafa	s"e*hafa	sʼ ẽ h ɐ f ɐ	false
21	YUCHI-100-1	YUCHI	YUCHI	yuch1247	Yuchi				True	100	*name	1405	NAME	ti	ti	t i	false
22	YUCHI-100-2	YUCHI	YUCHI	yuch1247	Yuchi				True	100	*name	1405	NAME	yadane	yadane	j ɐ d ɐ n e	false
23	YUCHI-92-1	YUCHI	YUCHI	yuch1247	Yuchi				True	92	*night	1233	NIGHT	pado	pado	p ɐ d o	false
24	YUCHI-41-1	YUCHI	YUCHI	yuch1247	Yuchi				True	41	*nose	1221	NOSE	damp"i	damp"i	d ɐ m pʼ i	false
25	YUCHI-11-1	YUCHI	YUCHI	yuch1247	Yuchi				True	11	*one	1493	ONE	hit"e	hit"e	h i tʼ e	false
26	YUCHI-85-1	YUCHI	YUCHI	yuch1247	Yuchi				True	85	*path	2252	PATH	iSt"e*	iSt"e*	i ʃ tʼ ẽ	false
27	YUCHI-18-1	YUCHI	YUCHI	yuch1247	Yuchi				True	18	*person	683	PERSON	gont"e	gont"e	g o n tʼ e	false
28	YUCHI-57-1	YUCHI	YUCHI	yuch1247	Yuchi				True	57	*see	1409	SEE	tne	tne	t n e	false
29	YUCHI-74-1	YUCHI	YUCHI	yuch1247	Yuchi				True	74	*star	1430	STAR	yo*	yo*	j õ	false
30	YUCHI-77-1	YUCHI	YUCHI	yuch1247	Yuchi				True	77	*stone	857	STONE	ti	ti	t i	false
31	YUCHI-72-1	YUCHI	YUCHI	yuch1247	Yuchi				True	72	*sun	1343	SUN	cono	cono	ts o n o	false
32	YUCHI-72-2	YUCHI	YUCHI	yuch1247	Yuchi				True	72	*sun	1343	SUN	co	co	ts o	false
33	YUCHI-44-1	YUCHI	YUCHI	yuch1247	Yuchi				True	44	*tongue	1205	TONGUE	t"e*ka	t"e*ka	tʼ ẽ k ɐ	false
34	YUCHI-43-1	YUCHI	YUCHI	yuch1247	Yuchi				True	43	*tooth	1380	TOOTH	ke	ke	k e	false
35	YUCHI-43-2	YUCHI	YUCHI	yuch1247	Yuchi				True	43	*tooth	1380	TOOTH	ge	ge	g e	false
36	YUCHI-23-1	YUCHI	YUCHI	yuch1247	Yuchi				True	23	*tree	906	TREE	ya	ya	j ɐ	false
37	YUCHI-12-1	YUCHI	YUCHI	yuch1247	Yuchi				True	12	*two	1498	TWO	no*we	no*we	n õ w e	false
38	YUCHI-75-1	YUCHI	YUCHI	yuch1247	Yuchi				True	75	*water	948	WATER	ce	ce	ts e	false
39	YUCHI-3-1	YUCHI	YUCHI	yuch1247	Yuchi				True	3	*we	1212	WE	ho*di	ho*di	h õ d i	false
40	YUCHI-2-1	YUCHI	YUCHI	yuch1247	Yuchi				True	2	*you	1215	THOU	ce	ce	ts e	false
