ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	CHUKCHEE-1-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	1	*I	1209	I	x3m	x3m	x ə m	false
2	CHUKCHEE-30-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	30	*blood	946	BLOOD	muLL3muL	muLL3muL	m u ʎ ʎ ə m u ʎ	false
3	CHUKCHEE-31-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	31	*bone	1394	BONE	3tt73m3Lx3n	3tt73m3Lx3n	ə t t ʔ ə m ə ʎ x ə n	false
4	CHUKCHEE-51-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	51	*breasts	1402	BREAST	LoL7oLx3n	LoL7oLx3n	ʎ o ʎ ʔ o ʎ x ə n	false
5	CHUKCHEE-66-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	66	*come	1446	COME	yet3	yet3	j e t ə	false
6	CHUKCHEE-61-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	61	*die	1494	DIE	w7~i	w7~i	wˀ i	false
7	CHUKCHEE-21-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	21	*dog	2009	DOG	NiLx3n	NiLx3n	ŋ i ʎ x ə n	false
8	CHUKCHEE-54-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	54	*drink	1401	DRINK	ikwisi	ikwisi	i k w i s i	false
9	CHUKCHEE-54-2	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	54	*drink	1401	DRINK	p3L3	p3L3	p ə ʎ ə	false
10	CHUKCHEE-39-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	39	*ear	1247	EAR	weLoLx3n	weLoLx3n	w e ʎ o ʎ x ə n	false
11	CHUKCHEE-40-1	CHUKCHEE	CHUKCHEE	chuk1273	Chukchi	Chukotko-Kamchatkan	Chukotian		False	40	*eye	1248	EYE	L3LaLx3n	L3LaLx3n	ʎ ə ʎ ɐ ʎ x ə n	false
