ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	NONUYA-1-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	1	*I	1209	I	ho7e	ho7e	h o ʔ e	false
2	OCAINA-1-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	1	*I	1209	I	xo*	xo*	x õ	false
3	OCAINA_2-1-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	1	*I	1209	I	xo*	xo*	x õ	false
4	OCAINA_2-1-2	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	1	*I	1209	I	xo*u*	xo*u*	x õ ũ	false
5	NONUYA-30-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	30	*blood	946	BLOOD	dobw~i	dobw~i	d o bʷ i	false
6	OCAINA-30-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	30	*blood	946	BLOOD	cihi*	cihi*	ts i h ĩ	false
7	OCAINA_2-30-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	30	*blood	946	BLOOD	cihi*	cihi*	ts i h ĩ	false
8	NONUYA-31-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	31	*bone	1394	BONE	aha7u	aha7u	ɐ h ɐ ʔ u	false
9	OCAINA-31-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	31	*bone	1394	BONE	5o*7o*kovo	5o*7o*kovo	ɲ õ ʔ õ k o v o	false
10	OCAINA_2-31-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	31	*bone	1394	BONE	5o*7o*7kobo	5o*7o*7kobo	ɲ õ ʔ õ ʔ k o b o	false
11	NONUYA-51-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	51	*breasts	1402	BREAST	monu7u	monu7u	m o n u ʔ u	false
12	OCAINA-51-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	51	*breasts	1402	BREAST	ohody~uxoTa	ohody~uxoTa	o h o dʲ u x o c ɐ	false
13	OCAINA_2-51-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	51	*breasts	1402	BREAST	mo*no	mo*no	m õ n o	false
14	NONUYA-66-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	66	*come	1446	COME	bw~i	bw~i	bʷ i	false
15	OCAINA-66-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	66	*come	1446	COME	ahi	ahi	ɐ h i	false
16	OCAINA_2-66-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	66	*come	1446	COME	a	a	ɐ	false
17	OCAINA_2-66-2	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	66	*come	1446	COME	u	u	u	false
18	OCAINA_2-66-3	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	66	*come	1446	COME	ahi	ahi	ɐ h i	false
19	NONUYA-61-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	61	*die	1494	DIE	duCi	duCi	d u tʃ i	false
20	OCAINA-61-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	61	*die	1494	DIE	ura nu	ura nu	u r ɐ n u	false
21	OCAINA-61-2	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	61	*die	1494	DIE	5omo*bi	5omo*bi	ɲ o m õ b i	false
22	OCAINA_2-61-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	61	*die	1494	DIE	ura nu	ura nu	u r ɐ n u	false
23	OCAINA_2-61-2	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	61	*die	1494	DIE	5omo*bi	5omo*bi	ɲ o m õ b i	false
24	NONUYA-21-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	21	*dog	2009	DOG	hotto	hotto	h o t t o	false
25	OCAINA-21-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	21	*dog	2009	DOG	ho*xo	ho*xo	h õ x o	false
26	OCAINA_2-21-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	21	*dog	2009	DOG	ho*7xo	ho*7xo	h õ ʔ x o	false
27	NONUYA-54-1	NONUYA	NONUYA	nonu1241	Nonuya	Huitotoan	Nonuya-Ocaina		False	54	*drink	1401	DRINK	notoci	notoci	n o t o ts i	false
28	OCAINA-54-1	OCAINA	OCAINA	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	54	*drink	1401	DRINK	5oxo	5oxo	ɲ o x o	false
29	OCAINA_2-54-1	OCAINA_2	OCAINA_2	ocai1244	Ocaina	Huitotoan	Nonuya-Ocaina		False	54	*drink	1401	DRINK	5oxo	5oxo	ɲ o x o	false
