ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	HITTITE-1-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	1	*I	1209	I	uk	uk	u k	false
2	HITTITE-30-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	30	*blood	946	BLOOD	eShar	eShar	e ʃ h ɐ r	false
3	PALAIC-30-1	PALAIC	PALAIC	pala1331	Palaic	Indo-European	Anatolian		False	30	*blood	946	BLOOD	eSxur	eSxur	e ʃ x u r	false
4	HITTITE-31-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	31	*bone	1394	BONE	hastai	hastai	h ɐ s t ɐ i	false
5	HITTITE-66-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	66	*come	1446	COME	uwa	uwa	u w ɐ	false
6	PALAIC-66-1	PALAIC	PALAIC	pala1331	Palaic	Indo-European	Anatolian		False	66	*come	1446	COME	ei	ei	e i	false
7	HITTITE-61-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	61	*die	1494	DIE	akk	akk	ɐ k k	false
8	HITTITE-54-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	54	*drink	1401	DRINK	ekw~	ekw~	e kʷ	false
9	HITTITE-54-2	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	54	*drink	1401	DRINK	akw~	akw~	ɐ kʷ	false
10	PALAIC-54-1	PALAIC	PALAIC	pala1331	Palaic	Indo-European	Anatolian		False	54	*drink	1401	DRINK	axu	axu	ɐ x u	false
11	HITTITE-39-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	39	*ear	1247	EAR	istaman	istaman	i s t ɐ m ɐ n	false
12	HITTITE-40-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	40	*eye	1248	EYE	sakuwa	sakuwa	s ɐ k u w ɐ	false
13	PALAIC-40-1	PALAIC	PALAIC	pala1331	Palaic	Indo-European	Anatolian		False	40	*eye	1248	EYE	tauwaya	tauwaya	t ɐ u w ɐ j ɐ	false
14	HITTITE-82-1	HITTITE	HITTITE	hitt1242	Hittite	Indo-European	Anatolian		False	82	*fire	221	FIRE	pahhur	pahhur	p ɐ h h u r	false
