ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	PROTO_JICAQUE-1-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	1	*I	1209	I	nap	nap	n ɐ p	false
2	PROTO_JICAQUE-30-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	30	*blood	946	BLOOD	k"as	k"as	kʼ ɐ s	false
3	PROTO_JICAQUE-31-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	31	*bone	1394	BONE	kh~ele	kh~ele	kʰ e l e	false
4	PROTO_JICAQUE-61-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	61	*die	1494	DIE	p37	p37	p ə ʔ	false
5	PROTO_JICAQUE-21-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	21	*dog	2009	DOG	Ch~iyoh	Ch~iyoh	tʃʰ i j o h	false
6	PROTO_JICAQUE-54-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	54	*drink	1401	DRINK	m37	m37	m ə ʔ	false
7	PROTO_JICAQUE-39-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	39	*ear	1247	EAR	ph~aC"	ph~aC"	pʰ ɐ tʃʼ	false
8	PROTO_JICAQUE-82-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	82	*fire	221	FIRE	k"awa	k"awa	kʼ ɐ w ɐ	false
9	PROTO_JICAQUE-19-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	19	*fish	227	FISH	kh~ul	kh~ul	kʰ u l	false
10	PROTO_JICAQUE-48-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	48	*hand	1277	HAND	mas	mas	m ɐ s	false
11	PROTO_JICAQUE-58-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	58	*hear	1408	HEAR	ph~ak	ph~ak	pʰ ɐ k	false
12	PROTO_JICAQUE-34-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	34	*horn	1393	HORN (ANATOMY)	Ch~eme	Ch~eme	tʃʰ e m e	false
13	PROTO_JICAQUE-47-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	47	*knee	1371	KNEE	tik"	tik"	t i kʼ	false
14	PROTO_JICAQUE-53-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	53	*liver	1224	LIVER	kom	kom	k o m	false
15	PROTO_JICAQUE-22-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	22	*louse	1392	LOUSE	t3t"	t3t"	t ə tʼ	false
16	PROTO_JICAQUE-41-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	41	*nose	1221	NOSE	mik	mik	m i k	false
17	PROTO_JICAQUE-11-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	11	*one	1493	ONE	ph~anih	ph~anih	pʰ ɐ n i h	false
18	PROTO_JICAQUE-57-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	57	*see	1409	SEE	nuk	nuk	n u k	false
19	PROTO_JICAQUE-77-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	77	*stone	857	STONE	peh	peh	p e h	false
20	PROTO_JICAQUE-72-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	72	*sun	1343	SUN	loC"ak	loC"ak	l o tʃʼ ɐ k	false
21	PROTO_JICAQUE-44-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	44	*tongue	1205	TONGUE	pelam	pelam	p e l ɐ m	false
22	PROTO_JICAQUE-43-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	43	*tooth	1380	TOOTH	wis	wis	w i s	false
23	PROTO_JICAQUE-23-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	23	*tree	906	TREE	yoh	yoh	j o h	false
24	PROTO_JICAQUE-12-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	12	*two	1498	TWO	mat"3	mat"3	m ɐ tʼ ə	false
25	PROTO_JICAQUE-75-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	75	*water	948	WATER	s3th~	s3th~	s ə tʰ	false
26	PROTO_JICAQUE-3-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	3	*we	1212	WE	kup	kup	k u p	false
27	PROTO_JICAQUE-2-1	PROTO_JICAQUE	PROTO_JICAQUE	jica1245	Jicaquean				False	2	*you	1215	THOU	hip	hip	h i p	false
28	JICAQUE-1-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	1	*I	1209	I	naph~	naph~	n ɐ pʰ	false
29	JICAQUE-30-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	30	*blood	946	BLOOD	nas	nas	n ɐ s	false
30	JICAQUE-31-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	31	*bone	1394	BONE	nkh~ele	nkh~ele	n kʰ e l e	false
31	JICAQUE-51-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	51	*breasts	1402	BREAST	ncoc"	ncoc"	n ts o tsʼ	false
32	JICAQUE-66-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	66	*come	1446	COME	kuwis	kuwis	k u w i s	false
33	JICAQUE-61-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	61	*die	1494	DIE	ni p37i	ni p37i	n i p ə ʔ i	false
34	JICAQUE-21-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	21	*dog	2009	DOG	ch~iyo	ch~iyo	tsʰ i j o	false
35	JICAQUE-54-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	54	*drink	1401	DRINK	m3s	m3s	m ə s	false
36	JICAQUE-39-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	39	*ear	1247	EAR	mph~ac"	mph~ac"	m pʰ ɐ tsʼ	false
37	JICAQUE-40-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	40	*eye	1248	EYE	nan	nan	n ɐ n	false
38	JICAQUE-40-2	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	40	*eye	1248	EYE	hun	hun	h u n	false
39	JICAQUE-82-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	82	*fire	221	FIRE	awa	awa	ɐ w ɐ	false
40	JICAQUE-19-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	19	*fish	227	FISH	kh~ul	kh~ul	kʰ u l	false
41	JICAQUE-95-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	95	*full	1429	FULL	pit"	pit"	p i tʼ	false
42	JICAQUE-48-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	48	*hand	1277	HAND	namas	namas	n ɐ m ɐ s	false
43	JICAQUE-58-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	58	*hear	1408	HEAR	ph~okas	ph~okas	pʰ o k ɐ s	false
44	JICAQUE-34-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	34	*horn	1393	HORN (ANATOMY)	ch~3eme	ch~3eme	tsʰ ə e m e	false
45	JICAQUE-47-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	47	*knee	1371	KNEE	ntik"	ntik"	n t i kʼ	false
46	JICAQUE-25-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	25	*leaf	628	LEAF	lo	lo	l o	false
47	JICAQUE-53-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	53	*liver	1224	LIVER	Nkom	Nkom	ŋ k o m	false
48	JICAQUE-22-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	22	*louse	1392	LOUSE	t3t	t3t	t ə t	false
49	JICAQUE-86-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	86	*mountain	639	MOUNTAIN	hok"	hok"	h o kʼ	false
50	JICAQUE-100-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	100	*name	1405	NAME	nla	nla	n l ɐ	false
51	JICAQUE-96-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	96	*new	1231	NEW	sy~asa	sy~asa	sʲ ɐ s ɐ	false
52	JICAQUE-92-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	92	*night	1233	NIGHT	p3ste	p3ste	p ə s t e	false
53	JICAQUE-41-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	41	*nose	1221	NOSE	nemikh~	nemikh~	n e m i kʰ	false
54	JICAQUE-11-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	11	*one	1493	ONE	ph~ani	ph~ani	pʰ ɐ n i	false
55	JICAQUE-85-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	85	*path	2252	PATH	h3m3kh~	h3m3kh~	h ə m ə kʰ	false
56	JICAQUE-18-1	JICAQUE	JICAQUE	toll1241	Tol	Jicaquean			False	18	*person	683	PERSON	tol	tol	t o l	false
