ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	ACOMA_KERES-30-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	30	*blood	946	BLOOD	m"ac"i	m"ac"i	m’ ɐ tsʼ i	false
2	SANTA_ANA_KERES-30-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	30	*blood	946	BLOOD	m"a7ac"i	m"a7ac"i	m’ ɐ ʔ ɐ tsʼ i	false
3	ACOMA_KERES-31-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	31	*bone	1394	BONE	haskani	haskani	h ɐ s k ɐ n i	false
4	SANTA_ANA_KERES-31-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	31	*bone	1394	BONE	hasg3ni	hasg3ni	h ɐ s g ə n i	false
5	ACOMA_KERES-61-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	61	*die	1494	DIE	kust"u	kust"u	k u s tʼ u	false
6	SANTA_ANA_KERES-61-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	61	*die	1494	DIE	kust"u	kust"u	k u s tʼ u	false
7	ACOMA_KERES-21-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	21	*dog	2009	DOG	diy"a	diy"a	d i j’ ɐ	false
8	SANTA_ANA_KERES-21-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	21	*dog	2009	DOG	diya	diya	d i j ɐ	false
9	ACOMA_KERES-54-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	54	*drink	1401	DRINK	g3sk"a	g3sk"a	g ə s kʼ ɐ	false
10	SANTA_ANA_KERES-54-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	54	*drink	1401	DRINK	g3sk"a	g3sk"a	g ə s kʼ ɐ	false
11	ACOMA_KERES-39-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	39	*ear	1247	EAR	s"ipe	s"ipe	sʼ i p e	false
12	SANTA_ANA_KERES-39-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	39	*ear	1247	EAR	sey"upe	sey"upe	s e j’ u p e	false
13	ACOMA_KERES-40-1	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	40	*eye	1248	EYE	huwanani	huwanani	h u w ɐ n ɐ n i	false
14	ACOMA_KERES-40-2	ACOMA_KERES	ACOMA_KERES	west2632	Western Keres	Keresan			False	40	*eye	1248	EYE	k"ana	k"ana	kʼ ɐ n ɐ	false
15	SANTA_ANA_KERES-40-1	SANTA_ANA_KERES	SANTA_ANA_KERES	east1472	Eastern Keres	Keresan			False	40	*eye	1248	EYE	huwana7ani	huwana7ani	h u w ɐ n ɐ ʔ ɐ n i	false
