ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	AJA-1-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	1	*I	1209	I	ma	ma	m ɐ	false
2	AJA-1-2	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	1	*I	1209	I	mama	mama	m ɐ m ɐ	false
3	AJA-30-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	30	*blood	946	BLOOD	usa	usa	u s ɐ	false
4	AJA-31-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	31	*bone	1394	BONE	cungu	cungu	ts u n g u	false
5	AJA-51-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	51	*breasts	1402	BREAST	vovo	vovo	v o v o	false
6	AJA-51-2	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	51	*breasts	1402	BREAST	magu	magu	m ɐ g u	false
7	AJA-66-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	66	*come	1446	COME	a7bu	a7bu	ɐ ʔ b u	false
8	AJA-61-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	61	*die	1494	DIE	iri	iri	i r i	false
9	AJA-21-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	21	*dog	2009	DOG	Cino	Cino	tʃ i n o	false
10	AJA-54-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	54	*drink	1401	DRINK	amu	amu	ɐ m u	false
11	AJA-39-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	39	*ear	1247	EAR	mimbi	mimbi	m i m b i	false
12	AJA-40-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	40	*eye	1248	EYE	i5i	i5i	i ɲ i	false
13	AJA-82-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	82	*fire	221	FIRE	uCwa	uCwa	u tʃ w ɐ	false
14	AJA-82-2	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	82	*fire	221	FIRE	uCa	uCa	u tʃ ɐ	false
15	AJA-19-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	19	*fish	227	FISH	kono	kono	k o n o	false
16	AJA-58-1	AJA	AJA	ajas1235	Aja (South Sudan)	Kresh-Aja			False	58	*hear	1408	HEAR	ayi	ayi	ɐ j i	false
