ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	IK-1-1	IK	IK	ikkk1242	Ik	Kuliak			False	1	*I	1209	I	nCi	nCi	n tʃ i	false
2	IK-30-1	IK	IK	ikkk1242	Ik	Kuliak			False	30	*blood	946	BLOOD	se	se	s e	false
3	IK-31-1	IK	IK	ikkk1242	Ik	Kuliak			False	31	*bone	1394	BONE	ok	ok	o k	false
4	IK-51-1	IK	IK	ikkk1242	Ik	Kuliak			False	51	*breasts	1402	BREAST	idw	idw	i d w	false
5	IK-66-1	IK	IK	ikkk1242	Ik	Kuliak			False	66	*come	1446	COME	ac	ac	ɐ ts	false
6	IK-61-1	IK	IK	ikkk1242	Ik	Kuliak			False	61	*die	1494	DIE	irid"et	irid"et	i r i d’ e t	false
7	IK-21-1	IK	IK	ikkk1242	Ik	Kuliak			False	21	*dog	2009	DOG	Nok	Nok	ŋ o k	false
8	IK-54-1	IK	IK	ikkk1242	Ik	Kuliak			False	54	*drink	1401	DRINK	abuti	abuti	ɐ b u t i	false
9	IK-39-1	IK	IK	ikkk1242	Ik	Kuliak			False	39	*ear	1247	EAR	bos	bos	b o s	false
10	IK-40-1	IK	IK	ikkk1242	Ik	Kuliak			False	40	*eye	1248	EYE	ekw	ekw	e k w	false
11	IK-82-1	IK	IK	ikkk1242	Ik	Kuliak			False	82	*fire	221	FIRE	c"ad"	c"ad"	tsʼ ɐ d’	false
12	IK-19-1	IK	IK	ikkk1242	Ik	Kuliak			False	19	*fish	227	FISH	nkolia	nkolia	n k o l i ɐ	false
13	IK-95-1	IK	IK	ikkk1242	Ik	Kuliak			False	95	*full	1429	FULL	idiNa	idiNa	i d i ŋ ɐ	false
14	IK-95-2	IK	IK	ikkk1242	Ik	Kuliak			False	95	*full	1429	FULL	id"il	id"il	i d’ i l	false
15	IK-95-3	IK	IK	ikkk1242	Ik	Kuliak			False	95	*full	1429	FULL	yod	yod	j o d	false
16	IK-95-4	IK	IK	ikkk1242	Ik	Kuliak			False	95	*full	1429	FULL	eod	eod	e o d	false
17	IK-48-1	IK	IK	ikkk1242	Ik	Kuliak			False	48	*hand	1277	HAND	kwEt	kwEt	k w a t	false
18	IK-58-1	IK	IK	ikkk1242	Ik	Kuliak			False	58	*hear	1408	HEAR	nes	nes	n e s	false
19	IK-58-2	IK	IK	ikkk1242	Ik	Kuliak			False	58	*hear	1408	HEAR	nesib	nesib	n e s i b	false
20	IK-58-3	IK	IK	ikkk1242	Ik	Kuliak			False	58	*hear	1408	HEAR	id"id"iw	id"id"iw	i d’ i d’ i w	false
21	IK-34-1	IK	IK	ikkk1242	Ik	Kuliak			False	34	*horn	1393	HORN (ANATOMY)	kamaran	kamaran	k ɐ m ɐ r ɐ n	false
22	IK-47-1	IK	IK	ikkk1242	Ik	Kuliak			False	47	*knee	1371	KNEE	kutuN	kutuN	k u t u ŋ	false
