ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	DOMU-1-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false
2	LAUA-1-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	1	*I	1209	I	ya7a	ya7a	j ɐ ʔ ɐ	false
3	MAILU-1-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false
4	MORAWA-1-1	MORAWA	MORAWA	mora1273	Morawa	Mailuan			False	1	*I	1209	I	ia	ia	i ɐ	false
5	DOMU-30-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	30	*blood	946	BLOOD	yara	yara	j ɐ r ɐ	false
6	LAUA-30-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	30	*blood	946	BLOOD	lala	lala	l ɐ l ɐ	false
7	MAILU-30-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	30	*blood	946	BLOOD	lala	lala	l ɐ l ɐ	false
8	DOMU-31-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	31	*bone	1394	BONE	giha	giha	g i h ɐ	false
9	LAUA-31-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	31	*bone	1394	BONE	gisa	gisa	g i s ɐ	false
10	MAILU-31-1	MAILU	MAILU	mail1248	Mailu	Mailuan			False	31	*bone	1394	BONE	kisa	kisa	k i s ɐ	false
11	DOMU-51-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	51	*breasts	1402	BREAST	ama	ama	ɐ m ɐ	false
12	LAUA-51-1	LAUA	LAUA	laua1245	Laua	Mailuan			False	51	*breasts	1402	BREAST	hama	hama	h ɐ m ɐ	false
13	DOMU-66-1	DOMU	DOMU	domu1245	Domu	Mailuan			False	66	*come	1446	COME	ai	ai	ɐ i	false
