ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	NOBIIN-1-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	1	*I	1209	I	ay	ay	ɐ j	false
2	OLD_NUBIAN-1-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	1	*I	1209	I	ai	ai	ɐ i	false
3	NOBIIN-30-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	30	*blood	946	BLOOD	dis	dis	d i s	false
4	OLD_NUBIAN-30-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	30	*blood	946	BLOOD	dis	dis	d i s	false
5	NOBIIN-31-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	31	*bone	1394	BONE	gisir	gisir	g i s i r	false
6	OLD_NUBIAN-31-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	31	*bone	1394	BONE	gisri	gisri	g i s r i	false
7	OLD_NUBIAN-31-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	31	*bone	1394	BONE	Nisri	Nisri	ŋ i s r i	false
8	OLD_NUBIAN-31-3	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	31	*bone	1394	BONE	kier	kier	k i e r	false
9	NOBIIN-51-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	51	*breasts	1402	BREAST	dugusi	dugusi	d u g u s i	false
10	OLD_NUBIAN-51-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	51	*breasts	1402	BREAST	og	og	o g	false
11	NOBIIN-66-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	66	*come	1446	COME	kil	kil	k i l	false
12	OLD_NUBIAN-66-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	66	*come	1446	COME	tar	tar	t ɐ r	false
13	OLD_NUBIAN-66-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	66	*come	1446	COME	kir	kir	k i r	false
14	OLD_NUBIAN-66-3	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	66	*come	1446	COME	do	do	d o	false
15	OLD_NUBIAN-66-4	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	66	*come	1446	COME	bor	bor	b o r	false
16	NOBIIN-61-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	61	*die	1494	DIE	dil	dil	d i l	false
17	OLD_NUBIAN-61-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	61	*die	1494	DIE	di	di	d i	false
18	NOBIIN-21-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	21	*dog	2009	DOG	mug	mug	m u g	false
19	OLD_NUBIAN-21-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	21	*dog	2009	DOG	mug	mug	m u g	false
20	OLD_NUBIAN-54-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	54	*drink	1401	DRINK	sirip	sirip	s i r i p	false
21	NOBIIN-39-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	39	*ear	1247	EAR	uki	uki	u k i	false
22	OLD_NUBIAN-39-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	39	*ear	1247	EAR	ulg	ulg	u l g	false
23	OLD_NUBIAN-39-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	39	*ear	1247	EAR	ulug	ulug	u l u g	false
24	NOBIIN-40-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	40	*eye	1248	EYE	ma5	ma5	m ɐ ɲ	false
25	OLD_NUBIAN-40-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	40	*eye	1248	EYE	man	man	m ɐ n	false
26	OLD_NUBIAN-40-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	40	*eye	1248	EYE	maf	maf	m ɐ f	false
27	NOBIIN-82-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	82	*fire	221	FIRE	ig	ig	i g	false
28	OLD_NUBIAN-82-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	82	*fire	221	FIRE	ig	ig	i g	false
29	NOBIIN-19-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	19	*fish	227	FISH	agisi	agisi	ɐ g i s i	false
30	NOBIIN-19-2	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	19	*fish	227	FISH	angisi	angisi	ɐ n g i s i	false
31	OLD_NUBIAN-19-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	19	*fish	227	FISH	uato	uato	u ɐ t o	false
32	OLD_NUBIAN-95-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	95	*full	1429	FULL	med	med	m e d	false
33	NOBIIN-48-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	48	*hand	1277	HAND	edi	edi	e d i	false
34	OLD_NUBIAN-48-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	48	*hand	1277	HAND	i	i	i	false
35	NOBIIN-58-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	58	*hear	1408	HEAR	uker	uker	u k e r	false
36	OLD_NUBIAN-58-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	58	*hear	1408	HEAR	ulg	ulg	u l g	false
37	NOBIIN-34-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	34	*horn	1393	HORN (ANATOMY)	niSi	niSi	n i ʃ i	false
38	NOBIIN-47-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	47	*knee	1371	KNEE	kurti	kurti	k u r t i	false
39	NOBIIN-47-2	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	47	*knee	1371	KNEE	oyunkurti	oyunkurti	o j u n k u r t i	false
40	OLD_NUBIAN-25-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	25	*leaf	628	LEAF	ulg	ulg	u l g	false
41	OLD_NUBIAN-25-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	25	*leaf	628	LEAF	ulug	ulug	u l u g	false
42	NOBIIN-86-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	86	*mountain	639	MOUNTAIN	mule	mule	m u l e	false
43	OLD_NUBIAN-86-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	86	*mountain	639	MOUNTAIN	kul	kul	k u l	false
44	OLD_NUBIAN-86-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	86	*mountain	639	MOUNTAIN	uer	uer	u e r	false
45	NOBIIN-100-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	100	*name	1405	NAME	esm	esm	e s m	false
46	NOBIIN-100-2	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	100	*name	1405	NAME	esim	esim	e s i m	false
47	OLD_NUBIAN-100-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	100	*name	1405	NAME	taNis	taNis	t ɐ ŋ i s	false
48	OLD_NUBIAN-100-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	100	*name	1405	NAME	tans	tans	t ɐ n s	false
49	NOBIIN-96-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	96	*new	1231	NEW	miri	miri	m i r i	false
50	OLD_NUBIAN-96-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	96	*new	1231	NEW	mir	mir	m i r	false
51	OLD_NUBIAN-96-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	96	*new	1231	NEW	miri	miri	m i r i	false
52	OLD_NUBIAN-96-3	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	96	*new	1231	NEW	eru	eru	e r u	false
53	NOBIIN-92-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	92	*night	1233	NIGHT	awa	awa	ɐ w ɐ	false
54	OLD_NUBIAN-92-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	92	*night	1233	NIGHT	oar	oar	o ɐ r	false
55	OLD_NUBIAN-92-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	92	*night	1233	NIGHT	oade	oade	o ɐ d e	false
56	NOBIIN-41-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	41	*nose	1221	NOSE	soriN	soriN	s o r i ŋ	false
57	NOBIIN-11-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	11	*one	1493	ONE	we	we	w e	false
58	OLD_NUBIAN-11-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	11	*one	1493	ONE	uer	uer	u e r	false
59	OLD_NUBIAN-11-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	11	*one	1493	ONE	uel	uel	u e l	false
60	OLD_NUBIAN-11-3	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	11	*one	1493	ONE	wel	wel	w e l	false
61	OLD_NUBIAN-85-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	85	*path	2252	PATH	gir	gir	g i r	false
62	OLD_NUBIAN-85-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	85	*path	2252	PATH	ket	ket	k e t	false
63	NOBIIN-18-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	18	*person	683	PERSON	adem	adem	ɐ d e m	true
64	OLD_NUBIAN-18-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	18	*person	683	PERSON	it	it	i t	false
65	NOBIIN-57-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	57	*see	1409	SEE	nel	nel	n e l	false
66	OLD_NUBIAN-57-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	57	*see	1409	SEE	Nal	Nal	ŋ ɐ l	false
67	OLD_NUBIAN-57-2	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	57	*see	1409	SEE	Nil	Nil	ŋ i l	false
68	NOBIIN-28-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	28	*skin	763	SKIN	nawa	nawa	n ɐ w ɐ	false
69	NOBIIN-74-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	74	*star	1430	STAR	wi5i	wi5i	w i ɲ i	false
70	OLD_NUBIAN-74-1	OLD_NUBIAN	OLD_NUBIAN	oldn1245	Old Nubian	Nubian	Nobiin Nubian		False	74	*star	1430	STAR	uifj	uifj	u i f dʒ	false
71	NOBIIN-77-1	NOBIIN	NOBIIN	nobi1240	Nobiin	Nubian	Nobiin Nubian		False	77	*stone	857	STONE	kid	kid	k i d	false
