ID	ASJP_ID	DOCULECT	LANGUAGE_NAME	GLOTTOCODE	GLOTTOLOG_NAME	LANGUAGE_LINEAGE_0	LANGUAGE_LINEAGE_1	LANGUAGE_LINEAGE_2	LANGUAGE_ISOLATE	PARAMETER_ID	CONCEPT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE	FORM	TOKENS	LOAN
1	WARDAMAN-1-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	1	*I	1209	I	Nayugu	Nayugu	ŋ ɐ j u g u	false
2	YANGMAN-1-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	1	*I	1209	I	Naigi	Naigi	ŋ ɐ i g i	false
3	WARDAMAN-30-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	30	*blood	946	BLOOD	bulilin	bulilin	b u l i l i n	false
4	WARDAMAN-30-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	30	*blood	946	BLOOD	gur3d	gur3d	g u r ə d	false
5	YANGMAN-30-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	30	*blood	946	BLOOD	ibulul	ibulul	i b u l u l	false
6	WARDAMAN-31-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	31	*bone	1394	BONE	wuna	wuna	w u n ɐ	false
7	WARDAMAN-31-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	31	*bone	1394	BONE	wune	wune	w u n e	false
8	YANGMAN-31-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	31	*bone	1394	BONE	wune	wune	w u n e	false
9	WARDAMAN-51-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	51	*breasts	1402	BREAST	Nabulu	Nabulu	ŋ ɐ b u l u	false
10	WARDAMAN-66-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	66	*come	1446	COME	5aNa	5aNa	ɲ ɐ ŋ ɐ	false
11	YANGMAN-66-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	66	*come	1446	COME	Na5aNan	Na5aNan	ŋ ɐ ɲ ɐ ŋ ɐ n	false
12	WARDAMAN-61-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	61	*die	1494	DIE	digiriTba	digiriTba	d i g i r i c b ɐ	false
13	WARDAMAN-61-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	61	*die	1494	DIE	layi	layi	l ɐ j i	false
14	YANGMAN-61-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	61	*die	1494	DIE	Nogbiri	Nogbiri	ŋ o g b i r i	false
15	WARDAMAN-21-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	21	*dog	2009	DOG	minini	minini	m i n i n i	false
16	WARDAMAN-21-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	21	*dog	2009	DOG	miyiwun	miyiwun	m i j i w u n	false
17	YANGMAN-21-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	21	*dog	2009	DOG	ruiyun	ruiyun	r u i j u n	false
18	WARDAMAN-54-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	54	*drink	1401	DRINK	Nu	Nu	ŋ u	false
19	YANGMAN-54-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	54	*drink	1401	DRINK	NaNunbe	NaNunbe	ŋ ɐ ŋ u n b e	false
20	WARDAMAN-39-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	39	*ear	1247	EAR	yigulan	yigulan	j i g u l ɐ n	false
21	WARDAMAN-39-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	39	*ear	1247	EAR	yiTeme	yiTeme	j i c e m e	false
22	YANGMAN-39-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	39	*ear	1247	EAR	iguLa	iguLa	i g u ʎ ɐ	false
23	WARDAMAN-40-1	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	40	*eye	1248	EYE	imum	imum	i m u m	false
24	WARDAMAN-40-2	WARDAMAN	WARDAMAN	ward1246	Wardaman	Yangmanic			False	40	*eye	1248	EYE	yimum	yimum	j i m u m	false
25	YANGMAN-40-1	YANGMAN	YANGMAN	yang1288	Yangman	Yangmanic			False	40	*eye	1248	EYE	imum	imum	i m u m	false
