Language_ID,Feature_ID,Value
aasa1238,1pl,?
afar1241,1pl,afroasiatic.1pl.0001
afar1241,1pl,afroasiatic.1pl.0001
akka1240,1pl,afroasiatic.1pl.0001
alag1248,1pl,afroasiatic.1pl.0001
alag1248,1pl,afroasiatic.1pl.0007
alge1239,1pl,afroasiatic.1pl.0001
amha1245,1pl,afroasiatic.1pl.0001
anci1244,1pl,afroasiatic.1pl.0001
anci1244,1pl,afroasiatic.1pl.0001
arbo1245,1pl,afroasiatic.1pl.0001
argo1244,1pl,afroasiatic.1pl.0001
assy1241,1pl,afroasiatic.1pl.0001
assy1241,1pl,afroasiatic.1pl.0001
awji1241,1pl,afroasiatic.1pl.0001
awng1244,1pl,afroasiatic.1pl.0001
baca1246,1pl,?
bade1248,1pl,afroasiatic.1pl.0001
bade1248,1pl,afroasiatic.1pl.0003
bais1246,1pl,?
bana1305,1pl,?
beja1238,1pl,afroasiatic.1pl.0001
beja1238,1pl,afroasiatic.1pl.0001
beja1238,1pl,afroasiatic.1pl.0001
beja1238,1pl,afroasiatic.1pl.0001
beja1238,1pl,afroasiatic.1pl.0001
bidi1241,1pl,afroasiatic.1pl.0001
bili1260,1pl,afroasiatic.1pl.0001
birg1239,1pl,?
boga1251,1pl,?
bogh1241,1pl,?
bora1271,1pl,afroasiatic.1pl.0001
budu1265,1pl,afroasiatic.1pl.0001
budu1265,1pl,afroasiatic.1pl.0004
bura1292,1pl,?
bure1242,1pl,afroasiatic.1pl.0001
burj1242,1pl,afroasiatic.1pl.0001
buru1320,1pl,?
buss1239,1pl,afroasiatic.1pl.0001
buwa1243,1pl,afroasiatic.1pl.0001
cakf1236,1pl,afroasiatic.1pl.0002
cent2194,1pl,afroasiatic.1pl.0001
cent2194,1pl,afroasiatic.1pl.0001
cent2194,1pl,afroasiatic.1pl.0001
cent2194,1pl,afroasiatic.1pl.0001
chad1249,1pl,afroasiatic.1pl.0001
chal1275,1pl,afroasiatic.1pl.0001
chal1275,1pl,afroasiatic.1pl.0001
chen1266,1pl,afroasiatic.1pl.0001
chen1266,1pl,afroasiatic.1pl.0001
ciba1236,1pl,?
