Language_ID,Feature_ID,Value
basq1248,1pl,basque.1pl.0175
basq1248,1pl,basque.1pl.0175
basq1248,1sg,basque.1sg.0079
basq1248,1sg,basque.1sg.0124
basq1248,2sg,basque.2sg.0137
basq1248,2sg,basque.2sg.0138
basq1248,blood,basque.blood.0167
basq1248,bone,basque.bone.0003
basq1248,breast,basque.breast.0165
basq1248,breast,basque.breast.0184
basq1248,come,basque.come.0172
basq1248,die,basque.die.0195
basq1248,die,basque.die.0196
basq1248,dog,basque.dog.0156
basq1248,dog,basque.dog.0156
basq1248,drink,basque.drink.0184
basq1248,ear,basque.ear.0131
basq1248,eye,basque.eye.0174
basq1248,eye,basque.eye.0174
basq1248,fire,basque.fire.0021
basq1248,fire,basque.fire.0197
basq1248,fish,basque.fish.0183
basq1248,fish,basque.fish.0184
basq1248,full,basque.full.0198
basq1248,full,basque.full.0198
basq1248,hand,basque.hand.0010
basq1248,hand,basque.hand.0155
basq1248,hear,basque.hear.0219
basq1248,hear,basque.hear.0220
basq1248,horn,basque.horn.0105
basq1248,horn,basque.horn.0146
basq1248,knee,basque.knee.0003
basq1248,leaf,basque.leaf.0027
basq1248,leaf,basque.leaf.0176
basq1248,liver,basque.liver.0010
basq1248,louse,basque.louse.0164
basq1248,mountain,basque.mountain.0185
basq1248,name,basque.name.0001
basq1248,new,basque.new.0109
basq1248,night,basque.night.0167
basq1248,night,basque.night.0168
basq1248,nose,basque.nose.0201
basq1248,nose,basque.nose.0201
basq1248,one,basque.one.0167
basq1248,path,basque.path.0184
basq1248,path,basque.path.0185
basq1248,person,basque.person.0025
basq1248,person,basque.person.0239
basq1248,see,basque.see.0017
basq1248,skin,basque.skin.0205
basq1248,skin,basque.skin.0206
basq1248,star,basque.star.0195
basq1248,star,basque.star.0196
basq1248,stone,basque.stone.0218
basq1248,stone,basque.stone.0218
basq1248,sun,basque.sun.0029
basq1248,sun,basque.sun.0029
basq1248,tongue,basque.tongue.0160
basq1248,tongue,basque.tongue.0161
basq1248,tooth,basque.tooth.0192
basq1248,tooth,basque.tooth.0193
basq1248,tree,basque.tree.0175
basq1248,tree,basque.tree.0176
basq1248,two,basque.two.0142
basq1248,two,basque.two.0142
basq1248,water,basque.water.0159
