Language_ID,Feature_ID,Value
beot1247,blood,beothuk.blood.0178
beot1247,blood,beothuk.blood.0179
beot1247,bone,beothuk.bone.0129
beot1247,breast,beothuk.breast.0033
beot1247,breast,beothuk.breast.0199
beot1247,come,beothuk.come.0141
beot1247,come,beothuk.come.0180
beot1247,dog,beothuk.dog.0163
beot1247,dog,beothuk.dog.0164
beot1247,drink,beothuk.drink.0206
beot1247,drink,beothuk.drink.0207
beot1247,ear,beothuk.ear.0136
beot1247,ear,beothuk.ear.0137
beot1247,eye,beothuk.eye.0185
beot1247,eye,beothuk.eye.0186
beot1247,fire,beothuk.fire.0209
beot1247,fire,beothuk.fire.0210
beot1247,fish,beothuk.fish.0041
beot1247,fish,beothuk.fish.0199
beot1247,hand,beothuk.hand.0147
beot1247,hand,beothuk.hand.0147
beot1247,hear,beothuk.hear.0235
beot1247,horn,beothuk.horn.0035
beot1247,knee,beothuk.knee.0177
beot1247,knee,beothuk.knee.0178
beot1247,leaf,beothuk.leaf.0185
beot1247,leaf,beothuk.leaf.0186
beot1247,louse,beothuk.louse.0174
beot1247,louse,beothuk.louse.0175
beot1247,mountain,beothuk.mountain.0195
beot1247,mountain,beothuk.mountain.0196
beot1247,night,beothuk.night.0028
beot1247,night,beothuk.night.0028
beot1247,nose,beothuk.nose.0216
beot1247,nose,beothuk.nose.0217
beot1247,one,beothuk.one.0173
beot1247,one,beothuk.one.0174
beot1247,person,beothuk.person.0254
beot1247,see,beothuk.see.0001
beot1247,star,beothuk.star.0207
beot1247,star,beothuk.star.0208
beot1247,stone,beothuk.stone.0238
beot1247,stone,beothuk.stone.0239
beot1247,sun,beothuk.sun.0079
beot1247,sun,beothuk.sun.0183
beot1247,tongue,beothuk.tongue.0090
beot1247,tongue,beothuk.tongue.0177
beot1247,tooth,beothuk.tooth.0205
beot1247,tree,beothuk.tree.0189
beot1247,two,beothuk.two.0148
beot1247,two,beothuk.two.0149
beot1247,water,beothuk.water.0097
