Language_ID,Feature_ID,Value
bora1263,1pl,boran.1pl.0001
bora1263,1pl,boran.1pl.0002
bora1263,1pl,boran.1pl.0002
muin1242,1pl,boran.1pl.0002
muin1242,1pl,boran.1pl.0002
bora1263,1sg,boran.1sg.0003
muin1242,1sg,boran.1sg.0004
bora1263,2sg,boran.2sg.0005
bora1263,2sg,boran.2sg.0006
bora1263,2sg,boran.2sg.0006
muin1242,2sg,boran.2sg.0006
muin1242,2sg,boran.2sg.0007
bora1263,blood,boran.blood.0008
bora1263,blood,boran.blood.0009
bora1263,blood,boran.blood.0011
muin1242,blood,boran.blood.0010
bora1263,bone,boran.bone.0012
bora1263,bone,boran.bone.0012
bora1263,bone,boran.bone.0012
muin1242,bone,boran.bone.0012
bora1263,breast,boran.breast.0013
bora1263,breast,boran.breast.0013
bora1263,breast,boran.breast.0013
muin1242,breast,boran.breast.0013
bora1263,come,boran.come.0014
bora1263,come,boran.come.0014
muin1242,come,boran.come.0014
bora1263,die,boran.die.0015
bora1263,die,boran.die.0015
muin1242,die,boran.die.0016
bora1263,dog,boran.dog.0017
bora1263,dog,boran.dog.0017
bora1263,dog,boran.dog.0019
muin1242,dog,boran.dog.0018
bora1263,drink,boran.drink.0020
bora1263,drink,boran.drink.0020
muin1242,drink,boran.drink.0020
bora1263,ear,boran.ear.0021
bora1263,ear,boran.ear.0021
bora1263,ear,boran.ear.0021
muin1242,ear,boran.ear.0021
bora1263,eye,boran.eye.0022
bora1263,eye,boran.eye.0022
bora1263,eye,boran.eye.0022
muin1242,eye,boran.eye.0023
bora1263,fire,boran.fire.0024
bora1263,fire,boran.fire.0024
muin1242,fire,boran.fire.0024
muin1242,fire,boran.fire.0025
bora1263,fish,boran.fish.0026
bora1263,fish,boran.fish.0026
muin1242,fish,boran.fish.0027
bora1263,full,boran.full.0028
bora1263,full,boran.full.0028
muin1242,full,boran.full.0028
bora1263,hand,boran.hand.0029
bora1263,hand,boran.hand.0029
bora1263,hand,boran.hand.0029
muin1242,hand,boran.hand.0029
bora1263,hear,boran.hear.0030
bora1263,hear,boran.hear.0030
muin1242,hear,boran.hear.0031
bora1263,horn,boran.horn.0032
bora1263,horn,boran.horn.0033
bora1263,horn,boran.horn.0034
muin1242,horn,boran.horn.0032
bora1263,knee,boran.knee.0035
bora1263,knee,boran.knee.0035
bora1263,knee,boran.knee.0035
muin1242,knee,boran.knee.0035
bora1263,leaf,boran.leaf.0036
bora1263,leaf,boran.leaf.0036
bora1263,leaf,boran.leaf.0036
muin1242,leaf,boran.leaf.0037
bora1263,liver,boran.liver.0038
bora1263,liver,boran.liver.0038
muin1242,liver,boran.liver.0038
muin1242,liver,boran.liver.0039
bora1263,louse,boran.louse.0040
bora1263,louse,boran.louse.0040
muin1242,louse,boran.louse.0040
bora1263,mountain,boran.mountain.0041
bora1263,mountain,boran.mountain.0042
bora1263,mountain,boran.mountain.0043
muin1242,mountain,boran.mountain.0041
muin1242,mountain,boran.mountain.0043
bora1263,name,boran.name.0044
bora1263,name,boran.name.0044
muin1242,name,boran.name.0044
bora1263,new,boran.new.0045
bora1263,new,boran.new.0046
muin1242,new,boran.new.0045
muin1242,new,boran.new.0046
bora1263,night,boran.night.0047
bora1263,night,boran.night.0047
muin1242,night,boran.night.0047
bora1263,nose,boran.nose.0048
bora1263,nose,boran.nose.0048
bora1263,nose,boran.nose.0048
muin1242,nose,boran.nose.0048
bora1263,one,boran.one.0049
bora1263,one,boran.one.0049
muin1242,one,boran.one.0050
bora1263,path,boran.path.0051
bora1263,path,boran.path.0051
muin1242,path,boran.path.0052
bora1263,person,boran.person.0053
bora1263,person,boran.person.0053
muin1242,person,boran.person.0053
bora1263,see,boran.see.0054
bora1263,see,boran.see.0055
muin1242,see,boran.see.0054
bora1263,skin,boran.skin.0056
bora1263,skin,boran.skin.0056
bora1263,skin,boran.skin.0056
muin1242,skin,boran.skin.0056
bora1263,star,boran.star.0057
bora1263,star,boran.star.0057
muin1242,star,boran.star.0057
bora1263,stone,boran.stone.0058
bora1263,stone,boran.stone.0058
muin1242,stone,boran.stone.0059
bora1263,sun,boran.sun.0060
bora1263,sun,boran.sun.0060
muin1242,sun,boran.sun.0061
bora1263,tongue,boran.tongue.0062
bora1263,tongue,boran.tongue.0062
bora1263,tongue,boran.tongue.0062
muin1242,tongue,boran.tongue.0062
bora1263,tooth,boran.tooth.0063
bora1263,tooth,boran.tooth.0063
muin1242,tooth,boran.tooth.0063
bora1263,tree,boran.tree.0064
bora1263,tree,boran.tree.0064
muin1242,tree,boran.tree.0064
bora1263,two,boran.two.0065
bora1263,two,boran.two.0065
muin1242,two,boran.two.0065
bora1263,water,boran.water.0066
bora1263,water,boran.water.0066
muin1242,water,boran.water.0066
muin1242,water,boran.water.0066
