Language_ID,Feature_ID,Value
cand1248,1pl,candoshishapra.1pl.0247
cand1248,1sg,candoshishapra.1sg.0014
cand1248,2sg,candoshishapra.2sg.0185
cand1248,blood,candoshishapra.blood.0221
cand1248,bone,candoshishapra.bone.0165
cand1248,breast,candoshishapra.breast.0188
cand1248,come,candoshishapra.come.0226
cand1248,die,candoshishapra.die.0262
cand1248,dog,candoshishapra.dog.0201
cand1248,drink,candoshishapra.drink.0273
cand1248,ear,candoshishapra.ear.0065
cand1248,eye,candoshishapra.eye.0230
cand1248,fire,candoshishapra.fire.0264
cand1248,fish,candoshishapra.fish.0059
cand1248,hand,candoshishapra.hand.0026
cand1248,hear,candoshishapra.hear.0307
cand1248,knee,candoshishapra.knee.0220
cand1248,leaf,candoshishapra.leaf.0068
cand1248,leaf,candoshishapra.leaf.0228
cand1248,liver,candoshishapra.liver.0265
cand1248,louse,candoshishapra.louse.0036
cand1248,mountain,candoshishapra.mountain.0244
cand1248,name,candoshishapra.name.0185
cand1248,new,candoshishapra.new.0243
cand1248,nose,candoshishapra.nose.0259
cand1248,one,candoshishapra.one.0210
cand1248,path,candoshishapra.path.0256
cand1248,person,candoshishapra.person.0316
cand1248,see,candoshishapra.see.0215
cand1248,star,candoshishapra.star.0251
cand1248,stone,candoshishapra.stone.0313
cand1248,sun,candoshishapra.sun.0044
cand1248,tongue,candoshishapra.tongue.0213
cand1248,tooth,candoshishapra.tooth.0256
cand1248,tree,candoshishapra.tree.0238
cand1248,two,candoshishapra.two.0186
cand1248,water,candoshishapra.water.0205
