Language_ID,Feature_ID,Value
cayu1241,1pl,cayuse.1pl.0004
cayu1241,1sg,cayuse.1sg.0019
cayu1241,2sg,cayuse.2sg.0011
cayu1241,blood,cayuse.blood.0224
cayu1241,bone,cayuse.bone.0167
cayu1241,come,cayuse.come.0001
cayu1241,die,cayuse.die.0273
cayu1241,dog,cayuse.dog.0010
cayu1241,drink,cayuse.drink.0284
cayu1241,drink,cayuse.drink.0285
cayu1241,ear,cayuse.ear.0002
cayu1241,eye,cayuse.eye.0239
cayu1241,fire,cayuse.fire.0213
cayu1241,fish,cayuse.fish.0159
cayu1241,hand,cayuse.hand.0216
cayu1241,knee,cayuse.knee.0228
cayu1241,leaf,cayuse.leaf.0234
cayu1241,liver,cayuse.liver.0043
cayu1241,mountain,cayuse.mountain.0110
cayu1241,name,cayuse.name.0190
cayu1241,night,cayuse.night.0006
cayu1241,nose,cayuse.nose.0002
cayu1241,path,cayuse.path.0263
cayu1241,person,cayuse.person.0325
cayu1241,see,cayuse.see.0003
cayu1241,skin,cayuse.skin.0281
cayu1241,star,cayuse.star.0085
cayu1241,stone,cayuse.stone.0324
cayu1241,sun,cayuse.sun.0221
cayu1241,tongue,cayuse.tongue.0219
cayu1241,tooth,cayuse.tooth.0264
cayu1241,tree,cayuse.tree.0244
cayu1241,water,cayuse.water.0212
