Language_ID,Feature_ID,Value
quil1240,1pl,chimakuan.1pl.0002
quil1240,1sg,chimakuan.1sg.0004
quil1240,1sg,chimakuan.1sg.0005
quil1240,2sg,chimakuan.2sg.0007
quil1240,blood,chimakuan.blood.0008
quil1240,bone,chimakuan.bone.0010
quil1240,breast,chimakuan.breast.0011
quil1240,breast,chimakuan.breast.0012
quil1240,come,chimakuan.come.0013
quil1240,die,chimakuan.die.0015
quil1240,dog,chimakuan.dog.0017
quil1240,drink,chimakuan.drink.0019
quil1240,drink,chimakuan.drink.0020
quil1240,ear,chimakuan.ear.0022
quil1240,ear,chimakuan.ear.0023
quil1240,eye,chimakuan.eye.0025
quil1240,fire,chimakuan.fire.0027
quil1240,fire,chimakuan.fire.0028
quil1240,fish,chimakuan.fish.0030
quil1240,full,chimakuan.full.0032
quil1240,hand,chimakuan.hand.0034
quil1240,hear,chimakuan.hear.0036
quil1240,horn,chimakuan.horn.0037
quil1240,knee,chimakuan.knee.0039
quil1240,leaf,chimakuan.leaf.0041
quil1240,leaf,chimakuan.leaf.0042
quil1240,louse,chimakuan.louse.0044
quil1240,mountain,chimakuan.mountain.0046
quil1240,name,chimakuan.name.0047
quil1240,name,chimakuan.name.0048
quil1240,new,chimakuan.new.0050
quil1240,night,chimakuan.night.0052
quil1240,nose,chimakuan.nose.0054
quil1240,nose,chimakuan.nose.0055
quil1240,one,chimakuan.one.0056
quil1240,path,chimakuan.path.0059
quil1240,person,chimakuan.person.0061
quil1240,see,chimakuan.see.0063
quil1240,skin,chimakuan.skin.0064
quil1240,skin,chimakuan.skin.0065
quil1240,star,chimakuan.star.0067
quil1240,star,chimakuan.star.0068
quil1240,stone,chimakuan.stone.0070
quil1240,sun,chimakuan.sun.0072
quil1240,sun,chimakuan.sun.0073
quil1240,tongue,chimakuan.tongue.0075
quil1240,tooth,chimakuan.tooth.0077
quil1240,tooth,chimakuan.tooth.0077
quil1240,tree,chimakuan.tree.0079
quil1240,two,chimakuan.two.0080
quil1240,water,chimakuan.water.0083
