Language_ID,Feature_ID,Value
duna1248,1pl,duna.1pl.0086
duna1248,1sg,duna.1sg.0068
duna1248,2sg,duna.2sg.0061
duna1248,blood,duna.blood.0002
duna1248,bone,duna.bone.0207
duna1248,breast,duna.breast.0002
duna1248,come,duna.come.0003
duna1248,dog,duna.dog.0026
duna1248,ear,duna.ear.0082
duna1248,eye,duna.eye.0315
duna1248,fire,duna.fire.0354
duna1248,fish,duna.fish.0105
duna1248,full,duna.full.0124
duna1248,hand,duna.hand.0085
duna1248,hear,duna.hear.0001
duna1248,knee,duna.knee.0003
duna1248,leaf,duna.leaf.0004
duna1248,louse,duna.louse.0021
duna1248,mountain,duna.mountain.0096
duna1248,name,duna.name.0242
duna1248,new,duna.new.0011
duna1248,night,duna.night.0303
duna1248,nose,duna.nose.0022
duna1248,one,duna.one.0135
duna1248,path,duna.path.0355
duna1248,person,duna.person.0415
duna1248,see,duna.see.0001
duna1248,skin,duna.skin.0006
duna1248,star,duna.star.0361
duna1248,stone,duna.stone.0108
duna1248,sun,duna.sun.0004
duna1248,tongue,duna.tongue.0288
duna1248,tooth,duna.tooth.0340
duna1248,tree,duna.tree.0218
duna1248,two,duna.two.0261
duna1248,water,duna.water.0273
